time,elapsed,host,local,round,x,y,z,trip,stun,mash,holding,shoeActive,shoeState,shoeX,shoeY,shoeZ,episode,ack,map,swimming,swimAnimation,floating,eyeY
25.2142,0.0000,0,2,1,-12.5038,-0.8676,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.2651,0.0510,0,2,1,-12.5038,-0.8668,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.3153,0.1011,0,2,1,-12.5281,-0.8665,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.3657,0.1515,0,2,1,-12.6491,-0.8666,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.4159,0.2017,0,2,1,-12.7332,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.4659,0.2518,0,2,1,-12.8218,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.5171,0.3030,0,2,1,-12.8735,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.5675,0.3533,0,2,1,-12.9357,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.6182,0.4040,0,2,1,-12.9876,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.6687,0.4546,0,2,1,-13.0913,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.7198,0.5056,0,2,1,-13.1431,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.7709,0.5568,0,2,1,-13.2184,-0.8667,7.0000,0.0000,0.0000,0,0,1,0,-14.7000,0.1313,7.0000,4,0,3,1,1,1,1.4300
25.9450,0.7308,0,2,1,-13.5654,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-14.4351,0.0164,7.3596,4,0,3,1,1,0,1.4300
26.0265,0.8123,0,2,1,-13.6620,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-14.5099,0.0668,7.2770,4,0,3,1,1,0,1.4300
26.1027,0.8886,0,2,1,-13.7700,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-14.6030,0.0988,7.2267,4,0,3,1,1,0,1.4300
26.1817,0.9675,0,2,1,-13.9187,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-14.7327,0.0994,7.2335,4,0,3,1,1,0,1.4300
26.2601,1.0459,0,2,1,-13.9209,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-14.7381,0.1866,7.3252,4,0,3,1,1,0,1.4300
26.3365,1.1223,0,2,1,-13.7852,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-14.3219,0.3476,7.6076,4,0,3,1,1,0,1.4300
26.4095,1.1953,0,2,1,-13.6866,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-13.6684,0.4014,7.6634,4,0,3,1,1,0,1.4300
26.4850,1.2709,0,2,1,-13.6283,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-13.2479,0.3951,7.4255,4,0,3,1,1,0,1.4300
26.5660,1.3519,0,2,1,-13.4935,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-12.9914,0.4172,7.2770,4,0,3,1,1,0,1.4300
26.6473,1.4331,0,2,1,-13.3672,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-12.7150,0.3608,7.2703,4,0,3,1,1,0,1.4300
26.7247,1.5106,0,2,1,-13.1840,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-12.3908,0.1972,7.1173,4,0,3,1,1,0,1.4300
26.8060,1.5919,0,2,1,-13.0474,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-12.2071,0.0986,6.9016,4,0,3,1,1,0,1.4300
26.8563,1.6422,0,2,1,-12.9532,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-12.1259,0.0994,6.8225,4,0,3,1,1,0,1.4300
26.9514,1.7372,0,2,1,-12.8281,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-12.0016,0.0985,6.7739,4,0,3,1,1,0,1.4300
27.0486,1.8344,0,2,1,-12.6817,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-11.8517,0.0936,6.6995,4,0,3,1,1,0,1.4300
27.1439,1.9297,0,2,1,-12.5168,-0.8667,7.0000,0.0000,0.0000,0,1,1,1,-11.7227,0.0688,6.5014,4,0,3,1,1,0,1.4300
