time,trip,mash,root_y,drawn_bottom,support_y,palm_y
1.0768,0.0000,0,0.1000,0.1000,0.1000,0.9332
1.1825,0.0000,0,0.1800,0.1000,0.1000,1.0157
1.2327,0.0000,0,0.1800,0.0993,0.1000,0.9926
1.2828,0.0000,0,0.1800,0.0988,0.1000,0.9704
1.3329,0.0000,0,0.1800,0.0997,0.1000,1.0155
1.3838,0.0000,0,0.1800,0.0999,0.1000,1.0155
1.4340,0.0000,0,0.1800,0.0990,0.1000,0.9962
1.4843,0.0000,0,0.1800,0.0989,0.1000,0.9647
1.5353,0.0000,0,0.1800,0.0999,0.1000,1.0155
1.5855,0.0000,0,0.1800,0.0999,0.1000,1.0154
1.6358,0.0000,0,0.1800,0.0991,0.1000,0.9990
1.6859,0.0000,0,0.1800,0.0996,0.1000,0.9593
1.7364,0.0000,0,0.1800,0.0997,0.1000,1.0150
1.8187,0.0000,0,0.1800,0.0998,0.1000,1.0136
1.8689,0.0000,0,0.5040,0.3157,0.1000,1.5844
1.9191,0.0000,0,0.6958,0.7533,0.1000,1.8628
1.9701,0.0000,0,0.8998,1.0588,0.1000,2.0961
2.0206,0.0000,0,1.0318,1.1301,0.2800,2.2217
2.0711,0.0000,0,1.0798,1.1591,0.8600,2.2537
2.1530,0.0000,0,1.0798,1.0564,0.1000,2.2061
2.2143,0.0000,0,0.9958,0.9923,-Infinity,2.1453
2.2643,0.0000,0,0.8398,0.8364,-Infinity,1.9966
2.3166,0.0000,0,0.6958,0.6925,-Infinity,1.8087
2.3670,0.0000,0,0.4198,0.4166,-Infinity,1.4671
2.4185,0.0000,0,0.1958,0.1926,-Infinity,1.2012
2.4688,0.0000,0,-0.2002,-0.2034,-Infinity,0.8279
2.5195,0.0000,0,-0.5042,-0.5073,-Infinity,0.5642
2.5707,0.0000,0,-1.0202,-1.0233,-Infinity,0.0798
2.6214,0.0000,0,-1.6082,-1.6113,-Infinity,-0.5120
2.6729,2.5000,0,0.0000,-0.0204,-Infinity,0.7049
2.7232,2.5000,0,0.0000,-0.0023,-Infinity,0.4408
2.7732,2.5000,0,0.1800,0.1110,0.1000,0.3326
2.8331,2.5000,0,0.1800,0.1000,0.1000,0.3090
2.8837,2.5000,0,0.1800,0.1000,0.1000,0.4577
2.9351,2.5000,0,0.1800,0.1000,0.1000,0.5215
2.9861,2.5000,0,0.1800,0.1000,0.1000,0.5485
3.0375,2.5000,0,0.1800,0.1000,0.1000,0.5575
3.0877,2.5000,0,0.1800,0.1000,0.1000,0.5656
3.1483,2.5000,0,0.1800,0.1000,0.1000,0.5741
3.1984,2.5000,0,0.1800,0.1000,0.1000,0.5802
3.2502,2.5000,0,0.1800,0.1000,0.1000,0.5856
3.3021,2.5000,0,0.1800,0.1000,0.1000,0.5901
3.3525,2.5000,0,0.1800,0.1000,0.1000,0.5936
3.4039,2.5000,0,0.1800,0.1000,0.1000,0.5964
3.4552,2.5000,0,0.1800,0.1000,0.1000,0.5986
3.5053,2.5000,0,0.1800,0.1000,0.1000,0.6004
3.5564,2.2800,1,0.1800,0.1000,0.1000,0.5645
3.6085,2.2800,1,0.1800,0.1000,0.1000,0.5660
3.6591,2.2800,1,0.1800,0.1000,0.1000,0.5660
3.7097,2.0600,2,0.1800,0.1000,0.1000,0.2863
3.7604,2.0600,2,0.1800,0.1000,0.1000,0.2787
