map,mode,target,shoe_x,shoe_y,shoe_z,route_nodes,seconds,picked_up
SaBubong,Classic,west wall,-18.640,0.926,21.860,62,11.728,True
SaBubong,Classic,east wall,18.860,0.926,-0.140,54,10.141,True
SaBubong,Classic,south wall,18.860,0.926,-21.640,96,18.492,True
SaBubong,Classic,north wall,-0.140,0.926,21.860,26,4.681,True
SaBubong,Classic,floating pool stock 6,-14.140,0.106,5.860,60,13.379,True
SaBubong,Classic,floating pool stock 12,-15.140,0.106,11.860,74,18.160,True
SaBubong,Classic,shade supports,-12.140,0.166,-11.140,65,11.979,True
SaBubong,Classic,pool surround,-10.640,0.166,-1.200,41,7.220,True
SaBubong,Classic,tabletop,-10.100,1.046,-9.650,60,11.399,True
SaBubong,Classic,stairhead,7.860,0.166,15.860,32,5.320,True
SaBubong,Classic,water tank,-3.140,0.166,18.360,26,4.280,True
SaBubong,HeroStrike,west wall,-18.640,0.926,21.860,62,11.162,True
SaBubong,HeroStrike,east wall,18.860,0.926,-0.140,54,9.660,True
SaBubong,HeroStrike,south wall,18.860,0.926,-21.640,96,17.621,True
SaBubong,HeroStrike,north wall,-0.140,0.926,21.860,26,4.460,True
SaBubong,HeroStrike,floating pool stock 6,-14.140,0.106,5.860,60,12.759,True
SaBubong,HeroStrike,floating pool stock 12,-15.140,0.106,11.860,74,17.299,True
SaBubong,HeroStrike,tabletop,-10.100,1.046,-7.150,55,9.900,True
SaBubong,HeroStrike,pool surround,-10.640,0.166,-1.200,41,6.879,True
SaBubong,HeroStrike,shade supports,-12.140,0.166,-11.140,65,11.420,True
SaBubong,HeroStrike,stairhead,7.860,0.166,15.860,32,5.080,True
SaBubong,HeroStrike,water tank,-3.140,0.166,18.360,26,4.060,True
