time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ
11.1585,0.0000,0,2,1,1,-1.0000,0.0000,-0.003,-1.600,1,0.0000,-1.8000,9.0000
11.2093,0.0508,0,2,1,1,-1.0000,0.0000,-0.222,-5.917,1,0.0000,-1.8000,9.0000
11.2595,0.1010,0,2,1,1,-1.0000,0.0000,-1.181,-1.562,1,0.0000,-1.8000,9.0000
11.3099,0.1514,0,2,1,1,-1.0000,0.0000,-2.365,0.000,1,0.0000,-1.8000,9.0000
11.3600,0.2015,0,2,1,1,-1.0000,0.0000,-2.868,-2.537,1,0.0000,-1.8000,9.0000
11.4105,0.2521,0,2,1,1,-1.0000,0.0000,-1.792,-4.134,1,0.0000,-1.8000,9.0000
11.4611,0.3026,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.5115,0.3530,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.5615,0.4030,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.6119,0.4534,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.6623,0.5038,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.7125,0.5540,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.7628,0.6043,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.8131,0.6546,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.8632,0.7048,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.9136,0.7551,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
11.9638,0.8053,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.0140,0.8555,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
12.0640,0.9055,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000
