time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
15.4850,0.0000,0,2,1,1,-1.0000,0.0000,-0.001,-1.028,1,0.0000,-1.8000,9.0000,1,1,1
15.5355,0.0505,0,2,1,1,-1.0000,0.0000,-0.188,-5.909,1,0.0000,-1.8000,9.0000,1,1,1
15.5857,0.1007,0,2,1,1,-1.0000,0.0000,-1.075,-2.107,1,0.0000,-1.8000,9.0000,1,1,1
15.6366,0.1516,0,2,1,1,-1.0000,0.0000,-2.293,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.6873,0.2023,0,2,1,1,-1.0000,0.0000,-3.287,-0.574,1,0.0000,-1.8000,9.0000,1,1,1
15.7378,0.2528,0,2,1,1,-1.0000,0.0000,-2.365,-4.272,1,0.0000,-1.8000,9.0000,1,1,1
15.7881,0.3031,0,2,1,1,-1.0000,0.0000,-0.615,-1.707,1,0.0000,-1.8000,9.0000,1,1,1
15.8381,0.3531,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.8886,0.4036,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.9388,0.4538,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.9906,0.5056,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.0406,0.5556,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.0913,0.6064,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.1419,0.6569,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.1926,0.7076,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.2436,0.7586,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.2943,0.8093,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.3443,0.8593,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.3952,0.9102,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.4453,0.9603,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.4955,1.0105,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.5467,1.0617,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.5971,1.1121,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.6478,1.1629,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.6982,1.2132,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.7489,1.2639,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.7993,1.3143,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
