time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
15.5186,0.0000,0,1,1,1,-1.0000,0.0000,-0.002,-1.406,1,0.0000,-1.8000,9.0000,1,1,1
15.5686,0.0500,0,1,1,1,-1.0000,0.0000,-0.203,-5.919,1,0.0000,-1.8000,9.0000,1,1,1
15.6190,0.1004,0,1,1,1,-1.0000,0.0000,-1.129,-1.828,1,0.0000,-1.8000,9.0000,1,1,1
15.6692,0.1506,0,1,1,1,-1.0000,0.0000,-2.320,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.7195,0.2009,0,1,1,1,-1.0000,0.0000,-2.410,-3.842,1,0.0000,-1.8000,9.0000,1,1,1
15.7703,0.2518,0,1,1,1,-1.0000,0.0000,-1.226,-3.414,1,0.0000,-1.8000,9.0000,1,1,1
15.8206,0.3020,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.8711,0.3525,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.9213,0.4027,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
15.9720,0.4534,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.0225,0.5039,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.0728,0.5542,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.1232,0.6046,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.1734,0.6548,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.2240,0.7054,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.2741,0.7555,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.3247,0.8061,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.3748,0.8563,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.4249,0.9063,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.4753,0.9567,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.5253,1.0068,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.5758,1.0572,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.6267,1.1081,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.6770,1.1584,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.7274,1.2089,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.7779,1.2593,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.8289,1.3103,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.8791,1.3605,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.9293,1.4107,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
16.9799,1.4613,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.0299,1.5113,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.0809,1.5624,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.1313,1.6127,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.1815,1.6629,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.2317,1.7131,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.2824,1.7638,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.3324,1.8138,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.3826,1.8640,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.4330,1.9144,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.4836,1.9650,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.5345,2.0159,0,1,1,1,0.0061,0.0000,-0.002,-0.007,1,0.0000,-1.8496,8.9901,1,1,1
17.5850,2.0664,0,1,1,1,0.0262,0.0000,-0.033,-0.119,1,0.0000,-1.9489,8.9702,1,1,1
17.6363,2.1177,0,1,1,1,0.0468,0.0000,-0.102,-0.372,1,0.0000,-2.0977,8.9405,1,1,1
17.6866,2.1680,0,1,1,1,0.0669,0.0000,-0.205,-0.750,1,0.0000,-2.1969,8.9206,1,1,1
17.7373,2.2187,0,1,1,1,0.0872,0.0000,-0.344,-1.255,1,0.0000,-2.3458,8.8908,1,1,1
17.7878,2.2692,0,1,1,1,0.1074,0.0000,-0.514,-1.877,1,0.0000,-2.4450,8.8710,1,1,1
17.8380,2.3194,0,1,1,1,0.1275,0.0000,-0.714,-2.607,1,0.0000,-2.5939,8.8412,1,1,1
17.8883,2.3697,0,1,1,1,0.1476,0.0000,-0.943,-3.443,1,0.0000,-2.6931,8.8214,1,1,1
17.9396,2.4210,0,1,1,1,0.1681,0.0000,-1.205,-4.400,1,0.0000,-2.8420,8.7916,1,1,1
17.9897,2.4711,0,1,1,1,0.1883,0.0000,-1.488,-5.434,1,0.0000,-2.9412,8.7718,1,1,1
18.0402,2.5216,0,1,1,1,0.2085,0.0000,-1.796,-6.561,1,0.0000,-3.0901,8.7420,1,1,1
18.0904,2.5718,0,1,1,1,0.2285,0.0000,-2.125,-7.762,1,0.0000,-3.1893,8.7221,1,1,1
18.1417,2.6232,0,1,1,1,0.2491,0.0000,-2.483,-9.071,1,0.0000,-3.3381,8.6924,1,1,1
18.1919,2.6733,0,1,1,1,0.2691,0.0000,-2.853,-10.421,1,0.0000,-3.4870,8.6626,1,1,1
18.2420,2.7234,0,1,1,1,0.2892,0.0000,-3.240,-11.835,1,0.0000,-3.5862,8.6428,1,1,1
18.2941,2.7755,0,1,1,1,0.3100,0.0000,-3.660,-13.368,1,0.0000,-3.7351,8.6130,1,1,1
18.3443,2.8257,0,1,1,1,0.3301,0.0000,-4.079,-14.899,1,0.0000,-3.8343,8.5931,1,1,1
18.3949,2.8763,0,1,1,1,0.3503,0.0000,-4.516,-16.493,1,0.0000,-3.9832,8.5634,1,1,1
18.4451,2.9265,0,1,1,1,0.3704,0.0000,-4.960,-18.115,1,0.0000,-4.0824,8.5435,1,1,1
18.4957,2.9771,0,1,1,1,0.3907,0.0000,-5.418,-19.788,1,0.0000,-4.2313,8.5138,1,1,1
18.5461,3.0276,0,1,1,1,0.4108,0.0000,-5.883,-21.488,1,0.0000,-4.2809,8.5038,1,1,1
18.5972,3.0786,0,1,1,1,0.4313,0.0000,-6.361,-23.233,1,0.0000,-4.2809,8.5038,1,1,1
18.6476,3.1290,0,1,1,1,0.4514,0.0000,-6.838,-24.976,1,0.0000,-4.2809,8.5038,1,1,1
18.6986,3.1801,0,1,1,1,0.4718,0.0000,-7.325,-26.754,1,0.0000,-4.2809,8.5038,1,1,1
18.7488,3.2303,0,1,1,1,0.4919,0.0000,-7.806,-28.513,1,0.0000,-4.2809,8.5038,1,1,1
18.7993,3.2807,0,1,1,1,0.5121,0.0000,-8.290,-30.281,1,0.0000,-4.2809,8.5038,1,1,1
18.8495,3.3309,0,1,1,1,0.5322,0.0000,-8.771,-32.038,1,0.0000,-4.2809,8.5038,1,1,1
18.9000,3.3814,0,1,1,1,0.5524,0.0000,-9.253,-33.797,1,0.0000,-4.2809,8.5038,1,1,1
18.9501,3.4316,0,1,1,1,0.5724,0.0000,-9.726,-35.526,1,0.0000,-4.2809,8.5038,1,1,1
19.0005,3.4819,0,1,1,1,0.5924,0.0000,-10.192,-37.227,1,0.0000,-4.2809,8.5038,1,1,1
19.0510,3.5324,0,1,1,1,0.6124,0.0000,-10.653,-38.910,1,0.0000,-4.2809,8.5038,1,1,1
19.1016,3.5831,0,1,1,1,0.6327,0.0000,-11.109,-40.578,1,0.0000,-4.2809,8.5038,1,1,1
19.1521,3.6335,0,1,1,1,0.6529,0.0000,-11.554,-42.203,1,0.0000,-4.2809,8.5038,1,1,1
19.2025,3.6839,0,1,1,1,0.6730,0.0000,-11.987,-43.782,1,0.0000,-4.2809,8.5038,1,1,1
19.2540,3.7355,0,1,1,1,0.6936,0.0000,-12.415,-45.347,1,0.0000,-4.2809,8.5038,1,1,1
19.3043,3.7857,0,1,1,1,0.7137,0.0000,-12.817,-46.816,1,0.0000,-4.2809,8.5038,1,1,1
19.3559,3.8373,0,1,1,1,0.7344,0.0000,-13.213,-48.263,1,0.0000,-4.2809,8.5038,1,1,1
19.4082,3.8896,0,1,1,1,0.7553,0.0000,-13.595,-49.656,1,0.0000,-4.2809,8.5038,1,1,1
19.4592,3.9406,0,1,1,1,0.7757,0.0000,-13.946,-50.940,1,0.0000,-4.2809,8.5038,1,1,1
19.5093,3.9907,0,1,1,1,0.7957,0.0000,-14.270,-52.122,1,0.0000,-4.2809,8.5038,1,1,1
19.5609,4.0423,0,1,1,1,0.8164,-0.7000,-14.580,-53.253,1,0.0000,-4.2809,8.5038,1,1,1
19.6111,4.0925,0,1,1,1,0.8364,-0.7000,-14.856,-54.263,1,0.0000,-4.2809,8.5038,1,1,1
19.6629,4.1443,0,1,1,1,0.8572,-0.7000,-15.114,-55.205,1,0.0000,-4.2809,8.5038,1,1,1
19.7136,4.1950,0,1,1,1,0.8775,-0.7000,-15.338,-56.025,1,0.0000,-4.2809,8.5038,1,1,1
19.7651,4.2465,0,1,1,1,0.8981,-0.7000,-15.535,-56.743,1,0.0000,-4.2809,8.5038,1,1,1
19.8164,4.2978,0,1,1,1,0.9186,-0.7000,-15.699,-57.342,1,0.0000,-4.2809,8.5038,1,1,1
19.8687,4.3501,0,1,1,1,0.9395,-0.7000,-15.831,-57.826,1,0.0000,-4.2809,8.5038,1,1,1
19.9204,4.4018,0,1,1,1,0.9602,-0.7000,-15.926,-58.171,1,0.0000,-4.2809,8.5038,1,1,1
