time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
12.0537,0.0000,0,2,1,1,-1.0000,0.0000,-0.002,-1.337,1,0.0000,-1.8000,9.0000,1,1,1
12.1044,0.0507,0,2,1,1,-1.0000,0.0000,-0.211,-5.920,1,0.0000,-1.8000,9.0000,1,1,1
12.1556,0.1019,0,2,1,1,-1.0000,0.0000,-1.192,-1.505,1,0.0000,-1.8000,9.0000,1,1,1
12.2056,0.1519,0,2,1,1,-1.0000,0.0000,-2.375,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.2560,0.2023,0,2,1,1,-1.0000,0.0000,-3.147,-1.532,1,0.0000,-1.8000,9.0000,1,1,1
12.3071,0.2533,0,2,1,1,-1.0000,0.0000,-2.102,-4.265,1,0.0000,-1.8000,9.0000,1,1,1
12.3578,0.3040,0,2,1,1,-1.0000,0.0000,-0.259,-0.758,1,0.0000,-1.8000,9.0000,1,1,1
12.4096,0.3558,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.4603,0.4065,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.5116,0.4579,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.5619,0.5082,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.6126,0.5588,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.6632,0.6095,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.7136,0.6598,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.7639,0.7102,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.8150,0.7612,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.8656,0.8118,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.9159,0.8622,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
