time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
21.0304,0.0000,0,2,1,1,1.0000,-0.7000,-16.086,-59.417,1,0.0000,-4.4049,8.4790,1,1,1
21.0871,0.0567,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.1378,0.1074,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.1900,0.1596,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.2418,0.2114,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.2933,0.2630,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.3442,0.3138,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.3948,0.3645,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.4455,0.4152,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.4968,0.4664,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.5477,0.5174,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.5988,0.5684,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.6490,0.6186,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.7000,0.6697,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.7518,0.7215,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.8024,0.7720,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.8529,0.8226,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.9040,0.8736,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
21.9542,0.9238,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.0050,0.9746,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.0562,1.0259,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.1073,1.0769,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.1575,1.1271,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.2080,1.1777,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.2584,1.2281,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.3104,1.2801,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.3606,1.3302,0,2,1,1,1.0000,-0.7000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.4115,1.3812,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.4633,1.4329,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
22.5138,1.4835,0,2,1,1,1.0000,0.8000,-16.000,-58.442,1,0.0000,-4.4049,8.4790,1,1,1
