frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0602,0.0071,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.034,-1.251,0.3458,0.1281,0.8029,0.1200
1,0.1107,0.0705,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.251,-5.650,0.6287,0.4507,0.6950,0.1200
2,0.1596,0.1214,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
3,0.2099,0.1722,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
4,0.2637,0.2239,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
5,0.3116,0.2741,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
6,0.3623,0.3245,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
7,0.4129,0.3743,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
8,0.4630,0.4248,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
9,0.5143,0.4761,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
10,0.5640,0.5263,0.0000,True,0.000,holding-right,0.0013,-0.7500,-0.079,-0.186,0.8158,0.5790,0.4521,0.1200
11,0.6194,0.5795,0.0000,True,0.000,holding-right,0.0226,-0.7500,-1.271,-3.005,0.8462,0.5297,0.5236,0.1200
12,0.6666,0.6290,0.0000,True,0.000,holding-right,0.0424,-0.7500,-2.283,-5.395,0.8703,0.4806,0.5798,0.1200
13,0.7182,0.6804,0.0000,True,0.000,holding-right,0.0630,-0.7500,-3.244,-7.657,0.8915,0.4283,0.6287,0.1200
14,0.7684,0.7306,0.0000,True,0.000,holding-right,0.0830,-0.7500,-4.099,-9.659,0.9090,0.3777,0.6681,0.1200
15,0.8201,0.7817,0.0000,True,0.000,holding-right,0.1035,-0.7500,-4.895,-11.515,0.9240,0.3273,0.7011,0.1200
16,0.8703,0.8328,0.0000,True,0.000,holding-right,0.1239,-0.7500,-5.620,-13.198,0.9365,0.2791,0.7278,0.1200
17,0.9218,0.8832,0.0000,True,0.000,holding-right,0.1441,-0.7500,-6.272,-14.703,0.9468,0.2341,0.7490,0.1200
18,0.9732,0.9346,0.0000,True,0.000,holding-right,0.1646,-0.7500,-6.879,-16.095,0.9555,0.1909,0.7662,0.1200
19,1.0233,0.9852,0.0000,True,0.000,holding-right,0.1849,-0.7500,-7.425,-17.339,0.9627,0.1512,0.7796,0.1200
20,1.0728,1.0348,0.0000,True,0.000,holding-right,0.2047,-0.7500,-7.914,-18.447,0.9686,0.1150,0.7899,0.1200
21,1.1256,1.0864,0.0000,True,0.000,holding-right,0.2254,-0.7500,-8.378,-19.491,0.9736,0.0803,0.7981,0.1200
22,1.1752,1.1368,0.0000,True,0.000,holding-right,0.2455,-0.7500,-8.792,-20.418,0.9778,0.0490,0.8042,0.1200
23,1.2292,1.1873,0.0000,True,0.000,holding-right,0.2657,-0.7500,-9.169,-21.259,0.9812,0.0202,0.8087,0.1200
24,1.2770,1.2384,0.0000,True,0.000,holding-right,0.2862,-0.7500,-9.519,-22.032,0.9841,-0.0066,0.8120,0.1200
25,1.3260,1.2879,0.0000,True,0.000,holding-right,0.3060,-0.7500,-9.828,-22.713,0.9864,-0.0303,0.8142,0.1200
26,1.3760,1.3392,0.0000,True,0.000,holding-right,0.3265,-0.7500,-10.121,-23.354,0.9885,-0.0528,0.8157,0.1200
27,1.4274,1.3898,0.0000,True,0.000,holding-right,0.3467,-0.7500,-10.385,-23.928,0.9901,-0.0731,0.8165,0.1200
28,1.4778,1.4400,0.0000,True,0.000,holding-right,0.3668,-0.7500,-10.623,-24.445,0.9915,-0.0914,0.8168,0.1200
29,1.5298,1.4905,0.0000,True,0.000,holding-right,0.3870,-0.7500,-10.842,-24.919,0.9926,-0.1083,0.8167,0.1200
30,1.5809,1.5422,0.0000,True,0.000,holding-right,0.4077,-0.7500,-11.047,-25.359,0.9936,-0.1241,0.8163,0.1200
31,1.6296,1.5921,0.0000,True,0.000,holding-right,0.4276,-0.7500,-11.227,-25.745,0.9944,-0.1379,0.8158,0.1200
32,1.6809,1.6431,0.0000,True,0.000,holding-right,0.4480,-0.7500,-11.395,-26.104,0.9951,-0.1508,0.8150,0.1200
