time,speed,charging,power,yaw,pitch,held
0.0000,0.0000,False,0.0000,0.00000,0.00000,True
0.0616,0.0000,False,0.0000,0.00000,0.00000,True
0.1087,3.1268,False,0.0000,0.00000,0.00000,True
0.1106,3.1268,False,0.0000,0.00000,0.00000,True
0.1123,3.1268,False,0.0000,0.00000,0.00000,True
0.1577,3.1268,False,0.0000,0.00000,0.00000,True
0.1591,3.1268,False,0.0000,0.00000,0.00000,True
0.1609,3.1268,False,0.0000,0.00000,0.00000,True
0.1624,3.1268,False,0.0000,0.00000,0.00000,True
0.2079,3.1268,False,0.0000,0.00000,0.00000,True
0.2104,3.1268,False,0.0000,0.00000,0.00000,True
0.2116,3.1268,False,0.0000,0.00000,0.00000,True
0.2127,3.1268,False,0.0000,0.00000,0.00000,True
0.2581,3.1268,False,0.0000,0.00000,0.00000,True
0.2596,3.1268,False,0.0000,0.00000,0.00000,True
0.2608,3.1268,False,0.0000,0.00000,0.00000,True
0.2618,3.1268,False,0.0000,0.00000,0.00000,True
0.2629,3.1268,False,0.0000,0.00000,0.00000,True
0.3092,3.1268,False,0.0000,0.00000,0.00000,True
0.3108,3.1268,False,0.0000,0.00000,0.00000,True
0.3125,3.1268,False,0.0000,0.00000,0.00000,True
0.3139,3.1268,False,0.0000,0.00000,0.00000,True
0.3609,3.1268,False,0.0000,0.00000,0.00000,True
0.3625,3.1268,False,0.0000,0.00000,0.00000,True
0.3637,3.1268,False,0.0000,0.00000,0.00000,True
0.3648,3.1268,False,0.0000,0.00000,0.00000,True
0.4106,3.1268,False,0.0000,0.00000,0.00000,True
0.4128,3.1268,False,0.0000,0.00000,0.00000,True
0.4148,3.1268,False,0.0000,0.00000,0.00000,True
0.4164,3.1268,False,0.0000,0.00000,0.00000,True
0.4645,3.1268,False,0.0000,0.00000,0.00000,True
0.4659,3.1268,False,0.0000,0.00000,0.00000,True
0.4672,3.1268,False,0.0000,0.00000,0.00000,True
0.5139,3.1268,False,0.0000,0.00000,0.00000,True
0.5155,3.1268,True,0.0000,-0.29696,-0.21455,True
0.5172,3.1268,True,0.0007,-0.30958,-0.22059,True
0.5634,3.1268,True,0.0189,-0.63354,-0.31108,True
0.5650,3.1268,True,0.0198,-0.64798,-0.31238,True
0.5671,3.1268,True,0.0206,-0.66130,-0.31336,True
0.5685,3.1268,True,0.0212,-0.67051,-0.31392,True
0.6153,3.1268,True,0.0395,-0.88404,-0.29057,True
0.6171,3.1268,True,0.0406,-0.89162,-0.28749,True
0.6185,3.1268,True,0.0412,-0.89560,-0.28571,True
0.6198,3.1268,True,0.0418,-0.89887,-0.28415,True
0.6661,3.1268,True,0.0600,-0.91025,-0.22780,True
0.6678,3.1268,True,0.0609,-0.90547,-0.22534,True
0.6700,3.1268,True,0.0616,-0.90162,-0.22359,True
0.7192,3.1268,True,0.0811,-0.67775,-0.19645,True
0.7208,3.1268,True,0.0821,-0.66043,-0.19644,True
0.7679,3.1268,True,0.1006,-0.28625,-0.21772,True
0.7697,3.1268,True,0.1016,-0.26391,-0.21971,True
0.7711,3.1268,True,0.1023,-0.24781,-0.22116,True
0.8184,3.1268,True,0.1209,0.18481,-0.26066,True
0.8200,3.1268,True,0.1218,0.20539,-0.26221,True
0.8219,3.1268,True,0.1225,0.22137,-0.26337,True
0.8682,3.1268,True,0.1408,0.58011,-0.26952,True
0.8706,3.1268,True,0.1418,0.59554,-0.26825,True
0.8721,3.1268,True,0.1427,0.60939,-0.26691,True
0.9210,3.1268,True,0.1619,0.81403,-0.19666,True
0.9226,3.1268,True,0.1628,0.81904,-0.19120,True
0.9694,3.1268,True,0.1813,0.82348,-0.05162,True
0.9717,3.1268,True,0.1823,0.81891,-0.04276,True
0.9734,3.1268,True,0.1832,0.81443,-0.03472,True
1.0196,3.1268,True,0.2014,0.65226,0.13897,True
1.0222,3.1268,True,0.2026,0.63833,0.14982,True
1.0239,3.1268,True,0.2034,0.62807,0.15759,True
1.0711,3.1268,True,0.2219,0.36943,0.30837,True
1.0725,3.1268,True,0.2228,0.35536,0.31451,True
1.0738,3.1268,True,0.2234,0.34721,0.31797,True
1.0752,3.1268,True,0.2239,0.33990,0.32101,True
1.1234,3.1268,True,0.2429,0.07049,0.39274,True
1.1253,3.1268,True,0.2439,0.05740,0.39386,True
1.1732,3.1268,True,0.2626,-0.14054,0.36498,True
1.1755,3.1268,True,0.2640,-0.15137,0.35953,True
1.2232,3.1268,True,0.2828,-0.25093,0.24841,True
1.2247,3.1268,True,0.2837,-0.25329,0.24213,True
1.2260,3.1268,True,0.2842,-0.25474,0.23798,True
1.2729,3.1268,True,0.3026,-0.26533,0.09600,True
1.2746,3.1268,True,0.3036,-0.26427,0.08856,True
1.2766,3.1268,True,0.3044,-0.26330,0.08251,True
1.3234,3.1268,True,0.3229,-0.22502,-0.04219,True
1.3253,3.1268,True,0.3239,-0.22243,-0.04789,True
1.3268,3.1268,True,0.3245,-0.22086,-0.05125,True
1.3744,3.1268,True,0.3433,-0.17717,-0.12680,True
1.3768,3.1268,True,0.3445,-0.17485,-0.12998,True
1.4233,3.1268,True,0.3629,-0.15394,-0.15448,True
1.4247,3.1268,True,0.3637,-0.15359,-0.15478,True
1.4261,3.1268,True,0.3642,-0.15338,-0.15496,True
1.4279,3.1268,True,0.3649,-0.15314,-0.15516,True
1.4749,3.1268,True,0.3834,-0.15554,-0.15345,True
1.4766,3.1268,True,0.3844,-0.15594,-0.15328,True
1.4782,3.1268,True,0.3851,-0.15620,-0.15318,True
1.5245,3.1268,True,0.4033,-0.15892,-0.15781,True
1.5262,3.1268,True,0.4043,-0.15856,-0.15862,True
1.5278,3.1268,True,0.4049,-0.15826,-0.15922,True
1.5293,3.1268,True,0.4054,-0.15802,-0.15968,True
1.5751,3.1268,True,0.4236,-0.13108,-0.18911,True
1.5765,3.1268,True,0.4244,-0.12903,-0.19085,True
1.5779,3.1268,True,0.4249,-0.12751,-0.19212,True
1.5796,3.1268,True,0.4256,-0.12552,-0.19375,True
1.6259,3.1268,True,0.4439,-0.05079,-0.24077,True
1.6278,3.1268,True,0.4449,-0.04531,-0.24342,True
1.6295,3.1268,True,0.4455,-0.04197,-0.24499,True
1.6306,3.1268,True,0.4461,-0.03866,-0.24652,True
1.6774,3.1268,True,0.4643,0.07625,-0.28137,True
1.6788,3.1268,True,0.4654,0.08355,-0.28240,True
1.6801,3.1268,True,0.4659,0.08730,-0.28286,True
1.6817,3.1268,True,0.4665,0.09138,-0.28333,True
1.7299,3.1268,True,0.4853,0.21540,-0.26970,True
1.7318,3.1268,True,0.4864,0.22206,-0.26691,True
1.7793,3.1268,True,0.5052,0.30188,-0.18660,True
1.7809,3.1268,True,0.5062,0.30409,-0.18078,True
1.7822,3.1268,True,0.5067,0.30522,-0.17748,True
1.8290,3.1268,True,0.5252,0.29932,-0.04212,True
1.8308,3.1268,True,0.5260,0.29683,-0.03504,True
1.8322,3.1268,True,0.5267,0.29470,-0.02937,True
1.8792,3.1268,True,0.5453,0.19019,0.12710,True
1.8808,3.1268,True,0.5461,0.18345,0.13398,True
1.8828,3.1268,True,0.5469,0.17671,0.14066,True
1.9303,3.1268,True,0.5654,-0.00310,0.26950,True
1.9324,3.1268,True,0.5667,-0.01743,0.27678,True
1.9337,3.1268,True,0.5673,-0.02418,0.28009,True
1.9816,3.1268,True,0.5862,-0.23010,0.34601,True
1.9833,3.1268,True,0.5871,-0.23976,0.34744,True
1.9851,3.1268,True,0.5878,-0.24700,0.34840,True
2.0332,3.1268,True,0.6065,-0.40354,0.33969,True
2.0352,3.1268,True,0.6079,-0.41148,0.33686,True
2.0822,3.1268,True,0.6263,-0.46699,0.27670,True
2.0837,3.1268,True,0.6273,-0.46686,0.27287,True
2.0850,3.1268,True,0.6278,-0.46665,0.27067,True
2.0861,3.1268,True,0.6283,-0.46640,0.26889,True
2.1343,3.1268,True,0.6472,-0.39683,0.19051,True
2.1363,3.1268,True,0.6482,-0.39011,0.18657,True
2.1845,3.1268,True,0.6671,-0.22016,0.12443,True
2.1863,3.1268,True,0.6683,-0.20714,0.12136,True
2.1877,3.1268,True,0.6689,-0.20071,0.11990,True
2.2396,3.1268,True,0.6893,0.03513,0.08426,True
2.3043,3.1268,True,0.7152,0.29180,0.05627,True
2.3522,3.1268,True,0.7344,0.39163,0.01601,True
2.3540,3.1268,True,0.7354,0.39425,0.01309,True
2.3558,3.1268,True,0.7361,0.39601,0.01089,True
2.4034,3.1268,True,0.7547,0.39907,-0.06348,True
2.4055,3.1268,True,0.7560,0.39646,-0.06986,True
2.4067,3.1268,True,0.7565,0.39531,-0.07248,True
2.4540,3.1268,True,0.7751,0.32772,-0.17281,True
2.4566,3.1268,True,0.7764,0.32177,-0.17977,True
2.4585,3.1268,True,0.7772,0.31762,-0.18452,True
2.5056,3.1268,True,0.7957,0.22098,-0.27828,True
2.5075,3.1268,True,0.7968,0.21538,-0.28277,True
2.5092,3.1268,True,0.7974,0.21242,-0.28509,True
2.5587,3.1268,True,0.8170,0.12102,-0.33512,True
2.5605,3.1268,True,0.8180,0.11723,-0.33582,True
2.6088,3.1268,True,0.8369,0.05869,-0.31220,True
2.6107,3.1268,True,0.8380,0.05620,-0.30877,True
2.6587,3.1268,True,0.8570,0.02088,-0.21632,True
2.6602,3.1268,True,0.8579,0.01951,-0.21099,True
2.6615,3.1268,True,0.8584,0.01860,-0.20743,True
2.7094,3.1268,True,0.8773,-0.01522,-0.07822,True
2.7110,3.1268,True,0.8782,-0.01709,-0.07223,True
2.7132,3.1268,True,0.8791,-0.01919,-0.06570,True
2.7602,3.1268,True,0.8975,-0.07389,0.05348,True
2.7620,3.1268,True,0.8986,-0.07778,0.05927,True
2.7633,3.1268,True,0.8992,-0.07996,0.06240,True
2.8097,3.1268,True,0.9173,-0.16041,0.13767,True
2.8116,3.1268,True,0.9183,-0.16555,0.14049,True
2.8129,3.1268,True,0.9190,-0.16907,0.14232,True
2.8141,3.1268,True,0.9195,-0.17139,0.14348,True
2.8616,3.1268,True,0.9382,-0.26545,0.16422,True
2.8638,3.1268,True,0.9393,-0.27044,0.16402,True
2.8656,3.1268,True,0.9401,-0.27421,0.16379,True
2.9137,3.1268,True,0.9589,-0.34171,0.14283,True
2.9151,3.1268,True,0.9599,-0.34373,0.14129,True
2.9165,3.1268,True,0.9604,-0.34485,0.14037,True
2.9645,3.1268,True,0.9793,-0.34617,0.10947,True
2.9662,3.1268,True,0.9803,-0.34417,0.10819,True
2.9683,3.1268,True,0.9811,-0.34216,0.10705,True
3.0177,3.1268,True,1.0000,-0.25098,0.09338,True
3.0193,3.1268,True,1.0000,-0.24448,0.09335,True
3.0670,3.1268,True,1.0000,-0.08312,0.10275,True
3.0684,3.1268,True,1.0000,-0.07475,0.10349,True
3.0706,3.1268,True,1.0000,-0.06768,0.10412,True
3.1185,3.1268,True,1.0000,0.12676,0.11921,True
3.1201,3.1268,True,1.0000,0.13597,0.11960,True
3.1215,3.1268,True,1.0000,0.14199,0.11983,True
3.1685,3.1268,True,1.0000,0.29939,0.11137,True
3.1700,3.1268,True,1.0000,0.30467,0.11020,True
3.1714,3.1268,True,1.0000,0.30885,0.10919,True
3.1733,3.1268,True,1.0000,0.31360,0.10795,True
3.2209,3.1268,True,1.0000,0.38294,0.05419,True
3.2226,3.1268,True,1.0000,0.38383,0.04968,True
3.2239,3.1268,True,1.0000,0.38414,0.04734,True
3.2711,3.1268,True,1.0000,0.34061,-0.04720,True
3.2726,3.1268,True,1.0000,0.33529,-0.05311,True
3.2737,3.1268,True,1.0000,0.33268,-0.05591,True
3.2750,3.1268,True,1.0000,0.33015,-0.05858,True
3.3228,3.1268,True,1.0000,0.18344,-0.16858,True
3.3253,3.1268,False,0.0000,0.00000,0.00000,False
3.3726,3.1268,False,0.0000,0.00000,0.00000,False
3.3744,3.1268,False,0.0000,0.00000,0.00000,False
3.3756,3.1268,False,0.0000,0.00000,0.00000,False
3.4223,3.1268,False,0.0000,0.00000,0.00000,False
3.4236,3.1268,False,0.0000,0.00000,0.00000,False
3.4248,3.1268,False,0.0000,0.00000,0.00000,False
3.4259,3.1268,False,0.0000,0.00000,0.00000,False
3.4731,3.1268,False,0.0000,0.00000,0.00000,False
3.4746,3.1268,False,0.0000,0.00000,0.00000,False
3.4763,3.1268,False,0.0000,0.00000,0.00000,False
3.5225,3.1268,False,0.0000,0.00000,0.00000,False
3.5243,3.1268,False,0.0000,0.00000,0.00000,False
3.5259,3.1268,False,0.0000,0.00000,0.00000,False
3.5272,3.1268,False,0.0000,0.00000,0.00000,False
3.5736,3.1268,False,0.0000,0.00000,0.00000,False
3.5756,3.1268,False,0.0000,0.00000,0.00000,False
3.5770,3.1268,False,0.0000,0.00000,0.00000,False
3.5783,3.1268,False,0.0000,0.00000,0.00000,False
3.6256,3.1268,False,0.0000,0.00000,0.00000,False
3.6275,3.1268,False,0.0000,0.00000,0.00000,False
3.6294,3.1268,False,0.0000,0.00000,0.00000,False
3.6755,3.1268,False,0.0000,0.00000,0.00000,False
3.6772,3.1268,False,0.0000,0.00000,0.00000,False
3.6786,3.1268,False,0.0000,0.00000,0.00000,False
3.6797,3.1268,False,0.0000,0.00000,0.00000,False
3.7280,3.1268,False,0.0000,0.00000,0.00000,False
3.7303,3.1268,False,0.0000,0.00000,0.00000,False
3.7784,3.1268,False,0.0000,0.00000,0.00000,False
3.7802,3.1268,False,0.0000,0.00000,0.00000,False
3.7815,3.1268,False,0.0000,0.00000,0.00000,False
3.8285,3.1268,False,0.0000,0.00000,0.00000,False
3.8301,3.1268,False,0.0000,0.00000,0.00000,False
3.8313,3.1268,False,0.0000,0.00000,0.00000,False
3.8327,3.1268,False,0.0000,0.00000,0.00000,False
3.8792,3.1268,False,0.0000,0.00000,0.00000,False
3.8806,3.1268,False,0.0000,0.00000,0.00000,False
3.8824,3.1268,False,0.0000,0.00000,0.00000,False
3.8836,3.1268,False,0.0000,0.00000,0.00000,False
3.9337,3.1268,False,0.0000,0.00000,0.00000,False
3.9774,3.1268,False,0.0000,0.00000,0.00000,False
3.9795,3.1268,False,0.0000,0.00000,0.00000,False
3.9816,3.1268,False,0.0000,0.00000,0.00000,False
3.9830,3.1268,False,0.0000,0.00000,0.00000,False
3.9846,3.1268,False,0.0000,0.00000,0.00000,False
4.0266,2.0000,False,0.0000,0.00000,0.00000,False
4.0287,2.0000,False,0.0000,0.00000,0.00000,False
4.0300,2.0000,False,0.0000,0.00000,0.00000,False
4.0311,2.0000,False,0.0000,0.00000,0.00000,False
4.0322,2.0000,False,0.0000,0.00000,0.00000,False
4.0338,2.0000,False,0.0000,0.00000,0.00000,False
4.0354,2.0000,False,0.0000,0.00000,0.00000,False
4.0858,2.0000,False,0.0000,0.00000,0.00000,False
4.1274,2.0000,False,0.0000,0.00000,0.00000,False
4.1289,2.0000,False,0.0000,0.00000,0.00000,False
4.1307,2.0000,False,0.0000,0.00000,0.00000,False
4.1319,2.0000,False,0.0000,0.00000,0.00000,False
4.1330,2.0000,False,0.0000,0.00000,0.00000,False
4.1339,2.0000,False,0.0000,0.00000,0.00000,False
4.1356,2.0000,False,0.0000,0.00000,0.00000,False
4.1373,2.0000,False,0.0000,0.00000,0.00000,False
4.1884,2.0000,False,0.0000,0.00000,0.00000,False
4.2296,2.0000,False,0.0000,0.00000,0.00000,False
4.2311,2.0000,False,0.0000,0.00000,0.00000,False
4.2329,2.0000,False,0.0000,0.00000,0.00000,False
4.2353,2.0000,False,0.0000,0.00000,0.00000,False
4.2368,2.0000,False,0.0000,0.00000,0.00000,False
4.2381,2.0000,False,0.0000,0.00000,0.00000,False
4.2397,2.0000,False,0.0000,0.00000,0.00000,False
4.2898,2.0000,False,0.0000,0.00000,0.00000,False
4.3303,2.0000,False,0.0000,0.00000,0.00000,False
4.3319,2.0000,False,0.0000,0.00000,0.00000,False
4.3331,2.0000,False,0.0000,0.00000,0.00000,False
4.3341,2.0000,False,0.0000,0.00000,0.00000,False
4.3359,2.0000,False,0.0000,0.00000,0.00000,False
4.3375,2.0000,False,0.0000,0.00000,0.00000,False
4.3385,2.0000,False,0.0000,0.00000,0.00000,False
4.3395,2.0000,False,0.0000,0.00000,0.00000,False
4.3422,2.0000,False,0.0000,0.00000,0.00000,False
4.3864,2.0000,False,0.0000,0.00000,0.00000,False
4.3880,2.0000,False,0.0000,0.00000,0.00000,False
4.3892,2.0000,False,0.0000,0.00000,0.00000,False
4.3908,2.0000,False,0.0000,0.00000,0.00000,False
4.3921,2.0000,False,0.0000,0.00000,0.00000,False
4.3931,2.0000,False,0.0000,0.00000,0.00000,False
4.4326,2.0000,False,0.0000,0.00000,0.00000,False
4.4345,2.0000,False,0.0000,0.00000,0.00000,False
4.4360,2.0000,False,0.0000,0.00000,0.00000,False
4.4372,2.0000,False,0.0000,0.00000,0.00000,False
4.4384,2.0000,False,0.0000,0.00000,0.00000,False
4.4400,2.0000,False,0.0000,0.00000,0.00000,False
4.4417,2.0000,False,0.0000,0.00000,0.00000,False
4.4429,2.0000,False,0.0000,0.00000,0.00000,False
4.4455,2.0000,False,0.0000,0.00000,0.00000,False
4.4892,2.0000,False,0.0000,0.00000,0.00000,False
4.4908,2.0000,False,0.0000,0.00000,0.00000,False
4.4922,2.0000,False,0.0000,0.00000,0.00000,False
4.4940,2.0000,False,0.0000,0.00000,0.00000,False
4.4957,2.0000,False,0.0000,0.00000,0.00000,False
4.5339,2.0000,False,0.0000,0.00000,0.00000,False
4.5361,2.0000,False,0.0000,0.00000,0.00000,False
4.5377,2.0000,False,0.0000,0.00000,0.00000,False
4.5388,2.0000,False,0.0000,0.00000,0.00000,False
4.5400,2.0000,False,0.0000,0.00000,0.00000,False
4.5410,2.0000,False,0.0000,0.00000,0.00000,False
4.5424,2.0000,False,0.0000,0.00000,0.00000,False
4.5436,2.0000,False,0.0000,0.00000,0.00000,False
4.5457,2.0000,False,0.0000,0.00000,0.00000,False
4.5467,2.0000,False,0.0000,0.00000,0.00000,False
4.5887,2.0000,False,0.0000,0.00000,0.00000,False
4.5904,2.0000,False,0.0000,0.00000,0.00000,False
4.5918,2.0000,False,0.0000,0.00000,0.00000,False
4.5931,2.0000,False,0.0000,0.00000,0.00000,False
4.5941,2.0000,False,0.0000,0.00000,0.00000,False
4.5954,2.0000,False,0.0000,0.00000,0.00000,False
4.5969,2.0000,False,0.0000,0.00000,0.00000,False
4.6472,2.0000,False,0.0000,0.00000,0.00000,False
4.6873,2.0000,False,0.0000,0.00000,0.00000,False
4.6890,2.0000,False,0.0000,0.00000,0.00000,False
4.6906,2.0000,False,0.0000,0.00000,0.00000,False
4.6917,2.0000,False,0.0000,0.00000,0.00000,False
4.6932,2.0000,False,0.0000,0.00000,0.00000,False
4.6951,2.0000,False,0.0000,0.00000,0.00000,False
4.6963,2.0000,False,0.0000,0.00000,0.00000,False
4.6973,2.0000,False,0.0000,0.00000,0.00000,False
4.7451,2.0000,False,0.0000,0.00000,0.00000,False
4.7466,2.0000,False,0.0000,0.00000,0.00000,False
4.7484,2.0000,False,0.0000,0.00000,0.00000,False
4.7876,2.0000,False,0.0000,0.00000,0.00000,False
4.7892,2.0000,False,0.0000,0.00000,0.00000,False
4.7908,2.0000,False,0.0000,0.00000,0.00000,False
4.7922,2.0000,False,0.0000,0.00000,0.00000,False
4.7933,2.0000,False,0.0000,0.00000,0.00000,False
4.7942,2.0000,False,0.0000,0.00000,0.00000,False
4.7954,2.0000,False,0.0000,0.00000,0.00000,False
4.7972,2.0000,False,0.0000,0.00000,0.00000,False
4.7992,2.0000,False,0.0000,0.00000,0.00000,False
