frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0592,0.0072,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.034,-1.267,0.3460,0.1286,0.8030,0.1200
1,0.1058,0.0684,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.245,-5.737,0.6189,0.4421,0.7032,0.1200
2,0.1555,0.1190,2.4035,True,16.695,holding-right,-1.0000,0.0000,-0.013,-0.167,0.7928,0.5987,0.4529,0.1820
3,0.2056,0.1688,2.4035,True,37.822,holding-right,-1.0000,0.0000,0.000,0.000,0.8237,0.6106,0.4472,0.1820
4,0.2555,0.2189,2.4035,True,29.984,holding-right,-1.0000,0.0000,0.000,0.000,0.8239,0.6106,0.4472,0.1820
5,0.3071,0.2696,2.4035,True,6.446,holding-right,-1.0000,0.0000,0.000,0.000,0.7678,0.6106,0.4472,0.1820
6,0.3582,0.3205,2.4035,True,339.427,holding-right,-1.0000,0.0000,0.000,0.000,0.8114,0.6106,0.4472,0.1820
7,0.4078,0.3711,2.4035,True,323.355,holding-right,-1.0000,0.0000,0.000,0.000,0.8243,0.6106,0.4472,0.1820
8,0.4617,0.4228,2.4035,True,326.706,holding-right,-1.0000,0.0000,0.000,0.000,0.8250,0.6106,0.4472,0.1820
9,0.5111,0.4736,2.4035,True,347.730,holding-right,-1.0000,0.0000,0.000,0.000,0.7894,0.6106,0.4472,0.1820
10,0.5609,0.5241,2.4035,True,15.078,holding-right,0.0014,0.7500,-0.081,-0.274,0.8001,0.6077,0.4512,0.1820
11,0.6127,0.5749,2.4035,True,34.672,holding-right,0.0217,0.7500,-1.224,-4.116,0.8553,0.5638,0.5049,0.1820
12,0.6637,0.6267,2.4035,True,35.826,holding-right,0.0424,0.7500,-2.285,-7.681,0.8804,0.5184,0.5505,0.1820
13,0.7140,0.6767,2.4035,True,18.273,holding-right,0.0624,0.7500,-3.219,-10.813,0.8839,0.4751,0.5870,0.1820
14,0.7649,0.7273,2.4035,True,351.071,holding-right,0.0827,0.7500,-4.083,-13.698,0.8743,0.4326,0.6174,0.1820
15,0.8159,0.7781,2.4035,True,328.506,holding-right,0.1030,0.7500,-4.875,-16.331,0.9383,0.3918,0.6425,0.1820
16,0.8657,0.8285,2.4035,True,322.483,holding-right,0.1231,0.7500,-5.593,-18.711,0.9525,0.3535,0.6627,0.1820
17,0.9161,0.8786,2.4035,True,335.779,holding-right,0.1432,0.7500,-6.244,-20.856,0.9598,0.3178,0.6790,0.1820
