frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1285,0.0227,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.088,-3.556,0.4060,0.2141,0.8036,0.1200
1,0.1700,0.1530,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
2,0.2221,0.2039,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
3,0.2688,0.2531,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
4,0.3225,0.3046,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
5,0.3729,0.3553,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
6,0.4251,0.4060,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
7,0.4792,0.4555,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
8,0.5256,0.5072,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.8137,0.5819,0.4472,0.1200
9,0.5759,0.5590,0.0000,True,0.000,holding-right,0.0044,0.0000,-0.260,-0.744,0.8202,0.5722,0.4616,0.1200
10,0.6301,0.6104,0.0000,True,0.000,holding-right,0.0250,0.0000,-1.398,-4.005,0.8479,0.5254,0.5219,0.1200
11,0.6814,0.6613,0.0000,True,0.000,holding-right,0.0454,0.0000,-2.428,-6.949,0.8716,0.4772,0.5721,0.1200
12,0.7279,0.7118,0.0000,True,0.000,holding-right,0.0656,0.0000,-3.358,-9.600,0.8919,0.4295,0.6136,0.1200
13,0.7763,0.7622,0.0000,False,0.000,idle,-1.0000,0.0000,-0.709,-10.848,0.8860,0.5207,0.5234,0.1200
14,0.8315,0.8131,0.0000,False,0.000,idle,-1.0000,0.0000,11.074,-5.596,0.8774,0.7127,0.1259,0.1200
15,0.8856,0.8648,0.0000,False,0.000,idle,-1.0000,0.0000,13.886,0.058,0.8033,0.7240,-0.0496,0.1200
16,0.9344,0.9151,0.0000,False,0.000,idle,-1.0000,0.0000,16.777,5.802,0.7203,0.6731,-0.2297,0.1200
17,0.9927,0.9660,0.0000,False,0.000,idle,-1.0000,0.0000,16.461,5.061,0.7127,0.6842,-0.2122,0.1200
18,1.0363,1.0203,0.0000,False,0.000,idle,-1.0000,0.0000,13.768,0.459,0.7041,0.7519,-0.0482,0.1200
19,1.0896,1.0711,0.0000,False,0.000,idle,-1.0000,0.0000,9.729,-4.147,0.6911,0.7637,0.2141,0.1200
20,1.1406,1.1217,0.0000,False,0.000,idle,-1.0000,0.0000,5.155,-6.658,0.6536,0.6529,0.5062,0.1200
21,1.1920,1.1735,0.0000,False,0.000,idle,-1.0000,0.0000,0.976,-5.941,0.5694,0.4346,0.7285,0.1200
22,1.2462,1.2243,0.0000,False,0.000,idle,-1.0000,0.0000,-1.759,-2.840,0.4633,0.2181,0.8194,0.1200
