frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1979,0.0357,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.129,-4.947,0.3908,0.1862,0.8396,0.1800
1,0.2694,0.2368,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
2,0.3440,0.3073,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
3,0.4117,0.3804,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
4,0.4779,0.4487,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
5,0.5453,0.5150,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
6,0.5950,0.5821,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
7,0.6447,0.6326,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
8,0.7005,0.6829,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5445,0.5532,0.1800
9,0.7757,0.7371,0.0000,True,0.000,hero-cheska-raise,-1.0000,0.0000,0.000,0.000,0.7148,0.5568,0.5656,0.1800
10,0.8263,0.8131,0.0000,True,2.998,hero-cheska-raise,-1.0000,0.0000,8.237,16.225,0.0232,-0.2751,0.4575,0.1800
11,0.8819,0.8637,0.0000,True,2.989,hero-cheska-raise,-1.0000,0.0000,-5.993,-85.014,0.7394,0.5615,0.5938,0.1800
12,0.9345,0.9192,0.0000,True,2.989,hero-cheska-raise,-1.0000,0.0000,-5.792,-85.416,0.7379,0.5637,0.5903,0.1800
13,0.9838,0.9714,0.0000,True,2.989,hero-cheska-raise,-1.0000,0.0000,-5.454,-86.092,0.7323,0.5681,0.5854,0.1800
