frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1645,0.3333,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
1,0.2928,0.5051,2.4035,True,356.929,holding-right,-1.0000,0.0000,0.000,0.000,0.7619,0.5541,0.5323,0.1800
2,0.4295,0.6363,2.4035,True,0.000,hero-dante-roar,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
3,0.5330,0.7709,2.4035,True,9.424,hero-dante-roar,-1.0000,0.0000,-15.983,13.990,0.3582,-0.0506,0.8363,0.1800
4,0.6619,0.8733,2.4035,True,323.975,hero-dante-roar,-1.0000,0.0000,-13.564,12.538,0.4107,-0.0452,0.8197,0.1800
5,0.8051,1.0230,2.4035,True,11.175,hero-dante-roar,-1.0000,0.0000,-10.615,10.615,0.2963,-0.0391,0.7924,0.1800
6,0.9195,1.1444,2.4035,True,33.217,hero-dante-roar,-1.0000,0.0000,-6.025,6.025,0.2418,-0.0219,0.6809,0.1800
7,1.0298,1.2660,2.4035,True,335.170,hero-dante-roar,-1.0000,0.0000,-0.897,0.897,0.1212,-0.0016,0.5246,0.1800
8,1.1346,1.3699,2.4035,True,330.142,holding-right,-1.0000,0.0000,0.000,-2.210,0.1397,0.0409,0.5347,0.1800
9,1.2580,1.4861,2.4035,True,27.049,holding-right,-1.0000,0.0000,0.000,0.000,0.8631,0.5799,0.5323,0.1800
10,1.3694,1.5971,2.4035,True,25.026,holding-right,-1.0000,0.0000,0.000,0.000,0.8579,0.5799,0.5323,0.1800
11,1.5116,1.7191,2.4035,True,326.832,holding-right,-1.0000,0.0000,0.000,0.000,0.8745,0.5799,0.5323,0.1800
12,1.6417,1.8546,2.4035,True,356.450,holding-right,-1.0000,0.0000,0.000,0.000,0.7630,0.5799,0.5323,0.1800
13,1.7786,2.0049,2.4035,True,32.591,holding-right,-1.0000,0.0000,0.000,0.000,0.8737,0.5799,0.5323,0.1800
14,1.9201,2.1174,2.4035,True,338.201,holding-right,-1.0000,0.0000,0.000,0.000,0.8483,0.5799,0.5323,0.1800
15,2.0618,2.2806,2.4035,True,354.701,holding-right,-1.0000,0.0000,0.000,0.000,0.7738,0.5799,0.5323,0.1800
16,2.1715,2.4014,2.4035,True,37.889,holding-right,-1.0000,0.0000,0.000,0.000,0.8790,0.5799,0.5323,0.1800
17,2.2981,2.5295,2.4035,True,346.558,holding-right,-1.0000,0.0000,0.000,0.000,0.8160,0.5799,0.5323,0.1800
18,2.4010,2.6381,2.4035,True,324.774,holding-right,-1.0000,0.0000,0.000,0.000,0.8770,0.5799,0.5323,0.1800
19,2.5277,2.7401,2.4035,True,11.321,holding-right,-1.0000,0.0000,0.000,0.000,0.8059,0.5799,0.5323,0.1800
20,2.6340,2.8677,2.4035,True,31.321,holding-right,-1.0000,0.0000,0.000,0.000,0.8719,0.5799,0.5323,0.1800
21,2.7659,2.9737,2.4035,True,339.167,holding-right,-1.0000,0.0000,0.000,0.000,0.8451,0.5799,0.5323,0.1800
22,2.8990,3.1061,2.4035,True,337.897,holding-right,-1.0000,0.0000,0.000,0.000,0.8494,0.5799,0.5323,0.1800
23,3.0465,3.2397,2.4035,True,36.894,holding-right,-1.0000,0.0000,0.000,0.000,0.8784,0.5799,0.5323,0.1800
24,3.1913,3.3894,2.4035,True,345.763,holding-right,-1.0000,0.0000,0.000,0.000,0.8194,0.5799,0.5323,0.1800
