frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1767,0.0474,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.266,-5.628,0.4429,0.2700,0.8161,0.1800
1,0.2961,0.2246,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
2,0.4070,0.3318,0.0000,True,0.000,hero-dante-stomp,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
3,0.5034,0.4447,0.0000,True,354.450,hero-dante-stomp,-1.0000,0.0000,33.593,-11.695,0.2620,0.0689,0.7977,0.1800
4,0.6055,0.5428,0.0000,True,356.000,hero-dante-stomp,-1.0000,0.0000,26.597,-6.448,0.2047,0.0104,0.7474,0.1800
5,0.7473,0.6655,0.0000,True,356.896,hero-dante-stomp,-1.0000,0.0000,20.622,-4.759,0.0817,-0.0079,0.8022,0.1800
6,0.8853,0.7841,0.0000,True,358.824,hero-dante-stomp,-1.0000,0.0000,7.665,-1.769,0.0121,-0.0122,0.6378,0.1800
7,1.0325,0.9347,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-5.554,0.0369,0.1130,0.6330,0.1800
8,1.1633,1.0692,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.6926,0.5703,0.5507,0.1800
9,1.2960,1.2024,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7207,0.5610,0.5417,0.1800
10,1.4568,1.3315,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7361,0.5559,0.5368,0.1800
11,1.5933,1.4942,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7454,0.5528,0.5338,0.1800
12,1.7459,1.6297,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7486,0.5517,0.5328,0.1800
13,1.8779,1.7865,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7500,0.5513,0.5323,0.1800
14,2.0000,1.9169,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7503,0.5512,0.5322,0.1800
15,2.1198,2.0354,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7503,0.5512,0.5322,0.1800
16,2.2300,2.1551,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7502,0.5512,0.5323,0.1800
17,2.3810,2.2814,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7501,0.5512,0.5323,0.1800
18,2.5034,2.4173,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7500,0.5513,0.5323,0.1800
19,2.6371,2.5389,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7500,0.5513,0.5323,0.1800
20,2.7691,2.6927,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
21,2.8875,2.8033,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
22,3.0251,2.9230,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
23,3.1646,3.0845,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
24,3.2728,3.2006,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
25,3.3934,3.3081,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
26,3.5416,3.4407,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
27,3.6754,3.5770,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
28,3.7933,3.7191,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
29,3.9257,3.8300,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
30,4.0727,3.9819,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
31,4.1981,4.1105,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
32,4.3123,4.2392,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7499,0.5513,0.5323,0.1800
