map,shader,renderers,material_slots,unique_materials,static_batched_renderers
Eskinita,TumbangPreso/NearFade,605,605,46,580
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,4,20,10,4
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade,4,8,4,4
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,29,116,24,29
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,2,16,8,2
BayanPlaza,TumbangPreso/NearFade,181,181,34,181
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,2,6,6,2
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,26,104,20,26
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,15,10,3
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,21,7,3
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade,5,10,2,5
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+glTF/PbrMetallicRoughness+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,10,10,0
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,12,12,1
IlalimNgTulay,TumbangPreso/NearFade,1274,1274,309,1244
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade,109,218,10,109
IlalimNgTulay,glTF/PbrMetallicRoughness,5,5,5,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,12,8,3
IlalimNgTulay,Standard,14,14,3,3
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,5,25,5,5
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,21,14,3
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,12,12,1
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+glTF/PbrMetallicRoughness+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,10,10,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,8,8,1
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,4,12,6,4
SaBubong,TumbangPreso/PoolCeramic,8,8,1,8
SaBubong,TumbangPreso/NearFade,141,141,32,128
SaBubong,TumbangPreso/RoofPoolWater,1,1,1,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade,5,10,4,5
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,6,6,1
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,7,28,4,7
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,4,20,10,4
