map,shader,renderers,material_slots,unique_materials,static_batched_renderers
Eskinita,TumbangPreso/NearFade,605,605,46,528
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,4,20,10,0
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade,4,8,4,0
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,29,116,24,20
Eskinita,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,2,16,8,0
BayanPlaza,TumbangPreso/NearFade,181,181,34,145
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,2,6,6,0
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,26,104,20,17
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,15,10,0
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,21,7,0
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade,5,10,2,5
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+glTF/PbrMetallicRoughness+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,10,10,0
BayanPlaza,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,12,12,0
IlalimNgTulay,TumbangPreso/NearFade,1274,1274,309,377
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade,109,218,10,8
IlalimNgTulay,glTF/PbrMetallicRoughness,5,5,5,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,12,8,0
IlalimNgTulay,Standard,14,14,3,11
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,5,25,5,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,3,21,14,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,12,12,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+glTF/PbrMetallicRoughness+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,10,10,0
IlalimNgTulay,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,8,8,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,4,12,6,0
SaBubong,TumbangPreso/PoolCeramic,8,8,1,7
SaBubong,TumbangPreso/NearFade,141,141,32,116
SaBubong,TumbangPreso/RoofPoolWater,1,1,1,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade,5,10,4,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,1,6,6,0
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,7,28,4,6
SaBubong,TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade+TumbangPreso/NearFade,4,20,10,0
