map,quality,samples,mean_player_frame_ms,p95_player_frame_ms,mean_draw_calls,mean_triangles,mean_setpass,mesh_renderers,static_batched_renderers,unique_materials,world_width,world_height
Eskinita,Low,120,3.849,5.008,-1.0,748119,1304.0,644,548,92,1920,1080
Eskinita,Balanced,120,3.858,4.771,-1.0,820165,1285.2,644,548,92,1920,1080
Eskinita,High,120,4.594,9.215,-1.0,1024304,1301.9,644,548,92,1920,1080
BayanPlaza,Low,120,3.636,5.451,-1.0,626789,731.9,222,167,99,1920,1080
BayanPlaza,Balanced,120,3.580,4.366,-1.0,673402,742.1,222,167,99,1920,1080
BayanPlaza,High,120,3.689,4.601,-1.0,813972,749.4,222,167,99,1920,1080
IlalimNgTulay,Low,120,6.291,11.120,-1.0,1217857,3303.4,1416,396,380,1920,1080
IlalimNgTulay,Balanced,120,6.213,7.607,-1.0,1461867,3435.7,1416,396,380,1920,1080
IlalimNgTulay,High,120,6.820,8.422,-1.0,1703431,3480.8,1416,396,380,1920,1080
SaBubong,Low,120,3.364,4.108,-1.0,626310,482.9,171,129,56,1920,1080
SaBubong,Balanced,120,3.722,4.354,-1.0,653557,488.4,171,129,56,1920,1080
SaBubong,High,120,3.639,4.713,-1.0,788102,506.7,171,129,56,1920,1080
