map,quality,samples,mean_player_frame_ms,p95_player_frame_ms,mean_draw_calls,mean_triangles,mean_setpass,mesh_renderers,static_batched_renderers,unique_materials,world_width,world_height
Eskinita,Low,120,3.567,4.423,-1.0,748076,1303.1,644,548,92,1920,1080
Eskinita,Balanced,120,3.779,6.671,-1.0,813407,1277.4,644,548,92,1920,1080
Eskinita,High,120,3.961,4.937,-1.0,1024329,1302.5,644,548,92,1920,1080
BayanPlaza,Low,120,2.826,3.963,-1.0,637318,744.2,222,167,99,1920,1080
BayanPlaza,Balanced,120,3.031,4.382,-1.0,672878,741.7,222,167,99,1920,1080
BayanPlaza,High,120,3.132,4.661,-1.0,813452,749.7,222,167,99,1920,1080
IlalimNgTulay,Low,120,5.083,9.487,-1.0,1217320,3302.5,1416,396,380,1920,1080
IlalimNgTulay,Balanced,120,4.970,5.809,-1.0,1450357,3407.9,1416,396,380,1920,1080
IlalimNgTulay,High,120,5.505,6.491,-1.0,1703431,3480.8,1416,396,380,1920,1080
SaBubong,Low,120,2.645,3.655,-1.0,631571,488.0,171,129,56,1920,1080
SaBubong,Balanced,120,2.911,4.318,-1.0,658059,491.8,171,129,56,1920,1080
SaBubong,High,120,3.014,4.603,-1.0,789562,509.6,171,129,56,1920,1080
