frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0503,0.0043,0.0000,False,0.000,idle,-1.0000,0.0000,-1.449,0.000,0.2910,-0.0090,0.5626,0.1000
1,0.0992,0.0567,0.0000,False,0.000,idle,-1.0000,0.0000,-2.586,0.000,0.3132,-0.0077,0.5802,0.1000
2,0.1509,0.1079,0.0000,False,0.000,idle,-1.0000,0.0000,-3.682,0.000,0.2555,-0.0073,0.5959,0.1800
3,0.2016,0.1585,0.0000,False,0.000,idle,-1.0000,0.0000,-4.543,0.000,0.2736,-0.0077,0.6074,0.1800
4,0.2580,0.2102,0.0000,False,0.000,idle,-1.0000,0.0000,-4.961,0.000,0.2826,-0.0080,0.6127,0.1800
5,0.3525,0.2663,0.0000,False,0.000,hero-nemu-seance,-1.0000,0.0000,-4.799,0.000,0.2773,-0.0077,0.6095,0.1800
6,0.4182,0.2876,0.0000,False,0.142,hero-nemu-seance,-1.0000,0.0000,-3.609,-2.154,0.1951,0.0094,0.5365,0.1800
7,0.4965,0.3533,0.0000,False,4.062,hero-nemu-seance,-1.0000,0.0000,-11.778,-63.056,0.6179,0.2180,0.4958,0.1800
8,0.5717,0.4349,0.0000,False,7.888,hero-nemu-seance,-1.0000,0.0000,-23.848,-57.076,1.0832,-0.1759,0.5154,0.1800
9,0.6274,0.5089,0.0000,False,7.447,hero-nemu-seance,-1.0000,0.0000,-22.792,-57.037,1.0940,-0.1455,0.5188,0.1800
10,0.6863,0.5623,0.0000,False,6.990,hero-nemu-seance,-1.0000,0.0000,-21.656,-57.966,1.1004,-0.1099,0.5221,0.1800
11,0.7431,0.6229,0.0000,False,359.695,hero-nemu-seance,-1.0000,0.0000,-5.970,-79.678,0.9185,0.1953,0.5108,0.1800
12,0.8163,0.6954,0.0000,False,336.630,hero-nemu-seance,-1.0000,0.0000,44.758,-29.602,0.1709,0.0856,-0.0297,0.1800
13,0.8720,0.7535,0.0000,False,338.383,hero-nemu-seance,-1.0000,0.0000,41.796,-27.782,0.1523,0.0678,-0.0068,0.1800
14,0.9302,0.8071,0.0000,False,339.868,hero-nemu-seance,-1.0000,0.0000,39.313,-26.253,0.1380,0.0538,0.0134,0.1800
15,0.9959,0.8672,0.0000,False,341.351,hero-nemu-seance,-1.0000,0.0000,36.292,-24.240,0.1274,0.0443,0.0337,0.1800
16,1.0562,0.9337,0.0000,False,346.971,hero-nemu-seance,-1.0000,0.0000,24.527,-16.284,0.0969,0.0172,0.1149,0.1800
17,1.1329,0.9939,0.0000,False,350.017,hero-nemu-seance,-1.0000,0.0000,18.230,-11.996,0.0853,0.0063,0.1611,0.1800
18,1.1931,1.0718,0.0000,False,352.994,hero-nemu-seance,-1.0000,0.0000,12.740,-8.413,0.0770,-0.0008,0.2000,0.1800
19,1.2521,1.1303,0.0000,False,356.867,hero-nemu-seance,-1.0000,0.0000,5.666,-3.761,0.0680,-0.0079,0.2506,0.1800
20,1.3130,1.1886,0.0000,False,359.644,hero-nemu-seance,-1.0000,0.0000,0.641,-0.427,0.0617,-0.0115,0.2865,0.1800
21,1.3710,1.2502,0.0000,False,0.000,idle,-1.0000,0.0000,0.000,0.000,0.0623,-0.0119,0.2991,0.1800
22,1.4297,1.3085,0.0000,False,0.000,idle,-1.0000,0.0000,-0.239,0.000,0.1084,-0.0110,0.4332,0.1800
23,1.4881,1.3658,0.0000,False,0.000,idle,-1.0000,0.0000,-1.461,0.000,0.2099,-0.0090,0.5615,0.1800
24,1.5527,1.4250,0.0000,False,0.000,idle,-1.0000,0.0000,-2.759,0.000,0.2367,-0.0076,0.5827,0.1800
25,1.6115,1.4895,0.0000,False,0.000,idle,-1.0000,0.0000,-4.080,0.000,0.2638,-0.0074,0.6013,0.1800
26,1.6713,1.5479,0.0000,False,0.000,idle,-1.0000,0.0000,-4.865,0.000,0.2805,-0.0079,0.6115,0.1800
27,1.7305,1.6071,0.0000,False,0.000,idle,-1.0000,0.0000,-4.923,0.000,0.2810,-0.0079,0.6117,0.1800
28,1.7890,1.6667,0.0000,False,0.000,idle,-1.0000,0.0000,-4.397,0.000,0.2654,-0.0072,0.6021,0.1800
29,1.8523,1.7249,0.0000,False,0.000,idle,-1.0000,0.0000,-3.513,0.000,0.2417,-0.0067,0.5860,0.1800
30,1.9116,1.7899,0.0000,False,0.000,idle,-1.0000,0.0000,-2.283,0.000,0.2139,-0.0074,0.5643,0.1800
31,1.9691,1.8479,0.0000,False,0.000,idle,-1.0000,0.0000,-1.138,0.000,0.1941,-0.0093,0.5471,0.1800
32,2.0267,1.9046,0.0000,False,0.000,idle,-1.0000,0.0000,-0.142,0.000,0.1851,-0.0116,0.5391,0.1800
33,2.0876,1.9636,0.0000,False,0.000,idle,-1.0000,0.0000,0.858,0.000,0.1892,-0.0139,0.5442,0.1800
34,2.1448,2.0231,0.0000,False,0.000,idle,-1.0000,0.0000,2.010,0.000,0.2046,-0.0161,0.5599,0.1800
35,2.2049,2.0819,0.0000,False,0.000,idle,-1.0000,0.0000,3.158,0.000,0.2267,-0.0172,0.5795,0.1800
36,2.2622,2.1409,0.0000,False,0.000,idle,-1.0000,0.0000,4.147,0.000,0.2502,-0.0171,0.5975,0.1800
37,2.3275,2.1975,0.0000,False,0.000,idle,-1.0000,0.0000,4.779,0.000,0.2673,-0.0165,0.6091,0.1800
38,2.3919,2.2630,0.0000,False,0.000,idle,-1.0000,0.0000,4.931,0.000,0.2722,-0.0162,0.6123,0.1800
39,2.4693,2.3277,0.0000,False,0.000,idle,-1.0000,0.0000,4.238,0.000,0.2588,-0.0166,0.6034,0.1800
40,2.5502,2.4046,0.0000,False,0.000,idle,-1.0000,0.0000,2.693,0.000,0.2300,-0.0163,0.5818,0.1800
41,2.6067,2.4863,0.0000,False,0.000,idle,-1.0000,0.0000,0.975,0.000,0.2002,-0.0140,0.5549,0.1800
