time,elapsed,host,local,possessed,devouring,x,y,z,bodyX,bodyZ,fieldX,fieldZ,fieldCount,s2active,ultactive,s2charges,ultcharge,modelX,modelZ,sourceCharges,sourceX,sourceZ,stunLeft,mashPresses,tripPresses,petYaw
16.8352,0.0000,0,2,0,0,0.0533,1.2075,3.1656,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6891
16.8863,0.0511,0,2,0,0,0.2288,1.2136,1.5264,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6888
16.9366,0.1014,0,2,0,0,0.3891,1.2196,0.0306,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
16.9872,0.1520,0,2,0,0,0.5509,1.2252,-1.4765,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
17.0381,0.2029,0,2,0,0,0.7154,1.2254,-3.0077,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
17.0896,0.2544,0,2,0,0,0.8757,1.2187,-4.4970,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6888
17.1405,0.3053,0,2,0,0,1.0040,1.2093,-5.6871,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6889
17.1913,0.3561,0,2,0,0,1.0899,1.2019,-6.4825,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6890
17.2426,0.4074,0,2,0,0,1.1435,1.1977,-6.9770,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6891
17.2928,0.4576,0,2,0,0,1.1753,1.1969,-7.2695,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6893
17.3430,0.5078,0,2,0,0,1.1932,1.1985,-7.4342,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6894
17.3938,0.5586,0,2,0,0,1.2037,1.2020,-7.5300,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6896
17.4447,0.6096,0,2,0,0,1.2095,1.2066,-7.5832,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6897
17.4954,0.6602,0,2,0,0,1.2125,1.2117,-7.6118,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6898
17.5465,0.7114,0,2,0,0,1.2140,1.2171,-7.6278,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6899
17.5966,0.7614,0,2,0,0,1.2146,1.2223,-7.6365,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
17.6473,0.8122,0,2,0,0,1.2147,1.2272,-7.6416,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
17.6982,0.8630,0,2,0,0,1.2145,1.2317,-7.6448,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
17.7482,0.9131,0,2,0,0,1.2140,1.2354,-7.6468,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
17.7985,0.9634,0,2,0,0,1.2134,1.2386,-7.6483,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
17.8494,1.0143,0,2,0,0,1.2126,1.2410,-7.6496,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6899
17.8995,1.0643,0,2,0,0,1.2118,1.2425,-7.6506,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6898
17.9505,1.1153,0,2,0,0,1.2108,1.2433,-7.6516,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6897
18.0017,1.1665,0,2,0,0,1.2097,1.2431,-7.6525,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6896
18.0525,1.2173,0,2,0,0,1.2084,1.2421,-7.6534,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6895
18.1032,1.2680,0,2,0,0,1.2072,1.2403,-7.6542,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6893
18.1540,1.3188,0,2,0,0,1.2058,1.2376,-7.6550,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6891
18.2046,1.3694,0,2,0,0,1.2044,1.2342,-7.6558,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6890
18.2552,1.4200,0,2,0,0,1.2029,1.2300,-7.6565,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6889
18.3058,1.4706,0,2,0,0,1.2013,1.2253,-7.6573,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
18.3567,1.5215,0,2,0,0,1.1998,1.2201,-7.6579,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6886
18.4069,1.5717,0,2,0,0,1.1981,1.2145,-7.6585,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
18.4583,1.6231,0,2,0,0,1.1965,1.2085,-7.6591,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
18.5088,1.6736,0,2,0,0,1.1948,1.2024,-7.6597,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6884
18.5591,1.7240,0,2,0,0,1.1931,1.1963,-7.6602,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
