time,elapsed,host,local,possessed,devouring,x,y,z,bodyX,bodyZ,fieldX,fieldZ,fieldCount,s2active,ultactive,s2charges,ultcharge,modelX,modelZ,sourceCharges,sourceX,sourceZ,stunLeft,mashPresses,tripPresses,petYaw
27.1559,0.0000,0,1,0,0,1.1902,1.2000,-7.6406,0.0000,-8.0000,NaN,NaN,0,0,0,0,0.0000,0.0000,-8.0000,0,1.1621,-1.5433,0.0000,0,0,168.6901
27.2061,0.0502,0,1,0,0,1.2021,1.2218,-7.6584,0.0000,-8.0000,NaN,NaN,0,0,0,0,0.0000,0.0000,-8.0000,0,1.2109,-1.5091,0.0000,0,0,168.6772
27.2578,0.1019,0,1,0,0,1.2126,1.2368,-7.6821,0.0000,-8.0000,NaN,NaN,0,0,0,0,0.0000,0.0000,-8.0000,0,1.2187,-1.5036,0.0000,0,0,168.6823
27.3092,0.1533,0,1,0,0,1.2199,1.2490,-7.6974,0.0000,-8.0000,NaN,NaN,0,0,0,0,0.0000,0.0000,-8.0000,0,1.1307,-1.5653,0.0000,0,0,168.6861
27.3607,0.2047,0,1,0,0,1.2237,1.2587,-7.7025,0.0000,-8.0000,NaN,NaN,0,0,0,0,0.0000,0.0000,-8.0000,0,1.1645,-1.5416,0.0000,0,0,168.6882
27.4115,0.2556,0,1,0,0,1.2251,1.2668,-7.7004,0.0000,-8.0000,NaN,NaN,0,0,0,0,0.0000,0.0000,-8.0000,0,1.2027,-1.5148,0.0000,0,0,168.6893
27.4615,0.3056,0,1,0,1,1.1682,0.1000,-1.5390,0.0000,-8.0000,1.1682,-1.5390,1,0,1,0,0.0000,0.0000,-8.0000,0,1.1593,-1.5453,0.0000,0,0,190.2486
27.5137,0.3578,0,1,0,1,1.1682,0.1000,-1.5390,0.0000,-8.0000,1.1682,-1.5390,1,0,1,0,0.0000,0.0000,-8.0000,0,1.1925,-1.5220,0.0000,0,0,190.2486
27.5643,0.4084,0,1,0,1,1.1682,0.1000,-1.5390,0.0000,-8.0000,1.1682,-1.5390,1,0,1,0,0.0000,0.0000,-8.0000,0,1.1768,-1.5330,0.0000,0,0,190.2486
27.6151,0.4592,0,1,0,1,1.1682,0.1000,-1.5390,0.0000,-8.0000,1.1682,-1.5390,1,0,1,0,0.0000,0.0000,-8.0000,0,1.1016,-1.5857,0.0000,0,0,190.2486
27.6661,0.5101,0,1,0,1,1.1682,0.1000,-1.5390,0.0000,-8.0000,1.1682,-1.5390,1,0,1,0,0.0000,0.0000,-8.0000,0,1.1494,-1.5522,0.0000,0,0,190.2486
