time,elapsed,host,local,possessed,devouring,x,y,z,bodyX,bodyZ,fieldX,fieldZ,fieldCount,s2active,ultactive,s2charges,ultcharge,modelX,modelZ,sourceCharges,sourceX,sourceZ,stunLeft,mashPresses,tripPresses,petYaw
10.6475,0.0000,1,0,0,0,-0.6104,1.1919,9.3595,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6856
10.6989,0.0515,1,0,0,0,-0.4013,1.2099,7.3708,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.7071
10.7505,0.1031,1,0,0,0,-0.2564,1.2194,6.0062,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.7016
10.8011,0.1536,1,0,0,0,-0.0885,1.2297,4.4270,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.7051
10.8518,0.2043,1,0,0,0,0.0715,1.2388,2.9209,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.7009
10.9026,0.2551,1,0,0,0,0.2314,1.2471,1.4158,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6957
10.9528,0.3053,1,0,0,0,0.3871,1.2541,-0.0490,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6924
11.0037,0.3563,1,0,0,0,0.5492,1.2601,-1.5735,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6907
11.0561,0.4087,1,0,0,0,0.7095,1.2645,-3.0793,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6901
11.1064,0.4589,1,0,0,0,0.8648,1.2669,-4.5355,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.1576,0.5102,1,0,0,0,0.9930,1.2669,-5.7337,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.2085,0.5611,1,0,0,0,1.0757,1.2650,-6.5025,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.2589,0.6115,1,0,0,0,1.1282,1.2619,-6.9858,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6901
11.3110,0.6635,1,0,0,0,1.1598,1.2585,-7.2715,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6901
11.3620,0.7146,1,0,0,0,1.1786,1.2549,-7.4352,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6901
11.4125,0.7650,1,0,0,0,1.1890,1.2500,-7.5209,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.4633,0.8159,1,0,0,0,1.1954,1.2449,-7.5687,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6900
11.5137,0.8662,1,0,0,0,1.1993,1.2435,-7.5935,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6898
11.5652,0.9177,1,0,0,0,1.2019,1.2438,-7.6065,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6897
11.6158,0.9684,1,0,0,0,1.2038,1.2448,-7.6130,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6896
11.6678,1.0204,1,0,0,0,1.2052,1.2463,-7.6160,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6895
11.7185,1.0711,1,0,0,0,1.2063,1.2484,-7.6172,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6893
11.7696,1.1221,1,0,0,0,1.2073,1.2511,-7.6175,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6891
