time,elapsed,host,local,possessed,devouring,x,y,z,bodyX,bodyZ,fieldX,fieldZ,fieldCount,s2active,ultactive,s2charges,ultcharge,modelX,modelZ,sourceCharges,sourceX,sourceZ,stunLeft,mashPresses,tripPresses,petYaw
10.9688,0.0000,0,1,0,0,0.4034,1.3037,-0.1527,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6893
11.0188,0.0500,0,1,0,0,0.5763,1.2911,-1.7703,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6884
11.0693,0.1005,0,1,0,0,0.7361,1.2796,-3.2619,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6876
11.1205,0.1517,0,1,0,0,0.8926,1.2681,-4.7200,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6885
11.1715,0.2027,0,1,0,0,1.0103,1.2595,-5.8135,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6892
11.2224,0.2536,0,1,0,0,1.0920,1.2539,-6.5684,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6895
11.2737,0.3049,0,1,0,0,1.1412,1.2511,-7.0197,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6895
11.3238,0.3550,0,1,0,0,1.1704,1.2505,-7.2845,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6895
11.3752,0.4064,0,1,0,0,1.1876,1.2515,-7.4364,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6893
11.4259,0.4571,0,1,0,0,1.1974,1.2537,-7.5201,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6892
11.4762,0.5074,0,1,0,0,1.2029,1.2569,-7.5649,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6890
11.5282,0.5595,0,1,0,0,1.2062,1.2611,-7.5896,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6889
11.5793,0.6105,0,1,0,0,1.2081,1.2658,-7.6024,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6888
11.6293,0.6605,0,1,0,0,1.2093,1.2712,-7.6092,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
11.6796,0.7108,0,1,0,0,1.2099,1.2767,-7.6125,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
11.7304,0.7616,0,1,0,0,1.2103,1.2826,-7.6143,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6886
11.7806,0.8118,0,1,0,0,1.2105,1.2888,-7.6152,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6886
11.8313,0.8625,0,1,0,0,1.2105,1.2948,-7.6157,0.0000,-8.0000,NaN,NaN,0,0,0,1,10.0000,0.0000,-8.0000,0,0.0000,-2.5000,0.0000,0,0,168.6887
