frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.2165,0.0579,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.224,-3.894,0.3338,0.1371,0.6029,0.1800
1,0.2899,0.2647,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.5071,0.2768,0.5524,0.1800
2,0.3800,0.3336,0.0000,True,0.000,hero-nemu-project,-1.0000,0.0000,0.000,0.000,0.5071,0.2768,0.5524,0.1800
3,0.4473,0.4248,0.0000,True,5.727,hero-nemu-project,-1.0000,0.0000,6.683,-64.290,0.4628,0.2586,0.4861,0.1800
4,0.5146,0.4911,2.6565,True,13.696,hero-nemu-project,-1.0000,0.0000,-34.390,-76.678,0.9911,0.2348,0.1044,0.1800
5,0.5795,0.5576,2.6565,True,11.987,hero-nemu-project,-1.0000,0.0000,-29.827,-83.680,0.9219,0.3052,0.1049,0.1800
6,0.6410,0.6229,0.0000,True,10.204,hero-nemu-project,-1.0000,0.0000,-25.109,-89.055,0.8332,0.3643,0.1119,0.1800
7,0.7010,0.6839,0.0000,True,9.535,hero-nemu-project,-1.0000,0.0000,-23.396,-84.340,0.7830,0.3877,0.1164,0.1800
8,0.7636,0.7462,0.0000,True,7.248,hero-nemu-project,0.0021,0.0000,-17.808,-64.125,0.5651,0.4227,0.1470,0.1800
9,0.8268,0.8105,0.0000,True,3.910,hero-nemu-project,0.0279,0.0000,-11.011,-36.178,0.2780,0.3084,0.2167,0.1800
10,0.8881,0.8700,0.0000,True,1.199,hero-nemu-project,0.0516,0.0000,-5.610,-13.767,0.1103,0.1142,0.2310,0.1800
11,0.9455,0.9320,0.0000,True,0.000,hero-nemu-project,0.0765,0.0000,-3.827,-4.711,0.0675,0.0223,0.2138,0.1800
12,0.9913,0.9888,0.0000,True,0.006,holding-right,0.0992,0.0000,-4.747,-6.674,0.0743,0.0383,0.2157,0.1800
13,1.0428,1.0410,0.0000,True,0.003,holding-right,0.1200,0.0000,-5.494,-19.173,0.1644,0.0509,0.4737,0.1800
14,1.1017,1.0907,0.0000,True,0.001,holding-right,0.1399,0.0000,-6.144,-21.116,0.3828,0.0405,0.6322,0.1800
15,1.1557,1.1456,0.0000,True,0.000,holding-right,0.1619,0.0000,-6.801,-21.112,0.4527,0.0168,0.6525,0.1800
16,1.2033,1.1994,0.0000,True,0.000,holding-right,0.1834,0.0000,-7.387,-22.912,0.4480,-0.0041,0.6546,0.1800
17,1.2553,1.2508,0.0000,True,0.000,holding-right,0.2040,0.0000,-7.896,-24.469,0.4440,-0.0218,0.6557,0.1800
18,1.3180,1.3032,0.0000,True,0.000,holding-right,0.2249,0.0000,-8.368,-25.913,0.4403,-0.0379,0.6563,0.1800
19,1.3643,1.3615,0.0000,True,0.000,holding-right,0.2483,0.0000,-8.845,-27.366,0.4368,-0.0539,0.6564,0.1800
