time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
10.2005,0.0000,0,2,1,1,-1.0000,0.0000,-0.001,-0.921,1,0.0000,-1.8000,9.0000,1,1,1
10.2510,0.0504,0,2,1,1,-1.0000,0.0000,-0.182,-5.902,1,0.0000,-1.8000,9.0000,1,1,1
10.3012,0.1007,0,2,1,1,-1.0000,0.0000,-1.058,-2.194,1,0.0000,-1.8000,9.0000,1,1,1
10.3515,0.1510,0,2,1,1,-1.0000,0.0000,-2.266,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.4021,0.2016,0,2,1,1,-1.0000,0.0000,-3.378,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.4530,0.2525,0,2,1,1,-1.0000,0.0000,-4.328,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.5034,0.3029,0,2,1,1,-1.0000,0.0000,-4.894,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.5543,0.3538,0,2,1,1,-1.0000,0.0000,-3.957,-2.501,1,0.0000,-1.8000,9.0000,1,1,1
10.6048,0.4043,0,2,1,1,-1.0000,0.0000,-1.730,-4.058,1,0.0000,-1.8000,9.0000,1,1,1
10.6552,0.4547,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.7056,0.5051,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.7562,0.5557,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.8066,0.6060,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.8572,0.6567,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.9077,0.7072,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.9580,0.7575,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.0097,0.8092,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.0604,0.8599,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.1110,0.9105,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.1610,0.9605,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.2111,1.0105,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.2615,1.0609,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.3119,1.1113,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.3622,1.1617,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.4127,1.2122,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.4636,1.2630,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.5141,1.3135,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.5642,1.3637,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.6143,1.4137,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.6650,1.4645,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.7157,1.5152,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.7665,1.5660,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.8168,1.6163,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.8669,1.6664,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.9170,1.7164,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.9670,1.7665,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.0171,1.8165,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.0672,1.8667,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.1175,1.9169,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.1680,1.9675,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.2182,2.0176,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.2685,2.0679,0,2,1,1,0.0087,0.0000,-0.506,-1.451,1,0.0000,-1.8392,8.9922,1,1,1
12.3186,2.1181,0,2,1,1,0.0288,0.0000,-1.598,-4.576,1,0.0000,-1.9808,8.9638,1,1,1
12.3687,2.1681,0,2,1,1,0.0488,0.0000,-2.592,-7.417,1,0.0000,-2.1637,8.9273,1,1,1
12.4191,2.2186,0,2,1,1,0.0690,0.0000,-3.509,-10.028,1,0.0000,-2.2690,8.9062,1,1,1
12.4691,2.2686,0,2,1,1,0.0890,0.0000,-4.338,-12.381,1,0.0000,-2.4201,8.8760,1,1,1
12.5195,2.3190,0,2,1,1,0.1091,0.0000,-5.101,-14.538,1,0.0000,-2.5196,8.8561,1,1,1
12.5697,2.3692,0,2,1,1,0.1292,0.0000,-5.797,-16.494,1,0.0000,-2.6685,8.8263,1,1,1
12.6199,2.4194,0,2,1,1,0.1493,0.0000,-6.432,-18.268,1,0.0000,-2.7595,8.8081,1,1,1
12.6702,2.4697,0,2,1,1,0.1694,0.0000,-7.013,-19.886,1,0.0000,-2.9094,8.7781,1,1,1
12.7203,2.5198,0,2,1,1,0.1895,0.0000,-7.542,-21.348,1,0.0000,-3.0132,8.7574,1,1,1
12.7706,2.5700,0,2,1,1,0.2172,0.0000,-8.200,-23.154,1,0.0000,-3.1642,8.7272,1,1,1
12.8216,2.6211,0,2,1,1,0.2376,0.0000,-8.634,-24.339,1,0.0000,-3.2638,8.7072,1,1,1
12.8719,2.6714,0,2,1,1,0.2577,0.0000,-9.024,-25.399,1,0.0000,-3.4128,8.6774,1,1,1
12.9225,2.7220,0,2,1,1,0.2780,0.0000,-9.383,-26.368,1,0.0000,-3.5616,8.6477,1,1,1
12.9726,2.7720,0,2,1,1,0.2979,0.0000,-9.706,-27.234,1,0.0000,-3.6609,8.6278,1,1,1
13.0234,2.8229,0,2,1,1,0.3181,0.0000,-10.004,-28.030,1,0.0000,-3.8097,8.5981,1,1,1
13.0738,2.8732,0,2,1,1,0.3382,0.0000,-10.276,-28.755,1,0.0000,-3.9090,8.5782,1,1,1
13.1247,2.9242,0,2,1,1,0.3586,0.0000,-10.528,-29.420,1,0.0000,-4.0578,8.5484,1,1,1
13.1752,2.9746,0,2,1,1,0.3788,0.0000,-10.755,-30.019,1,0.0000,-4.1571,8.5286,1,1,1
13.2258,3.0253,0,2,1,1,0.3990,0.0000,-10.963,-30.565,1,0.0000,-4.3059,8.4988,1,1,1
13.2762,3.0757,0,2,1,1,0.4188,0.0000,-11.149,-31.051,1,0.0000,-4.3173,8.4965,1,1,1
13.3266,3.1261,0,2,1,1,0.4390,0.0000,-11.323,-31.502,1,0.0000,-4.2901,8.5020,1,1,1
