time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
10.2238,0.0000,0,1,1,1,-1.0000,0.0000,-0.002,-1.234,1,0.0000,-1.8000,9.0000,1,1,1
10.2739,0.0502,0,1,1,1,-1.0000,0.0000,-0.197,-5.916,1,0.0000,-1.8000,9.0000,1,1,1
10.3241,0.1003,0,1,1,1,-1.0000,0.0000,-1.102,-1.968,1,0.0000,-1.8000,9.0000,1,1,1
10.3752,0.1514,0,1,1,1,-1.0000,0.0000,-2.319,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.4260,0.2022,0,1,1,1,-1.0000,0.0000,-3.430,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.4771,0.2533,0,1,1,1,-1.0000,0.0000,-4.375,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.5272,0.3035,0,1,1,1,-1.0000,0.0000,-4.904,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.5779,0.3541,0,1,1,1,-1.0000,0.0000,-3.040,-3.842,1,0.0000,-1.8000,9.0000,1,1,1
10.6279,0.4042,0,1,1,1,-1.0000,0.0000,-0.902,-2.684,1,0.0000,-1.8000,9.0000,1,1,1
10.6787,0.4549,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.7292,0.5055,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.7799,0.5561,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.8309,0.6072,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.8820,0.6583,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.9327,0.7089,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
10.9835,0.7597,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.0340,0.8103,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.0847,0.8610,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.1356,0.9118,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.1856,0.9619,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.2361,1.0124,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.2866,1.0629,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.3371,1.1133,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.3879,1.1641,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.4383,1.2145,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.4892,1.2654,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.5394,1.3157,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.5901,1.3664,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.6402,1.4164,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.6906,1.4668,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.7413,1.5175,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.7913,1.5675,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.8419,1.6182,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.8927,1.6689,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.9433,1.7195,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
11.9938,1.7700,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.0444,1.8206,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.0945,1.8708,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.1454,1.9216,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.1957,1.9719,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
12.2471,2.0234,0,1,1,1,0.0090,0.0000,-0.524,-1.501,1,0.0000,-1.8992,8.9802,1,1,1
12.2979,2.0741,0,1,1,1,0.0294,0.0000,-1.629,-4.665,1,0.0000,-1.9985,8.9603,1,1,1
12.3498,2.1260,0,1,1,1,0.0501,0.0000,-2.655,-7.597,1,0.0000,-2.1473,8.9305,1,1,1
12.4007,2.1769,0,1,1,1,0.0705,0.0000,-3.573,-10.212,1,0.0000,-2.2466,8.9107,1,1,1
12.4514,2.2277,0,1,1,1,0.0908,0.0000,-4.410,-12.584,1,0.0000,-2.3954,8.8809,1,1,1
12.5025,2.2788,0,1,1,1,0.1113,0.0000,-5.178,-14.752,1,0.0000,-2.4946,8.8611,1,1,1
12.5542,2.3304,0,1,1,1,0.1319,0.0000,-5.884,-16.738,1,0.0000,-2.6435,8.8313,1,1,1
12.6053,2.3816,0,1,1,1,0.1524,0.0000,-6.524,-18.524,1,0.0000,-2.7427,8.8115,1,1,1
12.6570,2.4332,0,1,1,1,0.1730,0.0000,-7.111,-20.157,1,0.0000,-2.8916,8.7817,1,1,1
12.7090,2.4853,0,1,1,1,0.1939,0.0000,-7.651,-21.649,1,0.0000,-3.0404,8.7519,1,1,1
12.7600,2.5362,0,1,1,1,0.2142,0.0000,-8.133,-22.971,1,0.0000,-3.1397,8.7321,1,1,1
12.8101,2.5864,0,1,1,1,0.2343,0.0000,-8.565,-24.153,1,0.0000,-3.2885,8.7023,1,1,1
12.8602,2.6364,0,1,1,1,0.2543,0.0000,-8.960,-25.225,1,0.0000,-3.3878,8.6824,1,1,1
12.9117,2.6880,0,1,1,1,0.2749,0.0000,-9.331,-26.227,1,0.0000,-3.5366,8.6527,1,1,1
12.9623,2.7385,0,1,1,1,0.2951,0.0000,-9.662,-27.116,1,0.0000,-3.6358,8.6328,1,1,1
13.0138,2.7900,0,1,1,1,0.3156,0.0000,-9.969,-27.938,1,0.0000,-3.7847,8.6031,1,1,1
13.0646,2.8408,0,1,1,1,0.3360,0.0000,-10.247,-28.677,1,0.0000,-3.8839,8.5832,1,1,1
13.1150,2.8912,0,1,1,1,0.3561,0.0000,-10.498,-29.342,1,0.0000,-4.0328,8.5534,1,1,1
13.1661,2.9423,0,1,1,1,0.3766,0.0000,-10.731,-29.956,1,0.0000,-4.1320,8.5336,1,1,1
13.2171,2.9934,0,1,1,1,0.3970,0.0000,-10.943,-30.512,1,0.0000,-4.2809,8.5038,1,1,1
13.2672,3.0434,0,1,1,1,0.4170,0.0000,-11.133,-31.008,1,0.0000,-4.2809,8.5038,1,1,1
13.3183,3.0946,0,1,1,1,0.4374,0.0000,-11.310,-31.469,1,0.0000,-4.2809,8.5038,1,1,1
13.3689,3.1451,0,1,1,1,0.4577,0.0000,-11.470,-31.884,1,0.0000,-4.2809,8.5038,1,1,1
13.4189,3.1951,0,1,1,1,0.4777,0.0000,-11.614,-32.257,1,0.0000,-4.2809,8.5038,1,1,1
13.4698,3.2460,0,1,1,1,0.4980,0.0000,-11.748,-32.602,1,0.0000,-4.2809,8.5038,1,1,1
13.5210,3.2972,0,1,1,1,0.5185,0.0000,-11.871,-32.919,1,0.0000,-4.2809,8.5038,1,1,1
13.5715,3.3478,0,1,1,1,0.5387,0.0000,-11.982,-33.203,1,0.0000,-4.2809,8.5038,1,1,1
13.6229,3.3991,0,1,1,1,0.5593,0.0000,-12.085,-33.466,1,0.0000,-4.2809,8.5038,1,1,1
13.6732,3.4494,0,1,1,1,0.5794,0.0000,-12.177,-33.700,1,0.0000,-4.2809,8.5038,1,1,1
13.7245,3.5008,0,1,1,1,0.5999,0.0000,-12.262,-33.918,1,0.0000,-4.2809,8.5038,1,1,1
13.7751,3.5514,0,1,1,1,0.6202,0.0000,-12.339,-34.113,1,0.0000,-4.2809,8.5038,1,1,1
13.8253,3.6016,0,1,1,1,0.6402,0.0000,-12.409,-34.290,1,0.0000,-4.2809,8.5038,1,1,1
13.8760,3.6522,0,1,1,1,0.6605,0.0000,-12.473,-34.453,1,0.0000,-4.2809,8.5038,1,1,1
13.9270,3.7032,0,1,1,1,0.6809,0.0000,-12.532,-34.602,1,0.0000,-4.2809,8.5038,1,1,1
13.9785,3.7547,0,1,1,1,0.7014,0.0000,-12.586,-34.738,1,0.0000,-4.2809,8.5038,1,1,1
14.0304,3.8066,0,1,1,1,0.7221,0.0000,-12.636,-34.864,1,0.0000,-4.2809,8.5038,1,1,1
14.0821,3.8584,0,1,1,1,0.7428,0.0000,-12.681,-34.978,1,0.0000,-4.2809,8.5038,1,1,1
14.1333,3.9095,0,1,1,1,0.7633,0.0000,-12.722,-35.081,1,0.0000,-4.2809,8.5038,1,1,1
14.1854,3.9616,0,1,1,1,0.7841,0.0000,-12.760,-35.176,1,0.0000,-4.2809,8.5038,1,1,1
14.2368,4.0130,0,1,1,1,0.8047,-0.7000,-12.794,-29.448,1,0.0000,-4.2809,8.5038,1,1,1
14.2869,4.0631,0,1,1,1,0.8247,-0.7000,-12.825,-29.512,1,0.0000,-4.2809,8.5038,1,1,1
14.3379,4.1142,0,1,1,1,0.8452,-0.7000,-12.853,-29.570,1,0.0000,-4.2809,8.5038,1,1,1
14.3886,4.1649,0,1,1,1,0.8654,-0.7000,-12.878,-29.624,1,0.0000,-4.2809,8.5038,1,1,1
14.4388,4.2150,0,1,1,1,0.8855,-0.7000,-12.902,-29.672,1,0.0000,-4.2809,8.5038,1,1,1
14.4906,4.2669,0,1,1,1,0.9062,-0.7000,-12.923,-29.717,1,0.0000,-4.2809,8.5038,1,1,1
14.5412,4.3174,0,1,1,1,0.9265,-0.7000,-12.943,-29.757,1,0.0000,-4.2809,8.5038,1,1,1
14.5913,4.3676,0,1,1,1,0.9465,-0.7000,-12.960,-29.794,1,0.0000,-4.2809,8.5038,1,1,1
14.6421,4.4183,0,1,1,1,0.9668,-0.7000,-12.977,-29.828,1,0.0000,-4.2809,8.5038,1,1,1
14.6930,4.4692,0,1,1,1,0.9872,-0.7000,-12.991,-29.858,1,0.0000,-4.2809,8.5038,1,1,1
14.7445,4.5208,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
14.7951,4.5714,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
14.8451,4.6214,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
14.8956,4.6719,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
14.9468,4.7230,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
14.9973,4.7736,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.0486,4.8248,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.1001,4.8764,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.1514,4.9277,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.2031,4.9794,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.2537,5.0299,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.3037,5.0800,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.3540,5.1303,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.4054,5.1816,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.4567,5.2329,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.5068,5.2831,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.5578,5.3341,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.6082,5.3845,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.6591,5.4353,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.7098,5.4860,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.7606,5.5369,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.8106,5.5869,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.8608,5.6370,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.9119,5.6881,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
15.9633,5.7396,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.0147,5.7910,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.0653,5.8415,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.1156,5.8918,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.1664,5.9427,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.2179,5.9942,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.2694,6.0457,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.3210,6.0972,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.3710,6.1473,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.4211,6.1974,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.4720,6.2482,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.5224,6.2987,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.5732,6.3495,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.6240,6.4003,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.6740,6.4503,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.7243,6.5005,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.7755,6.5517,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.8266,6.6028,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.8778,6.6541,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.9284,6.7047,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
16.9801,6.7563,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.0304,6.8067,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.0815,6.8578,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.1319,6.9081,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.1831,6.9594,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.2337,7.0100,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.2842,7.0605,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.3357,7.1119,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.3873,7.1635,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.4378,7.2141,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.4893,7.2655,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.5400,7.3162,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.5901,7.3663,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.6416,7.4178,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.6920,7.4683,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.7436,7.5199,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.7941,7.5704,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.8450,7.6213,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.8966,7.6729,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.9478,7.7241,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
17.9990,7.7753,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
18.0503,7.8265,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
18.1003,7.8766,0,1,1,1,1.0000,-0.7000,-13.000,-29.876,1,0.0000,-4.2809,8.5038,1,1,1
