time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
16.9380,0.0000,0,2,1,1,-1.0000,0.0000,-0.002,-1.183,1,0.0000,-1.8000,9.0000,1,1,1
16.9897,0.0517,0,2,1,1,-1.0000,0.0000,-0.210,-5.920,1,0.0000,-1.8000,9.0000,1,1,1
17.0408,0.1028,0,2,1,1,-1.0000,0.0000,-1.180,-1.566,1,0.0000,-1.8000,9.0000,1,1,1
17.0918,0.1538,0,2,1,1,-1.0000,0.0000,-1.958,-2.852,1,0.0000,-1.8000,9.0000,1,1,1
17.1419,0.2039,0,2,1,1,-1.0000,0.0000,-1.408,-4.485,1,0.0000,-1.8000,9.0000,1,1,1
17.1925,0.2545,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.2434,0.3054,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.2941,0.3561,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.3451,0.4071,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.3958,0.4578,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.4470,0.5090,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.4984,0.5604,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.5491,0.6111,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.6009,0.6629,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.6514,0.7134,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.7028,0.7648,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.7534,0.8153,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.8044,0.8664,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.8555,0.9175,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.9057,0.9677,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.9567,1.0186,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.0072,1.0692,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.0574,1.1194,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.1084,1.1704,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.1598,1.2218,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.2108,1.2728,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.2615,1.3235,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.3123,1.3743,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.3633,1.4252,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.4139,1.4759,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.4646,1.5265,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.5157,1.5777,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.5663,1.6283,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.6176,1.6796,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.6677,1.7296,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.7190,1.7810,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.7693,1.8313,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.8194,1.8814,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.8701,1.9321,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.9211,1.9830,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.9720,2.0340,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.0221,2.0841,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.0729,2.1349,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.1234,2.1854,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.1735,2.2355,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.2250,2.2870,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.2757,2.3377,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.3266,2.3886,0,2,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
19.3774,2.4394,0,2,1,1,0.0021,0.0000,-0.124,-0.354,1,0.0000,-1.8325,8.9935,1,1,1
19.4283,2.4903,0,2,1,1,0.0224,0.0000,-1.262,-3.615,1,0.0000,-1.9564,8.9687,1,1,1
19.4795,2.5415,0,2,1,1,0.0429,0.0000,-2.309,-6.609,1,0.0000,-2.1333,8.9333,1,1,1
19.5306,2.5926,0,2,1,1,0.0634,0.0000,-3.262,-9.326,1,0.0000,-2.2414,8.9117,1,1,1
19.5811,2.6431,0,2,1,1,0.0836,0.0000,-4.120,-11.765,1,0.0000,-2.3991,8.8802,1,1,1
19.6329,2.6949,0,2,1,1,0.1043,0.0000,-4.923,-14.035,1,0.0000,-2.5035,8.8593,1,1,1
19.6837,2.7457,0,2,1,1,0.1246,0.0000,-5.642,-16.059,1,0.0000,-2.6599,8.8280,1,1,1
19.7342,2.7962,0,2,1,1,0.1448,0.0000,-6.294,-17.885,1,0.0000,-2.7504,8.8099,1,1,1
19.7854,2.8474,0,2,1,1,0.1653,0.0000,-6.897,-19.564,1,0.0000,-2.9020,8.7796,1,1,1
19.8365,2.8985,0,2,1,1,0.1857,0.0000,-7.446,-21.083,1,0.0000,-3.0154,8.7569,1,1,1
19.8876,2.9496,0,2,1,1,0.2160,0.0000,-8.172,-23.079,1,0.0000,-3.1790,8.7242,1,1,1
19.9390,3.0010,0,2,1,1,0.2365,0.0000,-8.611,-24.278,1,0.0000,-3.3368,8.6926,1,1,1
19.9902,3.0522,0,2,1,1,0.2572,0.0000,-9.014,-25.370,1,0.0000,-3.4413,8.6717,1,1,1
20.0410,3.1030,0,2,1,1,0.2777,0.0000,-9.378,-26.354,1,0.0000,-3.5976,8.6405,1,1,1
20.0912,3.1531,0,2,1,1,0.2980,0.0000,-9.706,-27.236,1,0.0000,-3.7018,8.6196,1,1,1
20.1413,3.2033,0,2,1,1,0.3182,0.0000,-10.006,-28.037,1,0.0000,-3.8581,8.5884,1,1,1
20.1917,3.2537,0,2,1,1,0.3386,0.0000,-10.281,-28.767,1,0.0000,-3.9623,8.5675,1,1,1
20.2419,3.3039,0,2,1,1,0.3589,0.0000,-10.531,-29.429,1,0.0000,-4.1186,8.5363,1,1,1
20.2924,3.3544,0,2,1,1,0.3791,0.0000,-10.758,-30.027,1,0.0000,-4.2228,8.5154,1,1,1
20.3431,3.4051,0,2,1,1,0.3994,0.0000,-10.967,-30.574,1,0.0000,-4.3791,8.4842,1,1,1
20.3936,3.4556,0,2,1,1,0.4195,0.0000,-11.156,-31.067,1,0.0000,-4.3910,8.4818,1,1,1
20.4440,3.5060,0,2,1,1,0.4396,0.0000,-11.328,-31.516,1,0.0000,-4.3625,8.4875,1,1,1
20.4952,3.5572,0,2,1,1,0.4601,0.0000,-11.488,-31.932,1,0.0000,-4.3545,8.4891,1,1,1
20.5454,3.6074,0,2,1,1,0.4802,0.0000,-11.632,-32.302,1,0.0000,-4.3533,8.4893,1,1,1
20.5974,3.6594,0,2,1,1,0.5010,0.0000,-11.767,-32.650,1,0.0000,-4.3529,8.4894,1,1,1
20.6488,3.7108,0,2,1,1,0.5216,0.0000,-11.889,-32.964,1,0.0000,-4.3528,8.4894,1,1,1
20.6995,3.7615,0,2,1,1,0.5419,0.0000,-11.998,-33.245,1,0.0000,-4.3528,8.4894,1,1,1
20.7507,3.8126,0,2,1,1,0.5623,0.0000,-12.099,-33.502,1,0.0000,-4.3528,8.4894,1,1,1
20.8009,3.8629,0,2,1,1,0.5824,0.0000,-12.190,-33.733,1,0.0000,-4.3528,8.4894,1,1,1
20.8520,3.9140,0,2,1,1,0.6045,0.0000,-12.280,-33.964,1,0.0000,-4.3528,8.4894,1,1,1
20.9025,3.9645,0,2,1,1,0.6247,0.0000,-12.356,-34.155,1,0.0000,-4.3528,8.4894,1,1,1
20.9530,4.0149,0,2,1,1,0.6449,0.0000,-12.424,-34.328,1,0.0000,-4.3528,8.4894,1,1,1
21.0036,4.0656,0,2,1,1,0.6649,0.0000,-12.486,-34.486,1,0.0000,-4.3528,8.4894,1,1,1
21.0541,4.1160,0,2,1,1,0.6849,0.0000,-12.543,-34.629,1,0.0000,-4.3528,8.4894,1,1,1
21.1043,4.1663,0,2,1,1,0.7050,0.0000,-12.595,-34.761,1,0.0000,-4.3528,8.4894,1,1,1
21.1549,4.2169,0,2,1,1,0.7252,0.0000,-12.643,-34.881,1,0.0000,-4.3528,8.4894,1,1,1
21.2054,4.2674,0,2,1,1,0.7454,0.0000,-12.687,-34.991,1,0.0000,-4.3528,8.4894,1,1,1
21.2570,4.3190,0,2,1,1,0.7661,0.0000,-12.728,-35.094,1,0.0000,-4.3528,8.4894,1,1,1
21.3084,4.3704,0,2,1,1,0.7866,0.0000,-12.765,-35.187,1,0.0000,-4.3528,8.4894,1,1,1
21.3597,4.4217,0,2,1,1,0.8040,-0.7000,-12.793,-29.446,1,0.0000,-4.3528,8.4894,1,1,1
21.4102,4.4722,0,2,1,1,0.8242,-0.7000,-12.824,-29.510,1,0.0000,-4.3528,8.4894,1,1,1
21.4607,4.5227,0,2,1,1,0.8444,-0.7000,-12.852,-29.568,1,0.0000,-4.3528,8.4894,1,1,1
21.5117,4.5737,0,2,1,1,0.8648,-0.7000,-12.878,-29.622,1,0.0000,-4.3528,8.4894,1,1,1
21.5625,4.6245,0,2,1,1,0.8851,-0.7000,-12.901,-29.671,1,0.0000,-4.3528,8.4894,1,1,1
21.6126,4.6745,0,2,1,1,0.9051,-0.7000,-12.922,-29.715,1,0.0000,-4.3528,8.4894,1,1,1
