time,elapsed,host,local,round,held,charge,spin,torso,arm,shoeState,shoeSpin,bodyX,bodyZ,heldSeat,heldState,heldHolder
17.0403,0.0000,0,1,1,1,-1.0000,0.0000,-0.002,-1.406,1,0.0000,-1.8000,9.0000,1,1,1
17.0906,0.0503,0,1,1,1,-1.0000,0.0000,-0.075,-5.040,1,0.0000,-1.8000,9.0000,1,1,1
17.1406,0.1003,0,1,1,1,-1.0000,0.0000,-0.039,-3.124,1,0.0000,-1.8000,9.0000,1,1,1
17.1921,0.1518,0,1,1,1,-1.0000,0.0000,-0.002,-0.173,1,0.0000,-1.8000,9.0000,1,1,1
17.2430,0.2027,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.2934,0.2531,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.3454,0.3051,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.3964,0.3561,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.4477,0.4074,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.4991,0.4588,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.5494,0.5091,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.6015,0.5612,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.6522,0.6119,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.7026,0.6623,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.7530,0.7127,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.8049,0.7646,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.8558,0.8155,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.9077,0.8674,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
17.9594,0.9191,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.0108,0.9705,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.0619,1.0216,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.1121,1.0718,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.1626,1.1223,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.2136,1.1733,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.2642,1.2239,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.3151,1.2748,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.3664,1.3261,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.4165,1.3762,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.4678,1.4275,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.5179,1.4776,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
18.5688,1.5285,0,1,1,1,-1.0000,0.0000,0.000,0.000,1,0.0000,-1.8000,9.0000,1,1,1
