frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.0723,0.0069,0.0000,False,0.000,idle,-1.0000,0.0000,-0.002,-1.213,0.7926,0.5334,0.5919,0.1800
1,0.1315,0.0834,0.0000,False,0.000,idle,-1.0000,0.0000,-0.556,-4.815,0.4006,0.1923,0.8480,0.1800
2,0.1904,0.1412,0.0000,False,0.000,idle,-1.0000,0.0000,-1.935,0.000,0.2978,-0.0200,0.8494,0.1800
3,0.2493,0.2012,0.0000,False,0.000,idle,-1.0000,0.0000,-3.265,0.000,0.3422,-0.0215,0.8694,0.1800
4,0.3194,0.2595,0.0000,True,0.000,hero-zack-charge,-1.0000,0.0000,-4.359,0.000,0.3796,-0.0244,0.8836,0.1800
5,0.3804,0.3314,0.0000,True,6.479,hero-zack-charge,-1.0000,0.0000,8.641,-56.909,0.2191,0.5651,0.4569,0.1800
6,0.5119,0.3913,0.0000,True,354.077,hero-zack-charge,-1.0000,0.0000,-7.732,17.805,0.2855,-0.4552,0.7082,0.1800
7,0.7077,0.5586,0.0000,True,357.030,hero-zack-charge,-1.0000,0.0000,-3.376,9.901,0.1314,-0.2577,0.6764,0.1800
8,0.8612,0.7325,0.0000,True,359.708,hero-zack-charge,-1.0000,0.0000,-0.296,0.972,-0.0122,-0.0426,0.5208,0.1800
9,0.9536,0.8825,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-3.681,0.0155,0.0459,0.5683,0.1800
10,1.0268,0.9667,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,-6.442,0.5926,0.4986,0.6605,0.1800
11,1.1063,1.0396,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
12,1.2049,1.1220,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
13,1.2818,1.2181,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
14,1.3639,1.2952,0.0000,True,0.000,holding-right,0.0000,0.0000,0.000,0.000,0.7523,0.5485,0.5555,0.1800
15,1.4367,1.3775,0.0000,True,0.000,holding-right,0.0329,0.0000,-1.810,-6.419,0.7585,0.4605,0.6538,0.1800
16,1.5071,1.4509,0.0000,True,0.000,holding-right,0.0623,0.0000,-3.213,-11.389,0.7602,0.3835,0.7185,0.1800
17,1.5705,1.5188,0.0000,True,0.000,holding-right,0.0894,0.0000,-4.356,-15.435,0.7597,0.3164,0.7634,0.1800
18,1.6358,1.5826,0.0000,True,0.000,holding-right,0.1150,0.0000,-5.310,-18.807,0.7580,0.2583,0.7953,0.1800
19,1.6985,1.6475,0.0000,True,0.000,holding-right,0.1409,0.0000,-6.174,-21.857,0.7557,0.2044,0.8199,0.1800
20,1.7624,1.7110,0.0000,True,0.000,holding-right,0.1663,0.0000,-6.927,-24.511,0.7530,0.1568,0.8381,0.1800
21,1.8258,1.7742,0.0000,True,0.000,holding-right,0.1916,0.0000,-7.595,-26.865,0.7501,0.1143,0.8516,0.1800
22,1.8896,1.8379,0.0000,True,0.000,holding-right,0.2171,0.0000,-8.197,-28.980,0.7472,0.0758,0.8617,0.1800
23,1.9532,1.9019,0.0000,True,0.000,holding-right,0.2427,0.0000,-8.735,-30.869,0.7443,0.0415,0.8692,0.1800
24,2.0258,1.9648,0.0000,False,0.000,holding-right,-1.0000,0.0000,-9.174,-32.407,0.7130,0.0145,0.8437,0.1800
25,2.0874,2.0375,0.0000,False,0.000,idle,-1.0000,0.0000,11.343,-5.054,0.8078,0.7402,0.2167,0.1800
26,2.1473,2.0981,0.0000,False,0.000,idle,-1.0000,0.0000,15.196,2.673,0.7072,0.7724,-0.0386,0.1800
27,2.2050,2.1573,0.0000,False,0.000,idle,-1.0000,0.0000,16.934,6.086,0.6556,0.7460,-0.1573,0.1800
28,2.2632,2.2154,0.0000,False,0.000,idle,-1.0000,0.0000,14.980,2.330,0.6467,0.7866,-0.0276,0.1800
29,2.3196,2.2730,0.0000,False,0.000,idle,-1.0000,0.0000,10.837,-3.107,0.6313,0.7849,0.2517,0.1800
30,2.3774,2.3295,0.0000,False,0.000,idle,-1.0000,0.0000,5.777,-6.486,0.5899,0.6349,0.5725,0.1800
31,2.4337,2.3874,0.0000,False,0.000,idle,-1.0000,0.0000,1.033,-5.976,0.4911,0.3525,0.7993,0.1800
32,2.4922,2.4438,0.0000,False,0.000,idle,-1.0000,0.0000,-1.923,-2.514,0.3705,0.0949,0.8600,0.1800
33,2.5614,2.5101,0.0000,False,0.000,idle,-1.0000,0.0000,-2.243,0.000,0.2825,-0.0195,0.8373,0.1800
34,2.6192,2.5718,0.0000,False,0.000,idle,-1.0000,0.0000,-1.032,0.000,0.2487,-0.0200,0.8196,0.1800
35,2.6781,2.6299,0.0000,False,0.000,idle,-1.0000,0.0000,-0.026,0.000,0.2351,-0.0215,0.8124,0.1800
36,2.7357,2.6889,0.0000,False,0.000,idle,-1.0000,0.0000,0.989,0.000,0.2469,-0.0231,0.8209,0.1800
37,2.7952,2.7459,0.0000,False,0.000,idle,-1.0000,0.0000,2.102,0.000,0.2760,-0.0238,0.8386,0.1800
38,2.8535,2.8058,0.0000,False,0.000,idle,-1.0000,0.0000,3.260,0.000,0.3168,-0.0226,0.8598,0.1800
39,2.9125,2.8638,0.0000,False,0.000,idle,-1.0000,0.0000,4.218,0.000,0.3567,-0.0200,0.8772,0.1800
40,2.9698,2.9230,0.0000,False,0.000,idle,-1.0000,0.0000,4.837,0.000,0.3854,-0.0173,0.8879,0.1800
41,3.0281,2.9793,0.0000,False,0.000,idle,-1.0000,0.0000,4.939,0.000,0.3914,-0.0167,0.8900,0.1800
42,3.0854,3.0382,0.0000,False,0.000,idle,-1.0000,0.0000,4.368,0.000,0.3726,-0.0187,0.8836,0.1800
43,3.1431,3.0956,0.0000,False,0.000,idle,-1.0000,0.0000,3.292,0.000,0.3377,-0.0214,0.8697,0.1800
44,3.2014,3.1536,0.0000,False,0.000,idle,-1.0000,0.0000,2.010,0.000,0.2970,-0.0229,0.8506,0.1800
45,3.2586,3.2112,0.0000,False,0.000,idle,-1.0000,0.0000,0.862,0.000,0.2616,-0.0226,0.8311,0.1800
46,3.3167,3.2690,0.0000,False,0.000,idle,-1.0000,0.0000,0.228,0.000,0.2426,-0.0218,0.8194,0.1800
47,3.3752,3.3265,0.0000,False,0.000,idle,-1.0000,0.0000,-0.119,0.000,0.2396,-0.0212,0.8173,0.1800
48,3.4340,3.3859,0.0000,False,0.000,idle,-1.0000,0.0000,-0.874,0.000,0.2634,-0.0203,0.8313,0.1800
49,3.4933,3.4443,0.0000,False,0.000,idle,-1.0000,0.0000,-2.045,0.000,0.3014,-0.0201,0.8512,0.1800
50,3.5553,3.5046,0.0000,False,0.000,idle,-1.0000,0.0000,-3.371,0.000,0.3458,-0.0217,0.8709,0.1800
51,3.6140,3.5652,0.0000,False,0.000,idle,-1.0000,0.0000,-4.484,0.000,0.3839,-0.0248,0.8851,0.1800
52,3.6759,3.6250,0.0000,False,0.000,idle,-1.0000,0.0000,-4.973,0.000,0.4008,-0.0266,0.8907,0.1800
53,3.7363,3.6865,0.0000,False,0.000,idle,-1.0000,0.0000,-4.733,0.000,0.3885,-0.0254,0.8866,0.1800
54,3.7970,3.7468,0.0000,False,0.000,idle,-1.0000,0.0000,-3.998,0.000,0.3541,-0.0224,0.8741,0.1800
55,3.8566,3.8075,0.0000,False,0.000,idle,-1.0000,0.0000,-2.945,0.000,0.3102,-0.0199,0.8551,0.1800
56,3.9198,3.8671,0.0000,False,0.000,idle,-1.0000,0.0000,-1.770,0.000,0.2694,-0.0192,0.8343,0.1800
57,3.9794,3.9299,0.0000,False,0.000,idle,-1.0000,0.0000,-0.574,0.000,0.2412,-0.0204,0.8180,0.1800
58,4.0383,3.9897,0.0000,False,0.000,idle,-1.0000,0.0000,0.407,0.000,0.2387,-0.0221,0.8170,0.1800
59,4.0980,4.0486,0.0000,False,0.000,idle,-1.0000,0.0000,1.496,0.000,0.2594,-0.0235,0.8301,0.1800
60,4.1586,4.1094,0.0000,False,0.000,idle,-1.0000,0.0000,2.698,0.000,0.2964,-0.0234,0.8506,0.1800
61,4.2185,4.1689,0.0000,False,0.000,idle,-1.0000,0.0000,3.782,0.000,0.3383,-0.0214,0.8702,0.1800
62,4.2774,4.2284,0.0000,False,0.000,idle,-1.0000,0.0000,4.602,0.000,0.3745,-0.0184,0.8844,0.1800
63,4.3360,4.2881,0.0000,False,0.000,idle,-1.0000,0.0000,4.971,0.000,0.3922,-0.0166,0.8905,0.1800
64,4.3957,4.3460,0.0000,False,0.000,idle,-1.0000,0.0000,4.695,0.000,0.3835,-0.0176,0.8875,0.1800
65,4.4549,4.4062,0.0000,False,0.000,idle,-1.0000,0.0000,3.756,0.000,0.3527,-0.0204,0.8761,0.1800
66,4.5152,4.4652,0.0000,False,0.000,idle,-1.0000,0.0000,2.491,0.000,0.3121,-0.0225,0.8581,0.1800
67,4.5759,4.5258,0.0000,False,0.000,idle,-1.0000,0.0000,1.196,0.000,0.2718,-0.0228,0.8370,0.1800
68,4.6354,4.5865,0.0000,False,0.000,idle,-1.0000,0.0000,0.351,0.000,0.2463,-0.0220,0.8217,0.1800
69,4.6943,4.6457,0.0000,False,0.000,idle,-1.0000,0.0000,-0.060,0.000,0.2378,-0.0213,0.8161,0.1800
70,4.7528,4.7048,0.0000,False,0.000,idle,-1.0000,0.0000,-0.630,0.000,0.2557,-0.0205,0.8269,0.1800
71,4.8115,4.7630,0.0000,False,0.000,idle,-1.0000,0.0000,-1.723,0.000,0.2909,-0.0200,0.8459,0.1800
72,4.8699,4.8220,0.0000,False,0.000,idle,-1.0000,0.0000,-3.029,0.000,0.3342,-0.0211,0.8661,0.1800
