wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004258.364,0.01999664,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.3955,0.03999329,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.4284,0.07998657,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.4625,0.1199799,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.496,0.1399765,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.5293,0.1799698,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.5631,0.2199631,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.5954,0.2399597,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.6296,0.279953,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.6619,0.3199463,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.6956,0.3399429,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.7285,0.3799362,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004258.7631,0.4199295,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004258.7953,0.4399261,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004258.829,0.4799194,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004258.8623,0.5199127,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004258.8956,0.5399094,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004258.9291,0.5799026,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004258.9626,0.6198959,0,0,0,0,0,0,1,0,1,0,0,0.03334977,-8,0,1
63925004258.996,0.6398926,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.029,0.6798859,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004259.0629,0.7198792,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.0961,0.7398758,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.1288,0.7798691,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004259.1632,0.8198624,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.1957,0.839859,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.2293,0.8798523,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004259.2626,0.9198456,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.2958,0.9398422,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.3288,0.9798355,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.3638,1.019829,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.3959,1.039825,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.4297,1.079819,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004259.4638,1.119812,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.4968,1.139809,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.5312,1.179802,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004259.5641,1.219795,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.5971,1.239792,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.6314,1.279785,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.6653,1.319778,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.697,1.339775,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.7303,1.379768,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004259.7644,1.419762,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004259.797,1.439758,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.8309,1.479752,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.8647,1.519745,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.8977,1.539742,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004259.932,1.579735,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.9649,1.619728,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004259.9968,1.639725,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.0313,1.679718,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.0638,1.719711,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.0973,1.739708,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.1316,1.779701,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.164,1.819695,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.1974,1.839691,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.2307,1.879684,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004260.265,1.919678,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004260.2975,1.939674,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.331,1.979668,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.364,2.019661,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.3979,2.039658,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.4314,2.079651,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.4638,2.119644,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.4972,2.139641,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.5315,2.179634,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.5641,2.219627,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.5979,2.239624,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.6307,2.279617,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.6638,2.319611,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.6977,2.339607,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.732,2.379601,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004260.7652,2.419594,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.7976,2.43959,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.8314,2.479584,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.8643,2.519577,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.8985,2.539574,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004260.9233,2.55957,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.9513,2.599564,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004260.9858,2.639557,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004261.0179,2.659554,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004261.052,2.699547,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004261.0852,2.73954,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
