wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004258.6365,0.2999496,2,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,1
63925004258.6689,0.3199463,2,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,1
63925004258.7022,0.3599396,2,0,0,0,0,0,1,0,0,0,0,0.1017185,-8,0,1
63925004258.7362,0.3999329,2,0,0,0,0,0,1,0,0,0,0,0.0493712,-8,0,1
63925004258.7692,0.4199295,2,0,0,0,0,0,1,0,0,0,0,0.03334977,-8,0,1
63925004258.8024,0.4599228,2,0,0,0,0,0,1,0,0,0,0,0.01746575,-8,0,1
63925004258.8356,0.4999161,2,0,0,0,0,0,1,0,0,0,0,0.01221151,-8,0,1
63925004258.8695,0.5199127,2,0,0,0,0,0,1,0,0,0,0,0.01118143,-8,0,1
63925004258.9029,0.559906,2,0,0,0,0,0,1,0,0,0,0,0.01032838,-8,0,1
63925004258.9364,0.5998993,2,0,0,0,0,0,1,0,0,0,0,0.01008889,-8,0,1
63925004258.9695,0.6198959,2,0,0,0,0,0,1,0,0,0,0,0.01004589,-8,0,1
63925004259.0027,0.6598892,2,0,0,0,0,0,1,0,0,0,0,0.01001208,-8,0,1
63925004259.0367,0.6998825,2,0,0,0,0,0,1,0,1,0,0,0.01000314,-8,0,1
63925004259.069,0.7398758,2,0,0,0,0,0,1,0,1,0,0,0.01000159,-8,0,1
63925004259.1029,0.7798691,2,0,0,0,0,0,1,0,1,0,0,0.01000041,-8,0,1
63925004259.1364,0.8198624,2,0,0,0,0,0,1,0,1,0,0,0.0100001,-8,0,1
63925004259.1692,0.839859,2,0,0,0,0,0,1,0,1,0,0,0.01000005,-8,0,1
63925004259.2023,0.8798523,2,0,0,0,0,0,1,0,1,0,0,0.01000001,-8,0,1
63925004259.2357,0.9198456,2,0,0,0,0,0,1,0,1,0,0,0.01,-8,0,1
63925004259.27,0.9398422,2,0,0,0,0,0,1,0,1,0,0,0.009999999,-8,0,1
63925004259.3025,0.9798355,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.3361,1.019829,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.3703,1.039825,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.4034,1.079819,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.4364,1.119812,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.4696,1.139809,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.5031,1.179802,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.5368,1.199799,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.5693,1.219795,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.6035,1.259789,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.637,1.299782,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.6699,1.319778,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.7031,1.359772,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.7369,1.399765,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.7697,1.419762,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.804,1.459755,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.8375,1.499748,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.8703,1.519745,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.9033,1.559738,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.9376,1.599731,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004259.9702,1.619728,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.0043,1.659721,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.0367,1.699715,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.0701,1.719711,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.1036,1.759705,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.1368,1.799698,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.1702,1.819695,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.2043,1.859688,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.2374,1.899681,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.2706,1.919678,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.3045,1.959671,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.3379,1.999664,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.3706,2.019661,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.4046,2.079651,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.4376,2.119644,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.4709,2.139641,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.5044,2.179634,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.5377,2.219627,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.5706,2.239624,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.6045,2.279617,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.6378,2.299614,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.6699,2.319611,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.7038,2.359604,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.7371,2.399597,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.7702,2.419594,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.8041,2.459587,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.837,2.49958,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.87,2.519577,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.9043,2.55957,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.9375,2.599564,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004260.9705,2.61956,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004261.004,2.659554,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004261.0368,2.699547,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004261.0699,2.719543,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004261.1039,2.759537,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004261.1375,2.79953,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004261.1702,2.819527,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004261.2033,2.85952,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
