wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004123.5605,0.01999664,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.5912,0.03999329,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.6247,0.07998657,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.6589,0.1199799,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.6913,0.1399765,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.7247,0.1799698,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.7587,0.2199631,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.7913,0.2399597,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.8249,0.279953,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.858,0.3199463,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.8917,0.3399429,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004123.9255,0.3799362,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004123.9582,0.4199295,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004123.9913,0.4399261,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004124.0245,0.4799194,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.0578,0.5199127,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.0916,0.5399094,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004124.1254,0.5799026,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.1584,0.6198959,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,1
63925004124.1921,0.6398926,0,0,0,0,0,0,1,0,1,0,0,0.03334977,-8,0,1
63925004124.2253,0.6798859,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.2591,0.7198792,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.2913,0.7398758,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004124.3249,0.7798691,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.3587,0.8198624,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,1
63925004124.3917,0.839859,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004124.4251,0.8798523,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.4583,0.9198456,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004124.4915,0.9398422,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,1
63925004124.526,0.9798355,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.561,1.019829,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.5921,1.059822,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004124.6254,1.079819,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.6592,1.119812,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004124.6924,1.159805,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.7259,1.179802,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.7592,1.219795,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004124.7919,1.259789,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.8257,1.279785,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.8592,1.319778,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,1
63925004124.8926,1.359772,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.9252,1.379768,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004124.9592,1.419762,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004124.9921,1.459755,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.0259,1.479752,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.0585,1.519745,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.092,1.559738,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004125.1252,1.579735,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.1588,1.619728,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004125.1924,1.659721,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.2261,1.679718,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.2595,1.719711,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004125.2917,1.759705,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.3254,1.779701,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.3589,1.819695,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,1
63925004125.3925,1.859688,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.426,1.879684,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.4586,1.919678,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004125.4926,1.959671,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.5255,1.979668,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.5587,2.019661,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.5927,2.059654,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.6259,2.079651,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.6594,2.119644,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004125.6925,2.159637,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.7256,2.179634,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.7588,2.219627,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004125.7926,2.259621,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.8248,2.279617,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.8589,2.319611,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,1
63925004125.8929,2.359604,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.9253,2.379601,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.9595,2.419594,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004125.9928,2.459587,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.0265,2.479584,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.0594,2.519577,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.093,2.55957,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004126.1252,2.579567,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.1594,2.61956,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004126.192,2.659554,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.2259,2.67955,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.2587,2.719543,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004126.293,2.759537,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.325,2.779533,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.3589,2.819527,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,1
63925004126.392,2.85952,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
63925004126.4264,2.879517,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,1
