wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004123.8306,0.2999496,2,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,1
63925004123.8628,0.3399429,2,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,1
63925004123.8962,0.3599396,2,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,1
63925004123.9291,0.3999329,2,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,1
63925004123.9638,0.4399261,2,0,0,0,0,0,1,0,1,0,0,0.03334977,-8,0,1
63925004123.9963,0.4599228,2,0,0,0,0,0,1,0,1,0,0,0.02336866,-8,0,1
63925004124.0303,0.4999161,2,0,0,0,0,0,1,0,1,0,0,0.0140926,-8,0,1
63925004124.0632,0.5399094,2,0,0,0,0,0,1,0,1,0,0,0.01118143,-8,0,1
63925004124.0969,0.559906,2,0,0,0,0,0,1,0,1,0,0,0.01062528,-8,0,1
63925004124.1303,0.5998993,2,0,0,0,0,0,1,0,1,0,0,0.01017132,-8,0,1
63925004124.1629,0.6398926,2,0,0,0,0,0,1,0,1,0,0,0.01004589,-8,0,1
63925004124.1964,0.6598892,2,0,0,0,0,0,1,0,1,0,0,0.01002359,-8,0,1
63925004124.2303,0.6998825,2,0,0,0,0,0,1,0,1,0,0,0.01000617,-8,0,1
63925004124.2638,0.7398758,2,0,0,0,0,0,1,0,1,0,0,0.01000159,-8,0,1
63925004124.2965,0.7598724,2,0,0,0,0,0,1,0,1,0,0,0.01000081,-8,0,1
63925004124.3296,0.7998657,2,0,0,0,0,0,1,0,1,0,0,0.0100002,-8,0,1
63925004124.3633,0.839859,2,0,0,0,0,0,1,0,1,0,0,0.01000005,-8,0,1
63925004124.3963,0.8598557,2,0,0,0,0,0,1,0,1,0,0,0.01000002,-8,0,1
63925004124.4302,0.8998489,2,0,0,0,0,0,1,0,1,0,0,0.01,-8,0,1
63925004124.4634,0.9398422,2,0,0,0,0,0,1,0,1,0,0,0.009999999,-8,0,1
63925004124.4961,0.9598389,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004124.5302,0.9998322,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
63925004124.5636,1.039825,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,1
