wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004191.1132,0.01999664,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.1449,0.05998993,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.1786,0.07998657,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.2115,0.1199799,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.2449,0.1599731,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.2785,0.1799698,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.311,0.2199631,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.3452,0.2599564,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.3778,0.279953,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.4117,0.3199463,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.4451,0.3599396,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004191.4785,0.3799362,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.5121,0.4199295,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.5453,0.4599228,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004191.5774,0.4799194,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.6115,0.5199127,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.6449,0.559906,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.6787,0.5799026,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.7117,0.6198959,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,0
63925004191.7441,0.6598892,0,0,0,0,0,0,1,0,1,0,0,0.02336866,-8,0,0
63925004191.7776,0.6798859,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.8118,0.7198792,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.8451,0.7598724,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004191.8777,0.7798691,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.9109,0.8198624,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.9453,0.8598557,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004191.9782,0.8798523,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.0116,0.9198456,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.0451,0.9598389,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004192.0791,0.9798355,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.113,1.019829,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.1447,1.059822,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.1786,1.079819,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.212,1.119812,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.2442,1.159805,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004192.2777,1.179802,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.312,1.219795,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.3456,1.259789,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.3784,1.279785,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.4117,1.319778,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.4456,1.359772,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004192.4791,1.379768,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.5122,1.419762,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.5451,1.459755,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004192.5785,1.479752,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.6122,1.519745,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.6458,1.559738,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.6779,1.579735,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.7119,1.619728,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.7456,1.659721,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004192.7784,1.679718,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.8123,1.719711,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.8452,1.759705,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004192.8786,1.779701,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.9126,1.819695,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004192.9456,1.859688,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004192.9788,1.879684,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004193.0119,1.919678,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004193.0453,1.959671,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004193.0786,1.979668,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004193.1123,2.019661,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004193.1457,2.059654,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004193.1784,2.079651,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004193.2126,2.119644,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004193.2452,2.159637,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
