wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004191.5257,0.01999664,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.558,0.05998993,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.5915,0.07998657,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.626,0.3999329,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.6588,0.4399261,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.6917,0.4599228,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.7258,0.4999161,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.7592,0.5399094,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.7922,0.559906,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.8256,0.5998993,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.8585,0.6198959,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.8919,0.6398926,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.9252,0.6798859,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.9593,0.7198792,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004191.9921,0.7398758,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004192.0252,0.7798691,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.0587,0.8198624,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.0919,0.839859,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.1251,0.8798523,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.1592,0.9198456,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.1924,0.9398422,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.226,0.9798355,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.2584,1.019829,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.292,1.039825,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.3262,1.079819,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.3589,1.119812,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.3921,1.139809,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.4256,1.179802,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.4589,1.219795,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.4926,1.239792,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.5265,1.279785,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.5598,1.319778,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.5923,1.339775,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.6262,1.379768,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.6586,1.419762,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.6923,1.439758,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.7259,1.499748,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.7595,1.539742,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.7923,1.559738,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.8253,1.599731,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.8592,1.639725,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.8925,1.659721,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.9258,1.699715,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.9598,1.719711,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004192.9928,1.739708,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.0269,1.779701,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.06,1.819695,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.0925,1.839691,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.1266,1.879684,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.1594,1.919678,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.1928,1.939674,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.2266,1.979668,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.2594,2.019661,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.2924,2.039658,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.3265,2.079651,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.3593,2.119644,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.3931,2.139641,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.4263,2.179634,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.46,2.219627,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.4928,2.239624,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.5269,2.279617,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.5597,2.319611,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.5924,2.339607,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004193.6268,2.379601,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
