wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004068.7151,0.01999664,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.7469,0.03999329,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.7805,0.07998657,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.8139,0.1199799,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.8463,0.1399765,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.88,0.1799698,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.9137,0.2199631,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.9468,0.2399597,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004068.9806,0.279953,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.0143,0.3199463,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.0467,0.3399429,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.0802,0.3799362,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.114,0.4199295,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.1471,0.4399261,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.1799,0.4799194,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.2136,0.5199127,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.2466,0.5399094,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.2804,0.5799026,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.3142,0.6198959,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.3467,0.6398926,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.3808,0.6798859,0,0,0,0,0,0,1,0,1,0,0,0.0493712,-8,0,0
63925004069.4135,0.7198792,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.4467,0.7398758,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.4803,0.7798691,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.5139,0.8198624,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.5475,0.839859,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.5813,0.8798523,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.614,0.9198456,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.647,0.9398422,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.6814,0.9798355,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.7191,1.019829,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.7477,1.039825,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.7811,1.079819,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.8141,1.119812,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.8471,1.139809,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.8814,1.179802,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.914,1.219795,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004069.9472,1.239792,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.9813,1.279785,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.0141,1.319778,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.0477,1.339775,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.0812,1.379768,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.1146,1.419762,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.1477,1.439758,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.1813,1.479752,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.2152,1.519745,0,0,0,0,0,0,1,0,1,0,0,0.07291741,-8,0,0
63925004070.2472,1.539742,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.2814,1.579735,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.3143,1.619728,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.3481,1.639725,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.3805,1.679718,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.415,1.719711,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.4472,1.739708,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.4812,1.779701,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.5145,1.819695,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.5481,1.839691,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.5806,1.879684,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.6149,1.919678,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.6471,1.939674,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.6814,1.979668,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.7139,2.019661,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.748,2.039658,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.7816,2.079651,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.8154,2.119644,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.8475,2.139641,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.8816,2.179634,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.9147,2.219627,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.9484,2.239624,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004070.9817,2.279617,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.015,2.319611,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.0478,2.339607,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004071.0812,2.379601,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.1152,2.419594,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.1484,2.43959,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004071.1815,2.479584,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.2145,2.519577,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.2477,2.539574,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004071.2823,2.579567,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.3146,2.61956,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.3478,2.639557,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004071.3824,2.67955,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.4147,2.719543,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.4481,2.73954,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.4812,2.779533,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.5148,2.819527,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.5479,2.839523,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004071.5814,2.879517,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.6157,2.91951,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.6477,2.939507,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.6815,2.9795,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.7159,3.019493,0,0,0,0,0,0,1,0,1,0,0,0.1017185,-8,0,0
63925004071.748,3.03949,0,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
