wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004069.03,0,2,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004069.0641,0.03999329,2,0,0,0,0,0,1,0,0,0,0,0.1017185,-8,0,0
63925004069.0976,0.07998657,2,0,0,0,0,0,1,0,0,0,0,0.0493712,-8,0,0
63925004069.13,0.09998322,2,0,0,0,0,0,1,0,0,0,0,0.03334977,-8,0,0
63925004069.1632,0.4799194,2,0,0,0,0,0,1,0,0,0,0,0.01746575,-8,0,0
63925004069.1974,0.5199127,2,0,0,0,0,0,1,0,0,0,0,0.01221151,-8,0,0
63925004069.2304,0.5399094,2,0,0,0,0,0,1,0,0,0,0,0.01118143,-8,0,0
63925004069.2631,0.5799026,2,0,0,0,0,0,1,0,1,0,0,0.01032838,-8,0,0
63925004069.2974,0.6198959,2,0,0,0,0,0,1,0,1,0,0,0.01008889,-8,0,0
63925004069.3304,0.6398926,2,0,0,0,0,0,1,0,1,0,0,0.01004589,-8,0,0
63925004069.364,0.6798859,2,0,0,0,0,0,1,0,1,0,0,0.01001208,-8,0,0
63925004069.3969,0.6998825,2,0,0,0,0,0,1,0,1,0,0,0.01000314,-8,0,0
63925004069.4304,0.7198792,2,0,0,0,0,0,1,0,1,0,0,0.01000159,-8,0,0
63925004069.4643,0.7598724,2,0,0,0,0,0,1,0,1,0,0,0.01000041,-8,0,0
63925004069.4978,0.7998657,2,0,0,0,0,0,1,0,1,0,0,0.0100001,-8,0,0
63925004069.5302,0.8198624,2,0,0,0,0,0,1,0,1,0,0,0.01000005,-8,0,0
63925004069.5643,0.8598557,2,0,0,0,0,0,1,0,1,0,0,0.01000001,-8,0,0
63925004069.598,0.8998489,2,0,0,0,0,0,1,0,1,0,0,0.01,-8,0,0
63925004069.6303,0.9198456,2,0,0,0,0,0,1,0,1,0,0,0.009999999,-8,0,0
63925004069.6647,0.9598389,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.6969,0.9998322,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.7318,1.019829,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.7643,1.059822,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.7975,1.099815,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.8309,1.119812,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.8647,1.159805,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.897,1.199799,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.9307,1.219795,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.9637,1.259789,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004069.9977,1.299782,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.0308,1.319778,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.0646,1.359772,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.0973,1.399765,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.1307,1.419762,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.1642,1.459755,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.1984,1.499748,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.2304,1.519745,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.264,1.579735,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.2978,1.619728,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.3303,1.639725,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.3645,1.679718,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.3981,1.719711,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.431,1.739708,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.464,1.779701,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.498,1.799698,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.5313,1.819695,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.5648,1.859688,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.5978,1.899681,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.6302,1.919678,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.6651,1.959671,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.6977,1.999664,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.7312,2.019661,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.7648,2.059654,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.7984,2.099648,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.8315,2.119644,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.8649,2.159637,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.8979,2.199631,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.9315,2.219627,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.9652,2.259621,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004070.998,2.299614,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.0313,2.319611,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.0642,2.359604,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.0982,2.399597,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.1315,2.419594,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.1651,2.459587,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.1989,2.49958,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.2315,2.519577,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.2645,2.55957,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.2979,2.599564,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.3313,2.61956,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.3643,2.67955,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.3988,2.719543,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.4312,2.73954,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.465,2.779533,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.4983,2.819527,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.5314,2.839523,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.5646,2.879517,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.5988,2.899513,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.6313,2.91951,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.6648,2.959503,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.6982,2.999496,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.7311,3.019493,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.7649,3.059486,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.799,3.09948,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.8316,3.119476,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.8653,3.15947,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.8979,3.199463,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.932,3.21946,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.965,3.259453,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004071.9991,3.299446,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.032,3.319443,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.0653,3.359436,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.0983,3.399429,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.1319,3.419426,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.1649,3.459419,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.1982,3.499413,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.2316,3.519409,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.2659,3.559402,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.2991,3.599396,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.3313,3.619392,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.366,3.659386,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.3992,3.699379,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.4317,3.719376,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.4655,3.779366,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.4987,3.819359,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
63925004072.5321,3.839355,2,0,0,0,0,0,1,0,1,0,0,0.009999998,-8,0,0
