wallTime,elapsed,local,active,remaining,cooldown,visuals,orbit,slow,immune,held,refreshed,x,y,z,ultcharge,variant
63925004069.1852,0.01999664,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004069.2181,0.03999329,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004069.2513,0.07998657,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004069.284,0.1199799,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004069.3181,0.4599228,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004069.3514,0.4999161,1,0,0,0,0,0,1,0,0,0,0,0.12,-8,0,0
63925004069.3838,0.5399094,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.418,0.559906,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.4515,0.5998993,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.4851,0.6398926,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.5177,0.6598892,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.5516,0.6998825,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.5847,0.7398758,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.6182,0.7598724,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.6511,0.7998657,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.6845,0.839859,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.7181,0.8598557,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.7513,0.9198456,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.7847,0.9598389,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.8176,0.9798355,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.8512,1.019829,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.8849,1.059822,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.9187,1.079819,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.9518,1.119812,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004069.9851,1.159805,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.0176,1.179802,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.0515,1.219795,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.085,1.259789,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.1181,1.279785,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.1515,1.319778,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.1855,1.359772,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.2177,1.379768,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.2516,1.419762,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
63925004070.2847,1.459755,1,0,0,0,0,0,1,0,1,0,0,0.12,-8,0,0
