map,quality,samples,mean_player_frame_ms,p95_player_frame_ms,mean_draw_calls,mean_triangles,mean_setpass,mesh_renderers,static_batched_renderers,unique_materials,world_width,world_height
Eskinita,Low,120,3.080,3.533,-1.0,750566,1380.0,710,562,111,1920,1080
Eskinita,Balanced,120,3.685,9.756,-1.0,811334,1330.2,710,562,111,1920,1080
Eskinita,High,120,3.878,8.795,-1.0,1023484,1356.0,710,562,111,1920,1080
BayanPlaza,Low,120,2.489,2.996,-1.0,608385,726.7,222,168,99,1920,1080
BayanPlaza,Balanced,120,3.248,3.709,-1.0,648764,730.9,222,168,99,1920,1080
BayanPlaza,High,120,3.560,5.190,-1.0,781799,743.8,222,168,99,1920,1080
IlalimNgTulay,Low,120,5.029,5.899,-1.0,1213830,3461.5,1416,392,702,1920,1080
IlalimNgTulay,Balanced,120,5.536,6.595,-1.0,1458032,3576.0,1416,392,702,1920,1080
IlalimNgTulay,High,120,6.852,10.595,-1.0,1711474,3624.8,1416,392,702,1920,1080
SaBubong,Low,120,3.078,3.603,-1.0,647274,505.8,184,127,64,1920,1080
SaBubong,Balanced,120,3.847,5.183,-1.0,669244,502.8,184,127,64,1920,1080
SaBubong,High,120,4.145,9.804,-1.0,803083,526.6,184,127,64,1920,1080
Lagoon,Low,120,3.119,3.984,-1.0,807812,783.4,182,54,132,1920,1080
Lagoon,Balanced,120,4.391,10.004,-1.0,878561,819.1,182,54,132,1920,1080
Lagoon,High,120,4.714,15.189,-1.0,1087020,862.6,182,54,132,1920,1080
