map,quality,samples,mean_player_frame_ms,p95_player_frame_ms,mean_draw_calls,mean_triangles,mean_setpass,mesh_renderers,static_batched_renderers,unique_materials,world_width,world_height
Eskinita,Low,120,3.103,3.502,-1.0,727256,1373.5,710,562,111,1920,1080
Eskinita,Balanced,120,4.146,13.699,-1.0,783290,1358.5,710,562,111,1920,1080
Eskinita,High,120,4.597,11.094,-1.0,941258,1359.6,710,562,111,1920,1080
BayanPlaza,Low,120,2.716,3.178,-1.0,609689,734.0,222,168,99,1920,1080
BayanPlaza,Balanced,120,3.833,9.196,-1.0,643063,744.5,222,168,99,1920,1080
BayanPlaza,High,120,4.249,13.561,-1.0,767445,754.7,222,168,99,1920,1080
IlalimNgTulay,Low,120,5.066,5.807,-1.0,1211567,3468.0,1416,392,702,1920,1080
IlalimNgTulay,Balanced,120,6.177,7.609,-1.0,1449382,3591.5,1416,392,702,1920,1080
IlalimNgTulay,High,120,7.382,20.388,-1.0,1688420,3638.0,1416,392,702,1920,1080
SaBubong,Low,120,3.447,8.204,-1.0,648746,512.0,184,127,64,1920,1080
SaBubong,Balanced,120,4.511,14.335,-1.0,659261,515.7,184,127,64,1920,1080
SaBubong,High,120,4.626,15.073,-1.0,771920,539.5,184,127,64,1920,1080
Lagoon,Low,120,3.620,12.554,-1.0,811160,791.0,182,54,132,1920,1080
Lagoon,Balanced,120,4.772,16.695,-1.0,871889,825.1,182,54,132,1920,1080
Lagoon,High,120,5.399,17.502,-1.0,1078839,868.0,182,54,132,1920,1080
