map,quality,samples,mean_player_frame_ms,p95_player_frame_ms,mean_draw_calls,mean_triangles,mean_setpass,mesh_renderers,static_batched_renderers,unique_materials,world_width,world_height
Eskinita,Low,120,2.955,3.349,-1.0,725599,1371.5,710,562,111,1920,1080
Eskinita,Balanced,120,3.930,9.765,-1.0,783320,1358.6,710,562,111,1920,1080
Eskinita,High,120,4.411,15.300,-1.0,949166,1371.1,710,562,111,1920,1080
BayanPlaza,Low,120,2.617,2.848,-1.0,604617,725.9,222,168,99,1920,1080
BayanPlaza,Balanced,120,3.458,3.631,-1.0,643265,743.3,222,168,99,1920,1080
BayanPlaza,High,120,3.710,3.844,-1.0,767481,751.7,222,168,99,1920,1080
IlalimNgTulay,Low,120,4.672,5.414,-1.0,1210742,3466.0,1416,392,702,1920,1080
IlalimNgTulay,Balanced,120,5.470,5.680,-1.0,1449390,3589.1,1416,392,702,1920,1080
IlalimNgTulay,High,120,6.889,7.174,-1.0,1674358,3606.4,1416,392,702,1920,1080
SaBubong,Low,120,3.192,3.299,-1.0,643354,507.7,184,127,64,1920,1080
SaBubong,Balanced,120,4.020,4.126,-1.0,659398,516.2,184,127,64,1920,1080
SaBubong,High,120,4.273,4.409,-1.0,771920,539.5,184,127,64,1920,1080
Lagoon,Low,120,3.436,3.573,-1.0,804414,785.4,182,54,132,1920,1080
Lagoon,Balanced,120,4.334,4.524,-1.0,871959,828.3,182,54,132,1920,1080
Lagoon,High,120,4.640,4.961,-1.0,1069798,861.8,182,54,132,1920,1080
