bird,view,seconds,x,y,z,visible,state
maya,before,0.002,-3.000,0.102,4.000,True,idle|wait=29.97|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.108,-3.000,0.102,4.000,True,idle|wait=29.76|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.209,-3.000,0.102,4.000,True,idle|wait=29.65|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.310,-3.000,0.102,4.000,True,idle|wait=29.55|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.412,-3.000,0.102,4.000,True,idle|wait=29.45|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.512,-3.000,0.102,4.000,True,idle|wait=29.35|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.613,-3.000,0.102,4.000,True,idle|wait=29.25|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.715,-3.000,0.102,4.000,True,idle|wait=29.14|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.816,-3.000,0.102,4.000,True,idle|wait=29.04|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.917,-3.000,0.102,4.000,True,peck|wait=28.94|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,1.021,-3.000,0.102,4.000,True,peck|wait=28.87|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,1.129,-3.000,0.326,4.298,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.230,-3.000,0.712,4.813,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.331,-3.000,1.014,5.216,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.436,-3.000,1.312,5.614,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.537,-3.000,1.621,6.026,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.638,-3.000,1.916,6.419,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=153.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
