seconds,x,y,z,state
9.416,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=339.8|peeing=False|peeCooldown=105.5|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
9.518,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=346.4|peeing=False|peeCooldown=105.4|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
9.620,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=353.0|peeing=False|peeCooldown=105.3|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
9.722,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=359.6|peeing=False|peeCooldown=105.2|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
9.823,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=105.1|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
9.925,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=105.0|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.026,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.129,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.8|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.239,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.7|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.342,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.6|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.445,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.5|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.547,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.4|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.649,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.3|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.751,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.2|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.856,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.1|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
10.960,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.0|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
11.061,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=103.9|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
11.173,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=103.8|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
11.276,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=103.7|aerial=False|glide=False|legs=0|activity=Investigate|site=0|visits=3
11.379,9.500,0.102,-8.500,idle|wait=5.24|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=103.6|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
11.485,9.500,0.102,-8.493,walk|wait=5.24|panic=0.00|target=1|speed=0.12|near=False|yaw=0.0|peeing=False|peeCooldown=103.5|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
11.591,9.500,0.102,-8.475,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=103.4|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
11.695,9.500,0.102,-8.456,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=103.3|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
11.803,9.500,0.102,-8.437,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=103.2|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
11.907,9.500,0.102,-8.418,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=103.1|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
12.013,9.500,0.102,-8.399,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=103.0|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
12.115,9.500,0.102,-8.380,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=102.8|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
12.225,9.500,0.102,-8.361,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=102.7|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
12.334,9.500,0.102,-8.341,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=102.6|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
12.438,9.500,0.102,-8.322,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=102.5|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
12.542,9.500,0.102,-8.304,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=102.4|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
12.646,9.500,0.102,-8.285,walk|wait=5.24|panic=0.00|target=1|speed=0.18|near=False|yaw=0.0|peeing=False|peeCooldown=102.3|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=3
