seconds,x,y,z,state
8.524,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=280.4|peeing=False|peeCooldown=115.1|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
8.630,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=273.5|peeing=False|peeCooldown=115.0|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
8.731,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.9|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
8.833,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.8|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
8.934,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.6|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.035,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.5|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.140,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.4|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.245,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.3|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.345,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.2|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.448,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.1|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.549,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=114.0|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.650,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.9|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.762,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.8|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.865,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.7|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.967,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.6|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.070,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.5|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.172,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.4|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.276,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.3|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.378,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.2|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.479,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.1|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.583,-9.500,0.102,9.000,idle|wait=7.87|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=113.0|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
