bird,view,seconds,x,y,z,visible,state
maya,before,0.002,-3.000,0.100,4.000,True,idle|wait=29.97|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.105,-3.000,0.100,4.000,True,idle|wait=29.75|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.207,-3.000,0.100,4.000,True,idle|wait=29.65|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.308,-3.000,0.100,4.000,True,idle|wait=29.55|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.411,-3.000,0.100,4.000,True,idle|wait=29.45|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.512,-3.000,0.100,4.000,True,idle|wait=29.35|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.614,-3.000,0.100,4.000,True,idle|wait=29.25|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.717,-3.000,0.100,4.000,True,idle|wait=29.14|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.819,-3.000,0.100,4.000,True,idle|wait=29.04|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.920,-3.000,0.100,4.000,True,peck|wait=28.94|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,1.022,-3.000,0.100,4.000,True,peck|wait=28.86|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,1.134,-3.000,0.327,4.303,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.242,-3.000,0.641,4.722,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.342,-3.000,0.947,5.129,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.444,-3.000,1.253,5.538,True,fly|wait=28.84|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=104.9|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
