seconds,x,y,z,state
9.477,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=99.5|peeing=False|peeCooldown=126.3|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
9.616,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.5|peeing=False|peeCooldown=126.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
9.718,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=126.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
9.819,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=126.0|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
9.921,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=125.9|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
10.021,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=125.8|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
10.127,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=125.7|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
10.230,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=125.6|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
10.331,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=125.5|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
10.432,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=125.4|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
10.536,7.300,0.100,-4.000,idle|wait=5.41|panic=0.00|target=1|speed=0.00|near=False|yaw=90.0|peeing=False|peeCooldown=125.3|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=3
