seconds,x,y,z,state
8.576,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=280.0|peeing=False|peeCooldown=135.3|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.583,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=279.5|peeing=False|peeCooldown=135.3|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.617,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=277.3|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.623,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=276.9|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.627,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=276.7|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.629,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=276.5|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.631,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=276.4|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.634,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=276.2|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.659,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=274.6|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.663,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=274.3|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.666,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=274.1|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.669,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=274.0|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.673,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=273.7|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.679,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=273.3|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.682,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=273.1|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.686,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=272.9|peeing=False|peeCooldown=135.2|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.716,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=270.9|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.720,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=270.6|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.725,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=270.3|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.728,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=270.1|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.730,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=270.0|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.733,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=269.8|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.735,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=269.7|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.737,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=269.5|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.768,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=267.5|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
8.773,-7.300,0.100,-10.500,idle|wait=2.05|panic=0.00|target=1|speed=0.00|near=False|yaw=267.2|peeing=False|peeCooldown=135.1|aerial=False|glide=False|legs=0|activity=Investigate|site=1|visits=1
