bird,view,seconds,x,y,z,visible,state
maya,before,0.002,-3.000,0.001,4.000,True,idle|wait=29.97|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.120,-3.000,0.001,4.000,True,idle|wait=29.78|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.222,-3.000,0.001,4.000,True,idle|wait=29.64|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.322,-3.000,0.001,4.000,True,idle|wait=29.57|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.423,-3.000,0.001,4.000,True,idle|wait=29.47|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.533,-3.000,0.001,4.000,True,idle|wait=29.37|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.636,-3.000,0.001,4.000,True,idle|wait=29.26|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.744,-3.000,0.001,4.000,True,idle|wait=29.16|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.847,-3.000,0.001,4.000,True,idle|wait=29.01|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,0.952,-3.000,0.001,4.000,True,peck|wait=28.95|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=2|landings=0
maya,before,1.063,-3.000,0.031,4.040,True,fly|wait=28.85|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.165,-3.000,0.307,4.408,True,fly|wait=28.85|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.273,-3.000,0.590,4.786,True,fly|wait=28.85|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.378,-3.000,0.866,5.154,True,fly|wait=28.85|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
maya,before,1.484,-3.000,1.139,5.518,True,fly|wait=28.85|panic=0.00|target=1|speed=0.00|near=True|yaw=0.0|peeing=False|peeCooldown=156.2|aerial=False|glide=False|legs=0|activity=Watch|site=-1|visits=0|perch=-1|birdPhase=3|landings=0
