seconds,x,y,z,state
9.570,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=20.1|peeing=False|peeCooldown=165.8|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
9.671,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=13.5|peeing=False|peeCooldown=165.7|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
9.771,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=7.0|peeing=False|peeCooldown=165.6|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
9.878,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.1|peeing=False|peeCooldown=165.5|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
9.983,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=165.4|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.086,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=165.3|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.190,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=165.2|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.294,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=165.1|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.397,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.9|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.498,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.8|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.605,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.7|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.711,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.6|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.817,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.5|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
10.923,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.4|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
11.024,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.3|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
11.124,10.000,0.212,3.000,idle|wait=4.56|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=164.2|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=3
11.255,9.997,0.212,3.003,walk|wait=4.56|panic=0.00|target=1|speed=0.08|near=False|yaw=348.9|peeing=False|peeCooldown=164.1|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
11.358,9.987,0.212,3.013,walk|wait=4.56|panic=0.00|target=1|speed=0.17|near=False|yaw=332.6|peeing=False|peeCooldown=164.0|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
11.461,9.973,0.212,3.027,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=316.1|peeing=False|peeCooldown=163.9|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
11.563,9.959,0.212,3.041,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.8|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
11.664,9.946,0.212,3.054,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.7|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
11.765,9.932,0.212,3.068,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.6|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
11.868,9.918,0.212,3.082,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.5|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
11.969,9.905,0.212,3.095,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.4|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.080,9.890,0.212,3.110,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.3|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.187,9.876,0.212,3.124,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.2|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.294,9.861,0.212,3.139,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=163.1|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.397,9.847,0.212,3.153,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.9|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.509,9.832,0.212,3.168,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.8|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.614,9.818,0.212,3.182,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.7|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.720,9.804,0.212,3.196,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.6|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.822,9.790,0.212,3.210,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.5|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
12.924,9.776,0.212,3.224,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.4|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
13.033,9.762,0.212,3.238,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.3|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
13.135,9.748,0.212,3.252,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.2|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
13.236,9.735,0.212,3.265,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.1|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
13.338,9.721,0.212,3.279,walk|wait=4.56|panic=0.00|target=1|speed=0.19|near=False|yaw=315.0|peeing=False|peeCooldown=162.0|aerial=False|glide=False|legs=0|activity=Transit|site=0|visits=3
