seconds,x,y,z,state
8.602,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.8|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
8.705,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.7|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
8.806,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.6|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
8.908,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.5|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.010,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.4|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.124,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.2|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.228,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.1|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.331,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=88.0|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.432,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.9|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.535,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.8|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.637,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.7|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.739,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.6|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.841,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.5|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
9.943,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.4|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.049,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.3|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.159,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.2|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.262,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.1|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.364,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=87.0|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.470,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=86.9|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.576,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=86.8|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.682,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=86.7|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.785,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=86.6|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.891,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=86.5|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
10.998,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=86.4|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
11.098,-9.000,0.212,-9.500,idle|wait=2.82|panic=0.00|target=1|speed=0.00|near=False|yaw=0.0|peeing=False|peeCooldown=86.3|aerial=False|glide=False|legs=0|activity=Investigate|site=2|visits=1
11.199,-9.000,0.212,-9.500,alert|wait=2.82|panic=0.00|target=1|speed=0.01|near=False|yaw=0.0|peeing=False|peeCooldown=86.2|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
11.300,-9.000,0.212,-9.493,walk|wait=2.82|panic=0.00|target=1|speed=0.12|near=False|yaw=0.0|peeing=False|peeCooldown=86.1|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
11.403,-9.000,0.212,-9.474,walk|wait=2.82|panic=0.00|target=1|speed=0.23|near=False|yaw=0.0|peeing=False|peeCooldown=86.0|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
11.505,-9.000,0.212,-9.444,walk|wait=2.82|panic=0.00|target=1|speed=0.34|near=False|yaw=0.0|peeing=False|peeCooldown=85.9|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
11.606,-9.000,0.212,-9.403,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.8|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
11.708,-9.000,0.212,-9.359,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.7|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
11.810,-9.000,0.212,-9.316,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.6|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
11.914,-9.000,0.212,-9.271,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.5|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.022,-9.000,0.212,-9.224,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.3|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.128,-9.000,0.212,-9.179,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.2|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.233,-9.000,0.212,-9.133,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.1|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.350,-9.000,0.212,-9.083,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=85.0|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.455,-9.000,0.212,-9.038,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=84.9|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.558,-9.000,0.212,-8.994,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=84.8|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.661,-9.000,0.212,-8.949,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=84.7|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.764,-9.000,0.212,-8.905,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=84.6|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.869,-9.000,0.212,-8.860,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=84.5|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
12.971,-9.000,0.212,-8.816,walk|wait=2.82|panic=0.00|target=1|speed=0.43|near=False|yaw=0.0|peeing=False|peeCooldown=84.4|aerial=False|glide=False|legs=0|activity=Transit|site=1|visits=1
