time,id,x,y,z,state
1.195,lagoon-kalapati-0,-14.982,8.500,20.004,fly|wait=-0.01|panic=0.00|target=1|speed=3.95|near=False|yaw=78.7|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
1.195,lagoon-kalapati-1,25.986,16.000,-21.989,fly|wait=1.62|panic=0.00|target=1|speed=3.89|near=False|yaw=306.9|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
1.195,lagoon-maya-2,11.988,9.000,18.016,fly|wait=1.21|panic=0.00|target=1|speed=4.29|near=False|yaw=323.1|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
1.868,lagoon-kalapati-0,-13.517,8.509,20.335,fly|wait=-0.01|panic=0.00|target=1|speed=4.03|near=False|yaw=76.7|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
1.868,lagoon-kalapati-1,24.816,15.999,-21.095,fly|wait=1.62|panic=0.00|target=1|speed=3.93|near=False|yaw=307.6|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
1.868,lagoon-maya-2,10.938,9.029,19.267,fly|wait=1.21|panic=0.00|target=1|speed=4.40|near=False|yaw=318.8|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
2.120,lagoon-kalapati-0,-11.239,8.554,20.986,fly|wait=-0.01|panic=0.00|target=1|speed=4.16|near=False|yaw=73.5|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
2.120,lagoon-kalapati-1,23.026,15.996,-19.665,fly|wait=1.62|panic=0.00|target=1|speed=3.98|near=False|yaw=308.9|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
2.120,lagoon-maya-2,9.044,9.174,21.048,fly|wait=1.21|panic=0.00|target=1|speed=4.61|near=False|yaw=312.1|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
2.575,lagoon-kalapati-0,-9.683,8.605,21.515,fly|wait=-0.01|panic=0.00|target=1|speed=4.24|near=False|yaw=71.5|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
2.575,lagoon-kalapati-1,21.822,15.992,-18.661,fly|wait=1.62|panic=0.00|target=1|speed=4.02|near=False|yaw=309.7|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
2.575,lagoon-maya-2,7.603,9.330,22.168,fly|wait=1.21|panic=0.00|target=1|speed=4.75|near=False|yaw=308.3|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
2.833,lagoon-kalapati-0,-8.419,8.656,21.990,fly|wait=-0.01|panic=0.00|target=1|speed=4.30|near=False|yaw=69.9|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
2.833,lagoon-kalapati-1,20.853,15.988,-17.830,fly|wait=1.62|panic=0.00|target=1|speed=4.05|near=False|yaw=310.4|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
2.833,lagoon-maya-2,6.362,9.485,23.030,fly|wait=1.21|panic=0.00|target=1|speed=4.86|near=False|yaw=305.6|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
3.084,lagoon-kalapati-0,-7.379,8.704,22.407,fly|wait=-0.01|panic=0.00|target=1|speed=4.35|near=False|yaw=68.7|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
3.084,lagoon-kalapati-1,20.063,15.984,-17.137,fly|wait=1.62|panic=0.00|target=1|speed=4.07|near=False|yaw=311.0|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
3.084,lagoon-maya-2,5.302,9.627,23.712,fly|wait=1.21|panic=0.00|target=1|speed=4.93|near=False|yaw=303.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
3.334,lagoon-kalapati-0,-6.368,8.756,22.835,fly|wait=-0.01|panic=0.00|target=1|speed=4.40|near=False|yaw=67.6|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
3.334,lagoon-kalapati-1,19.298,15.980,-16.453,fly|wait=1.62|panic=0.00|target=1|speed=4.10|near=False|yaw=311.5|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
3.334,lagoon-maya-2,4.244,9.776,24.355,fly|wait=1.21|panic=0.00|target=1|speed=5.00|near=False|yaw=302.1|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=1
3.586,lagoon-kalapati-0,-5.349,8.814,23.285,fly|wait=-0.01|panic=0.00|target=1|speed=4.44|near=False|yaw=66.6|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
3.586,lagoon-kalapati-1,18.531,15.976,-15.755,fly|wait=1.62|panic=0.00|target=1|speed=4.12|near=False|yaw=312.1|peeing=False|peeCooldown=116.8|aerial=True|glide=True|legs=1
3.586,lagoon-maya-2,3.156,9.936,24.985,fly|wait=1.21|panic=0.00|target=1|speed=5.05|near=False|yaw=300.8|peeing=False|peeCooldown=141.8|aerial=True|glide=True|legs=1
3.837,lagoon-kalapati-0,-4.336,8.875,23.752,fly|wait=-0.01|panic=0.00|target=1|speed=4.48|near=False|yaw=65.7|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
3.837,lagoon-kalapati-1,17.773,15.970,-15.051,fly|wait=1.62|panic=0.00|target=1|speed=4.14|near=False|yaw=312.6|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
3.837,lagoon-maya-2,2.058,10.102,25.598,fly|wait=1.21|panic=0.00|target=1|speed=5.08|near=False|yaw=299.7|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
4.088,lagoon-kalapati-0,-3.318,8.940,24.237,fly|wait=-0.01|panic=0.00|target=1|speed=4.52|near=False|yaw=64.9|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
4.088,lagoon-kalapati-1,17.015,15.965,-14.337,fly|wait=1.62|panic=0.00|target=1|speed=4.16|near=False|yaw=313.1|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
4.088,lagoon-maya-2,0.945,10.274,26.201,fly|wait=1.21|panic=0.00|target=1|speed=5.10|near=False|yaw=298.9|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
4.338,lagoon-kalapati-0,-2.302,9.008,24.737,fly|wait=-0.01|panic=0.00|target=1|speed=4.55|near=False|yaw=64.2|peeing=False|peeCooldown=145.6|aerial=True|glide=False|legs=2
4.338,lagoon-kalapati-1,16.260,15.959,-13.614,fly|wait=1.62|panic=0.00|target=1|speed=4.18|near=False|yaw=313.5|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
4.338,lagoon-maya-2,-0.173,10.448,26.795,fly|wait=1.21|panic=0.00|target=1|speed=5.11|near=False|yaw=298.3|peeing=False|peeCooldown=141.8|aerial=True|glide=False|legs=1
4.594,lagoon-kalapati-0,-1.292,9.080,25.247,fly|wait=-0.01|panic=0.00|target=1|speed=4.58|near=False|yaw=63.5|peeing=False|peeCooldown=145.6|aerial=True|glide=True|legs=2
4.594,lagoon-kalapati-1,15.514,15.953,-12.887,fly|wait=1.62|panic=0.00|target=1|speed=4.21|near=False|yaw=314.0|peeing=False|peeCooldown=116.8|aerial=True|glide=False|legs=1
