time,speed,charging,power,yaw,pitch,held
0.0001,0.0000,False,0.0000,0.00000,0.00000,True
0.0995,2.0000,False,0.0000,0.00000,0.00000,True
0.1562,2.0000,False,0.0000,0.00000,0.00000,True
0.2206,2.0000,False,0.0000,0.00000,0.00000,True
0.2799,2.0000,False,0.0000,0.00000,0.00000,True
0.3367,2.0000,False,0.0000,0.00000,0.00000,True
0.3951,2.0000,False,0.0000,0.00000,0.00000,True
0.4524,2.0000,False,0.0000,0.00000,0.00000,True
0.5117,2.0000,False,0.0000,0.00000,0.00000,True
0.5702,2.0000,True,0.0221,-0.07338,-0.48749,True
0.6282,2.0000,True,0.0453,-0.14380,-0.46154,True
0.6859,2.0000,True,0.0684,-0.24439,-0.38227,True
0.7433,2.0000,True,0.0912,-0.28947,-0.20745,True
0.8003,2.0000,True,0.1140,-0.22037,0.02741,True
0.8607,2.0000,True,0.1381,-0.03209,0.24692,True
0.9196,2.0000,True,0.1617,0.18805,0.35087,True
0.9778,2.0000,True,0.1850,0.33951,0.32513,True
1.0354,2.0000,True,0.2081,0.35986,0.21609,True
1.0945,2.0000,True,0.2317,0.24528,0.09069,True
1.1533,2.0000,True,0.2553,0.05258,0.00579,True
1.2161,2.0000,True,0.2802,-0.14256,-0.02635,True
1.2804,2.0000,True,0.3061,-0.25326,-0.02623,True
1.3382,2.0000,True,0.3292,-0.25187,-0.02950,True
1.3959,2.0000,True,0.3523,-0.17960,-0.04793,True
1.4537,2.0000,True,0.3754,-0.08165,-0.07116,True
1.5103,2.0000,True,0.3981,0.00028,-0.07980,True
1.5751,2.0000,True,0.4240,0.05130,-0.05756,True
1.6322,2.0000,True,0.4469,0.06136,-0.01450,True
1.6918,2.0000,True,0.4705,0.05477,0.03346,True
1.7490,2.0000,True,0.4936,0.04825,0.06340,True
1.8091,2.0000,True,0.5177,0.04835,0.06694,True
1.8685,2.0000,True,0.5415,0.05032,0.04785,True
1.9269,2.0000,True,0.5647,0.04381,0.02214,True
1.9850,2.0000,True,0.5881,0.02240,0.00253,True
2.0458,2.0000,True,0.6122,-0.01205,-0.00628,True
2.1041,2.0000,True,0.6355,-0.04464,-0.00872,True
2.1608,2.0000,True,0.6582,-0.06155,-0.01350,True
2.2176,2.0000,True,0.6808,-0.05523,-0.02484,True
2.2750,2.0000,True,0.7039,-0.02620,-0.04021,True
2.3316,2.0000,True,0.7265,0.01312,-0.05075,True
2.3892,2.0000,True,0.7496,0.04805,-0.04867,True
2.4490,2.0000,True,0.7736,0.06335,-0.03043,True
2.5112,2.0000,True,0.7983,0.05114,-0.00154,True
2.5685,2.0000,True,0.8214,0.02079,0.02340,True
2.6294,2.0000,True,0.8458,-0.01607,0.03804,True
2.6885,2.0000,True,0.8695,-0.04184,0.03893,True
2.7483,2.0000,True,0.8932,-0.05034,0.03233,True
2.8081,2.0000,True,0.9173,-0.04335,0.02597,True
2.8648,2.0000,True,0.9400,-0.03012,0.02388,True
2.9280,2.0000,True,0.9651,-0.01702,0.02316,True
2.9851,2.0000,True,0.9881,-0.00984,0.01785,True
3.0428,2.0000,True,1.0000,-0.00467,0.00422,True
3.1002,2.0000,True,1.0000,0.00365,-0.01578,True
3.1574,2.0000,True,1.0000,0.01814,-0.03476,True
3.2149,2.0000,True,1.0000,0.03669,-0.04445,True
3.2714,2.0000,True,1.0000,0.05136,-0.04062,True
3.3316,2.0000,True,1.0000,0.05383,-0.02488,True
3.3916,2.0000,False,0.0000,0.00000,0.00000,False
3.4521,2.0000,False,0.0000,0.00000,0.00000,False
3.5131,2.0000,False,0.0000,0.00000,0.00000,False
3.5791,2.0000,False,0.0000,0.00000,0.00000,False
3.6389,2.0000,False,0.0000,0.00000,0.00000,False
3.6968,2.0000,False,0.0000,0.00000,0.00000,False
3.7535,2.0000,False,0.0000,0.00000,0.00000,False
3.8121,2.0000,False,0.0000,0.00000,0.00000,False
3.8709,2.0000,False,0.0000,0.00000,0.00000,False
3.9292,2.0000,False,0.0000,0.00000,0.00000,False
3.9850,2.0000,False,0.0000,0.00000,0.00000,False
4.0427,2.0000,False,0.0000,0.00000,0.00000,False
4.0992,2.0000,False,0.0000,0.00000,0.00000,False
4.1570,2.0000,False,0.0000,0.00000,0.00000,False
4.2136,2.0000,False,0.0000,0.00000,0.00000,False
4.2706,2.0000,False,0.0000,0.00000,0.00000,False
4.3280,2.0000,False,0.0000,0.00000,0.00000,False
4.3858,2.0000,False,0.0000,0.00000,0.00000,False
4.4425,2.0000,False,0.0000,0.00000,0.00000,False
4.4983,2.0000,False,0.0000,0.00000,0.00000,False
4.5558,2.0000,False,0.0000,0.00000,0.00000,False
4.6137,2.0000,False,0.0000,0.00000,0.00000,False
4.6690,2.0000,False,0.0000,0.00000,0.00000,False
4.7280,2.0000,False,0.0000,0.00000,0.00000,False
4.7874,2.0000,False,0.0000,0.00000,0.00000,False
