time,speed,charging,power,yaw,pitch,held
0.0001,0.0000,False,0.0000,0.00000,0.00000,True
0.0975,3.3252,False,0.0000,0.00000,0.00000,True
0.1588,3.3252,False,0.0000,0.00000,0.00000,True
0.2190,3.3252,False,0.0000,0.00000,0.00000,True
0.2775,3.3252,False,0.0000,0.00000,0.00000,True
0.3355,3.3252,False,0.0000,0.00000,0.00000,True
0.3917,3.3252,False,0.0000,0.00000,0.00000,True
0.4493,3.3252,False,0.0000,0.00000,0.00000,True
0.5058,3.3252,False,0.0000,0.00000,0.00000,True
0.5650,3.3252,True,0.0222,1.95406,0.61380,True
0.6212,3.3252,True,0.0448,0.86186,1.14100,True
0.6805,3.3252,True,0.0685,-0.14919,1.25874,True
0.7388,3.3252,True,0.0918,-0.71471,0.93424,True
0.8011,3.3252,True,0.1168,-0.83175,0.33949,True
0.8603,3.3252,True,0.1404,-0.67848,-0.15830,True
0.9207,3.3252,True,0.1646,-0.50865,-0.42227,True
0.9807,3.3252,True,0.1883,-0.45654,-0.46592,True
1.0431,3.3252,True,0.2132,-0.47268,-0.45664,True
1.1017,3.3252,True,0.2370,-0.40119,-0.53882,True
1.1651,3.3252,True,0.2622,-0.10772,-0.71709,True
1.2240,3.3252,True,0.2858,0.33262,-0.82000,True
1.2827,3.3252,True,0.3092,0.73945,-0.69799,True
1.3404,3.3252,True,0.3325,0.88815,-0.31004,True
1.3985,3.3252,True,0.3557,0.64642,0.23201,True
1.4590,3.3252,True,0.3799,0.03173,0.73391,True
1.5200,3.3252,True,0.4043,-0.70718,0.97399,True
1.5786,3.3252,True,0.4278,-1.20251,0.90709,True
1.6382,3.3252,True,0.4516,-1.25158,0.65714,True
1.6964,3.3252,True,0.4746,-0.83887,0.41021,True
1.7568,3.3252,True,0.4988,-0.10659,0.25462,True
1.8168,3.3252,True,0.5228,0.60908,0.18173,True
1.8783,3.3252,True,0.5475,1.04857,0.06444,True
1.9363,3.3252,True,0.5706,1.08925,-0.17515,True
2.0055,3.3252,True,0.5982,0.79449,-0.58041,True
2.0658,3.3252,True,0.6225,0.45148,-0.86238,True
2.1263,3.3252,True,0.6467,0.20162,-0.88984,True
2.1849,3.3252,True,0.6702,0.06827,-0.63052,True
2.2479,3.3252,True,0.6953,-0.05482,-0.16981,True
2.3067,3.3252,True,0.7187,-0.25731,0.22215,True
2.3661,3.3252,True,0.7426,-0.56439,0.42633,True
2.4263,3.3252,True,0.7666,-0.86077,0.41909,True
2.4879,3.3252,True,0.7914,-0.95235,0.31094,True
2.5504,3.3252,True,0.8163,-0.68107,0.25249,True
2.6112,3.3252,True,0.8406,-0.10281,0.28858,True
2.6705,3.3252,True,0.8644,0.54187,0.32581,True
2.7328,3.3252,True,0.8893,0.98378,0.22576,True
2.7923,3.3252,True,0.9131,0.97431,-0.05768,True
2.8507,3.3252,True,0.9365,0.54566,-0.42521,True
2.9094,3.3252,True,0.9599,-0.10813,-0.70451,True
2.9683,3.3252,True,0.9835,-0.70348,-0.74002,True
3.0302,3.3252,True,1.0000,-0.98510,-0.48812,True
3.0913,3.3252,True,1.0000,-0.84437,-0.08057,True
3.1503,3.3252,True,1.0000,-0.42322,0.26728,True
3.2094,3.3252,True,1.0000,0.04840,0.43894,True
3.2671,3.3252,True,1.0000,0.37949,0.45131,True
3.3273,3.3252,True,1.0000,0.52176,0.41649,True
3.3899,3.3252,False,0.0000,0.00000,0.00000,False
3.4505,3.3252,False,0.0000,0.00000,0.00000,False
3.5103,3.3252,False,0.0000,0.00000,0.00000,False
3.5690,3.3252,False,0.0000,0.00000,0.00000,False
3.6283,3.3252,False,0.0000,0.00000,0.00000,False
3.6863,3.3252,False,0.0000,0.00000,0.00000,False
3.7443,3.3252,False,0.0000,0.00000,0.00000,False
3.8027,3.3252,False,0.0000,0.00000,0.00000,False
3.8599,3.3252,False,0.0000,0.00000,0.00000,False
3.9180,3.3252,False,0.0000,0.00000,0.00000,False
3.9760,3.3252,False,0.0000,0.00000,0.00000,False
4.0519,2.0000,False,0.0000,0.00000,0.00000,False
4.1177,2.0000,False,0.0000,0.00000,0.00000,False
4.1804,2.0000,False,0.0000,0.00000,0.00000,False
4.2410,2.0000,False,0.0000,0.00000,0.00000,False
4.3000,2.0000,False,0.0000,0.00000,0.00000,False
4.3597,2.0000,False,0.0000,0.00000,0.00000,False
4.4195,2.0000,False,0.0000,0.00000,0.00000,False
4.4786,2.0000,False,0.0000,0.00000,0.00000,False
4.5402,2.0000,False,0.0000,0.00000,0.00000,False
4.6004,2.0000,False,0.0000,0.00000,0.00000,False
4.6597,2.0000,False,0.0000,0.00000,0.00000,False
4.7205,2.0000,False,0.0000,0.00000,0.00000,False
4.7790,2.0000,False,0.0000,0.00000,0.00000,False
