frame,real_seconds,stage
0,0.001088,0
1,0.053151,0
2,0.057542,0
3,0.060622,0
4,0.063973,0
5,0.067199,0
6,0.070701,0
7,0.126290,0
8,0.182942,0
9,0.183259,0
10,0.227731,0
11,0.272872,0
12,0.273202,0
13,0.318193,0
14,0.363885,0
15,0.364368,0
16,0.410701,0
17,0.458083,0
18,0.458341,0
19,0.504577,0
20,0.552354,0
21,0.552659,0
22,0.597230,0
23,0.642177,0
24,0.642469,0
25,0.687944,0
26,0.734471,0
27,0.734788,0
28,0.778617,0
29,0.824019,0
30,0.824370,0
31,0.871247,0
32,0.919284,0
33,0.919637,0
34,0.963817,0
35,1.008903,0
36,1.017995,1
37,1.064374,1
38,1.108777,1
39,1.109900,1
40,1.154397,1
41,1.199428,1
42,1.199771,1
43,1.244912,1
44,1.289124,1
45,1.289489,1
46,1.334243,1
47,1.379222,1
48,1.379680,1
49,1.425239,1
50,1.469092,1
51,1.469523,1
52,1.514842,1
53,1.560536,1
54,1.560969,1
55,1.605805,1
56,1.650819,1
57,1.651191,1
58,1.695455,1
59,1.740949,1
60,1.741347,1
61,1.786220,1
62,1.830874,1
63,1.831258,1
64,1.875354,1
65,1.920455,1
66,1.920936,1
67,1.966113,1
68,2.011016,1
69,2.011413,1
70,2.058328,1
71,2.106360,1
72,2.106818,1
73,2.151431,1
74,2.195243,1
75,2.195605,1
76,2.239655,1
77,2.284747,1
78,2.285087,1
79,2.330556,1
80,2.375405,1
81,2.375957,1
82,2.421580,1
83,2.467954,1
84,2.468354,1
85,2.515216,1
86,2.561923,1
87,2.562181,1
88,2.607734,2
89,2.653563,2
90,2.654208,2
91,2.699124,2
92,2.743770,2
93,2.744405,2
94,2.788543,2
95,2.833865,2
96,2.834441,2
97,2.879230,2
98,2.925097,2
99,2.925485,2
100,2.969550,2
101,3.014533,2
102,3.014934,2
103,3.059604,2
104,3.105399,2
105,3.105781,2
106,3.150172,2
107,3.195457,2
108,3.195811,2
109,3.242116,2
110,3.288806,2
111,3.289313,2
112,3.334409,2
113,3.379560,2
114,3.379891,2
115,3.425937,2
116,3.472878,2
117,3.473256,2
118,3.518731,2
119,3.565076,2
120,3.565421,2
121,3.610141,2
122,3.655690,2
123,3.656083,2
124,3.701091,2
125,3.746360,2
126,3.746741,2
127,3.793468,2
128,3.841067,2
129,3.841409,2
130,3.887876,2
131,3.935452,2
132,3.935813,2
133,3.981761,2
134,4.028260,2
135,4.070743,3
136,4.120973,3
137,4.165425,3
138,4.170804,3
139,4.173955,3
140,4.177321,3
141,4.180629,3
142,4.190776,3
143,4.193898,3
144,4.248849,3
145,4.293687,3
146,4.294265,3
147,4.339488,3
148,4.383376,3
149,4.384095,3
150,4.432328,3
151,4.480258,3
152,4.480870,3
153,4.525796,3
154,4.569713,3
155,4.570275,3
156,4.615415,3
157,4.657123,3
158,4.657660,3
159,4.702247,3
160,4.745641,3
161,4.746085,3
162,4.791274,3
163,4.835006,3
164,4.835458,3
165,4.879998,3
166,4.922786,3
167,4.923205,3
168,4.969398,3
169,5.014325,3
170,5.014815,3
171,5.058759,3
172,5.101859,3
173,5.102307,3
174,5.148227,3
175,5.191922,3
176,5.192407,3
177,5.237334,3
178,5.280662,3
179,5.281167,3
180,5.326564,3
181,5.371062,3
182,5.371530,3
183,5.416442,3
184,5.460540,3
185,5.461022,3
186,5.510154,3
187,5.539308,3
188,5.539624,3
189,5.584723,3
190,5.627948,3
191,5.628240,3
192,5.675351,3
193,5.721166,3
194,5.725881,4
195,5.770883,4
196,5.815639,4
197,5.815972,4
198,5.860717,4
199,5.905805,4
200,5.906095,4
201,5.952310,4
202,5.999310,4
203,5.999595,4
204,6.043889,4
205,6.088704,4
206,6.088973,4
207,6.133922,4
208,6.179097,4
209,6.179416,4
210,6.224940,4
211,6.271493,4
212,6.271796,4
213,6.315618,4
214,6.360576,4
215,6.360883,4
216,6.407477,4
217,6.455396,4
218,6.455735,4
219,6.501645,4
220,6.548280,4
221,6.548560,4
222,6.592816,4
223,6.638200,4
224,6.638488,4
225,6.682504,4
226,6.727509,4
227,6.727807,4
228,6.775279,4
229,6.824111,4
230,6.824527,4
231,6.868691,4
232,6.914186,4
233,6.914523,4
234,6.961101,4
235,7.008479,4
236,7.008759,4
237,7.054076,4
238,7.100247,4
239,7.100652,4
240,7.145558,4
241,7.191951,4
242,7.192239,4
243,7.702111,5
244,7.703179,5
245,7.920081,5
246,7.968734,5
247,7.970410,5
248,7.974324,5
249,7.977061,5
250,7.980300,5
251,7.983640,5
252,7.993850,5
253,7.997108,5
254,8.053044,5
255,8.098393,5
256,8.098777,5
257,8.147544,5
258,8.194079,5
259,8.194545,5
260,8.242640,5
261,8.289269,5
262,8.289920,5
263,8.339904,5
264,8.368800,5
265,8.369174,5
266,8.415603,5
267,8.461583,5
268,8.461982,5
269,8.509538,5
270,8.554767,5
271,8.555150,5
272,8.602220,5
273,8.648324,5
274,8.648719,5
275,8.696019,5
276,8.742351,5
277,8.742723,5
278,8.789418,5
279,8.834943,5
