frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
0,0.001574,1.000000,1.000000,1157,8.138474,3.923908
1,0.054947,1.000000,1.000000,1157,8.222457,3.964399
2,0.101641,1.000000,1.000000,1157,8.334461,4.018401
3,0.102083,1.000000,1.000000,1157,8.343785,4.022897
4,0.150726,1.000000,1.000000,1157,8.446519,4.072429
5,0.198145,1.000000,1.000000,1157,8.586410,4.139876
6,0.198797,1.000000,1.000000,1157,8.595734,4.144372
7,0.246367,1.000000,1.000000,1157,8.717118,4.202897
8,0.292929,1.000000,1.000000,1157,8.866459,4.274900
9,0.293314,1.000000,1.000000,1157,8.875783,4.279396
10,0.340729,1.000000,1.000000,1157,8.987763,4.333386
11,0.386856,1.000000,1.000000,1157,9.127780,4.400894
12,0.387329,1.000000,1.000000,1157,9.137104,4.405390
13,0.435123,1.000000,1.000000,1157,9.249021,4.459349
14,0.481699,1.000000,1.000000,1157,9.389075,4.526875
15,0.482103,1.000000,1.000000,1157,9.398399,4.531371
16,0.530521,1.007087,1.000000,1157,9.510406,4.585374
17,0.576925,1.013194,1.000000,1157,9.650478,4.652909
18,0.577551,1.013517,1.000000,1157,9.659802,4.657405
19,0.624348,1.016770,1.000000,1157,9.771733,4.711372
20,0.670113,1.019574,1.000000,1157,9.911724,4.778867
21,0.670771,1.019723,1.000000,1157,9.921048,4.783362
22,0.719193,1.021219,1.000000,1157,10.033020,4.837350
23,0.767201,1.022575,1.000000,1157,10.182370,4.909356
24,0.767712,1.022642,1.000000,1157,10.191690,4.913852
25,0.814203,1.023310,1.000000,1157,10.303680,4.967845
26,0.859676,1.023886,1.000000,1157,10.443700,5.035356
27,0.860249,1.023917,1.000000,1157,10.453030,5.039852
28,0.908945,1.024224,1.000000,1157,10.564980,5.093832
29,0.955700,1.024488,1.000000,1157,10.705030,5.161354
30,0.956120,1.024502,1.000000,1157,10.714350,5.165849
31,1.002893,1.024653,1.000000,1157,10.835690,5.224352
32,1.048590,1.024771,1.000000,1157,10.975660,5.291836
33,1.049082,1.024778,1.000000,1157,10.984980,5.296331
34,1.097139,1.024836,1.000000,1157,11.087690,5.345851
35,1.143501,1.024895,1.000000,1157,11.237000,5.417839
36,1.144192,1.024898,1.000000,1157,11.246320,5.422335
37,1.192722,1.024927,1.000000,1157,11.358300,5.476322
38,1.197165,1.024929,1.000000,1157,11.367620,5.480818
39,1.200886,1.024952,1.000000,1157,11.498350,5.543849
40,1.203676,1.024953,1.000000,1157,11.507720,5.548363
41,1.206934,1.024954,1.000000,1157,11.517040,5.552859
42,1.213842,1.024957,1.000000,1157,11.535700,5.561856
43,1.217062,1.024958,1.000000,1157,11.545040,5.566360
44,1.276434,1.024967,1.000000,1157,11.628990,5.606836
45,1.323961,1.024977,1.000000,1157,11.741050,5.660865
46,1.324556,1.024977,1.000000,1157,11.750380,5.665360
47,1.371260,1.024984,1.000000,1157,11.862390,5.719367
48,1.416737,1.024989,1.000000,1157,12.002310,5.786826
49,1.417366,1.024989,1.000000,1157,12.011630,5.791322
50,1.465364,1.024992,1.000000,1157,12.123660,5.845338
51,1.511765,1.024995,1.000000,1157,12.263760,5.912886
52,1.512259,1.023627,1.000000,1157,12.273090,5.917381
53,1.559715,1.009853,1.000000,1157,12.384990,5.971333
54,1.605274,0.997346,1.000000,1157,12.534340,6.043341
55,1.605698,0.996734,1.000000,1157,12.543660,6.047837
56,1.654408,0.991012,1.000000,1157,12.646320,6.097335
57,1.700752,0.985268,1.000000,1157,12.795610,6.169312
58,1.701271,0.984987,1.000000,1157,12.804930,6.173808
59,1.748894,0.982157,1.000000,1157,12.916920,6.227800
60,1.795208,0.979588,1.000000,1157,13.066320,6.299832
61,1.795643,0.979462,1.000000,1157,13.075640,6.304328
62,1.845562,0.978287,1.000000,1157,13.178330,6.353837
63,1.891106,0.977108,1.000000,1157,13.327590,6.425804
64,1.892675,0.977050,1.000000,1157,13.336920,6.430299
65,1.941147,0.983558,1.000000,1157,13.448970,6.484324
66,1.987879,0.989459,1.000000,1157,13.598320,6.556334
67,1.988459,0.989747,1.000000,1157,13.607650,6.560830
68,2.036547,0.992854,1.000000,1157,13.728940,6.619311
69,2.083378,0.995289,1.000000,1157,13.868950,6.686817
70,2.083845,0.995418,1.000000,1157,13.878280,6.691313
71,2.130735,0.996717,1.000000,1157,13.990270,6.745310
72,2.176035,0.997836,1.000000,1157,14.130350,6.812848
73,2.176474,0.997895,1.000000,1157,14.139670,6.817343
74,2.225044,0.998491,1.000000,1157,14.251560,6.871286
75,2.272245,0.999006,1.000000,1157,14.391640,6.938828
76,2.272684,0.999033,1.000000,1157,14.400970,6.943324
77,2.320219,0.999307,1.000000,1157,14.512970,6.997326
78,2.366106,0.999556,1.000000,1157,14.662250,7.069301
79,2.366598,0.999568,1.000000,1157,14.671580,7.073797
80,2.415964,0.999690,1.000000,1157,14.783550,7.127784
81,2.464195,0.999802,1.000000,1157,14.932910,7.199796
82,2.464682,0.999807,1.000000,1157,14.942230,7.204292
83,2.511999,0.999862,1.000000,1157,15.054330,7.258340
84,2.557688,0.999909,1.000000,1157,15.194300,7.325822
85,2.558159,0.999911,1.000000,1157,15.203620,7.330318
86,2.605995,0.999938,1.000000,1157,15.324890,7.388784
87,2.653046,0.999959,1.000000,1157,15.464910,7.456298
88,2.653757,0.999960,1.000000,1157,15.474240,7.460793
89,2.700994,0.999972,1.000000,1157,15.586170,7.514763
90,2.746990,0.999981,1.000000,1157,15.726230,7.582288
91,2.747587,0.999982,1.000000,1157,15.735550,7.586784
92,2.796209,0.999987,1.000000,1157,15.847510,7.640762
93,2.844240,0.999992,1.000000,1157,15.996870,7.712775
94,2.844858,0.999992,1.000000,1157,16.006190,7.717271
95,2.892241,0.999994,1.000000,1157,16.127530,7.775774
96,2.938412,0.999996,1.000000,1157,16.267520,7.843271
97,2.938824,0.999996,1.000000,1157,16.276850,7.847767
98,2.987974,0.999997,1.000000,1157,16.379610,7.897310
99,3.035063,0.999998,1.000000,1157,16.528830,7.969259
100,3.035482,0.999998,1.000000,1157,16.538160,7.973755
101,3.082872,0.999999,1.000000,1157,16.659540,8.032278
102,3.129492,0.999999,1.000000,1157,16.808810,8.104245
103,3.129974,0.999999,1.000000,1157,16.818130,8.108742
104,3.180429,1.000000,1.000000,1157,16.930200,8.162775
105,3.229187,1.000000,1.000000,1157,17.079550,8.234782
106,3.229713,1.000000,1.000000,1157,17.088870,8.239278
107,3.278044,1.000000,1.000000,1157,17.210210,8.297780
108,3.323694,1.000000,1.000000,1157,17.350240,8.365293
109,3.324268,1.000000,1.000000,1157,17.359560,8.369789
110,3.371216,1.000000,1.000000,1157,17.471480,8.423750
111,3.416718,1.000000,1.000000,1157,17.611530,8.491274
112,3.417271,1.000000,1.000000,1157,17.620850,8.495770
113,3.464432,1.000000,1.000000,1157,17.732820,8.549755
114,3.509949,1.000000,1.000000,1157,17.872890,8.617285
115,3.510393,1.000000,1.000000,1157,17.882210,8.621780
116,3.559813,1.000000,1.000000,1157,17.994130,8.675743
117,3.608059,1.000000,1.000000,1157,18.143520,8.747767
118,3.608433,1.000000,1.000000,1157,18.152840,8.752264
119,3.655756,1.000000,1.000000,1157,18.264810,8.806248
120,3.702471,1.000000,1.000000,1157,18.404800,8.873745
121,3.702850,1.000000,1.000000,1157,18.414130,8.878241
122,3.750704,1.000000,1.000000,1157,18.526120,8.932237
123,3.797087,1.000000,1.000000,1157,18.666140,8.999748
124,3.797504,1.000000,1.000000,1157,18.675470,9.004244
125,3.846262,1.000000,1.000000,1157,18.787450,9.058233
126,3.894209,1.000000,1.000000,1157,18.936820,9.130250
127,3.894638,1.000000,1.000000,1157,18.946140,9.134747
128,3.943129,1.000000,1.000000,1157,19.067520,9.193268
129,3.990019,1.000000,1.000000,1157,19.216830,9.265255
130,3.990437,1.000000,1.000000,1157,19.226150,9.269752
131,4.037849,1.000000,1.000000,1157,19.338100,9.323728
132,4.083855,1.000000,1.000000,1157,19.478140,9.391245
