frame,real_seconds,art_scale,target_scale,dust_vertices
0,0.000254,1.000000,1.000000,0
1,0.023252,1.000000,1.000000,0
2,0.046766,1.000000,1.000000,0
3,0.047009,1.000000,1.000000,0
4,0.050159,1.000000,1.000000,0
5,0.053633,1.000000,1.000000,0
6,0.056881,1.000000,1.000000,0
7,0.060184,1.000000,1.000000,0
8,0.063507,1.000000,1.000000,0
9,0.066933,1.000000,1.000000,0
10,0.070181,1.000000,1.000000,0
11,0.094662,1.000000,1.000000,0
12,0.119606,1.000000,1.000000,0
13,0.119883,1.000000,1.000000,0
14,0.123495,1.000000,1.000000,0
15,0.126829,1.000000,1.000000,0
16,0.130190,1.000000,1.000000,0
17,0.133484,1.000000,1.000000,0
18,0.136839,1.000000,1.000000,0
19,0.140154,1.000000,1.000000,0
20,0.163271,1.000000,1.000000,0
21,0.186712,1.000000,1.000000,0
22,0.186966,1.000000,1.000000,0
23,0.190176,1.000000,1.000000,0
24,0.193548,1.000000,1.000000,0
25,0.196838,1.000000,1.000000,0
26,0.200163,1.000000,1.000000,0
27,0.203480,1.000000,1.000000,0
28,0.206854,1.000000,1.000000,0
29,0.210175,1.000000,1.000000,0
30,0.233187,1.000000,1.000000,0
31,0.256641,1.000000,1.000000,0
32,0.256905,1.000000,1.000000,0
33,0.260212,1.000000,1.000000,0
34,0.263603,1.000000,1.000000,0
35,0.266964,1.000000,1.000000,0
36,0.270285,1.000000,1.000000,0
37,0.273609,1.000000,1.000000,0
38,0.276899,1.000000,1.000000,0
39,0.300814,1.000000,1.000000,0
40,0.325203,1.000000,1.000000,0
41,0.325453,1.000000,1.000000,0
42,0.326910,1.000000,1.000000,0
43,0.330387,1.000000,1.000000,0
44,0.333614,1.000000,1.000000,0
45,0.336983,1.000000,1.000000,0
46,0.340281,1.000000,1.000000,0
47,0.343832,1.000000,1.000000,0
48,0.367760,1.000000,1.000000,0
49,0.392143,1.000000,1.000000,0
50,0.392420,1.000000,1.000000,0
51,0.393475,1.000000,1.000000,0
52,0.397001,1.000000,1.000000,0
53,0.400257,1.000000,1.000000,0
54,0.403627,1.000000,1.000000,0
55,0.407042,1.000000,1.000000,0
56,0.410303,1.000000,1.000000,0
57,0.433514,1.000000,1.000000,0
58,0.457260,1.000000,1.000000,0
59,0.457518,1.000000,1.000000,0
60,0.460253,1.000000,1.000000,0
61,0.463677,1.000000,1.000000,0
62,0.466963,1.000000,1.000000,0
63,0.470287,1.000000,1.000000,0
64,0.473600,1.000000,1.000000,0
65,0.476967,1.000000,1.000000,0
66,0.480305,1.000000,1.000000,0
67,0.504616,1.000000,1.000000,0
68,0.529417,1.000000,1.000000,0
69,0.529684,1.000000,1.000000,0
70,0.533669,1.000000,1.000000,0
71,0.537069,1.000000,1.000000,0
72,0.540281,1.000000,1.000000,0
73,0.543613,1.000000,1.000000,0
74,0.547014,1.000000,1.000000,0
75,0.550337,1.000000,1.000000,0
76,0.573700,1.000000,1.000000,0
77,0.597460,1.000000,1.000000,0
78,0.597735,1.000000,1.000000,0
79,0.600266,1.000000,1.000000,0
80,0.603725,1.000000,1.000000,0
81,0.607050,1.000000,1.000000,0
82,0.610363,1.000000,1.000000,0
83,0.613674,1.000000,1.000000,0
84,0.617044,1.000000,1.000000,0
85,0.620298,1.000000,1.000000,0
86,0.645224,1.000000,1.000000,0
87,0.670334,1.000000,1.000000,0
88,0.670582,1.000000,1.000000,0
89,0.673489,1.000000,1.000000,0
90,0.676867,1.000000,1.000000,0
91,0.680136,1.000000,1.000000,0
92,0.683455,1.000000,1.000000,0
93,0.686832,1.000000,1.000000,0
94,0.690155,1.000000,1.000000,0
95,0.713963,1.000000,1.000000,0
