frame,real_seconds,art_scale,target_scale,dust_vertices,cloud_x,cloud_y
0,0.001486,1.000000,1.000000,377,1.842340,0.092143
1,0.058517,1.000000,1.000000,377,1.874681,0.093761
2,0.107383,1.000000,1.000000,377,1.917832,0.095921
3,0.107703,1.000000,1.000000,377,1.921423,0.096100
4,0.150869,1.000000,1.000000,377,1.964579,0.098260
5,0.195248,1.000000,1.000000,377,2.014880,0.100778
6,0.195517,1.000000,1.000000,377,2.018471,0.100957
7,0.238014,1.000000,1.000000,377,2.061623,0.103117
8,0.281635,1.000000,1.000000,377,2.111920,0.105635
9,0.281903,1.000000,1.000000,377,2.115510,0.105815
10,0.325239,1.000000,1.000000,377,2.151442,0.107613
11,0.368408,1.000000,1.000000,377,2.205348,0.110312
12,0.368682,1.000000,1.000000,377,2.208938,0.110491
13,0.411417,1.000000,1.000000,377,2.248453,0.112470
14,0.455164,1.000000,1.000000,377,2.298764,0.114988
15,0.455433,1.000000,1.000000,377,2.302353,0.115168
16,0.498951,1.000000,1.000000,377,2.341858,0.117146
17,0.542286,1.000000,1.000000,377,2.392159,0.119664
18,0.542625,1.000684,1.000000,377,2.395747,0.119844
19,0.585234,1.007091,1.000000,377,2.435291,0.121824
20,0.628725,1.012858,1.000000,377,2.485540,0.124340
21,0.629065,1.013190,1.000000,377,2.489128,0.124520
22,0.672333,1.016301,1.000000,377,2.528656,0.126500
23,0.715246,1.019103,1.000000,377,2.578915,0.129017
24,0.715610,1.019265,1.000000,377,2.582502,0.129196
25,0.758393,1.020775,1.000000,377,2.622010,0.131175
26,0.802176,1.022136,1.000000,377,2.672272,0.133692
27,0.802532,1.022215,1.000000,377,2.675858,0.133872
28,0.845984,1.022948,1.000000,377,2.715381,0.135852
29,0.888804,1.023609,1.000000,377,2.765586,0.138367
30,0.889133,1.023647,1.000000,377,2.769172,0.138546
31,0.932057,1.024003,1.000000,377,2.808656,0.140524
32,0.975658,1.024324,1.000000,377,2.858903,0.143042
33,0.976003,1.024343,1.000000,377,2.862488,0.143221
34,1.019464,1.024516,1.000000,377,2.901994,0.145201
35,1.062394,1.024672,1.000000,377,2.952176,0.147715
36,1.062737,1.024681,1.000000,377,2.955760,0.147895
37,1.105461,1.024765,1.000000,377,2.995251,0.149874
38,1.149100,1.024841,1.000000,377,3.045468,0.152390
39,1.149433,1.024845,1.000000,377,3.049051,0.152570
40,1.192695,1.024886,1.000000,377,3.088518,0.154548
41,1.235547,1.024923,1.000000,377,3.138714,0.157063
42,1.235905,1.024925,1.000000,377,3.142296,0.157243
43,1.278528,1.024945,1.000000,377,3.181787,0.159222
44,1.322271,1.024962,1.000000,377,3.231940,0.161736
45,1.322605,1.024963,1.000000,377,3.235522,0.161916
46,1.366029,1.024973,1.000000,377,3.275004,0.163895
47,1.409166,1.024982,1.000000,377,3.325152,0.166409
48,1.409535,1.024982,1.000000,377,3.328732,0.166589
49,1.452516,1.024987,1.000000,377,3.368176,0.168567
50,1.496520,1.024991,1.000000,377,3.418338,0.171082
51,1.496855,1.024991,1.000000,377,3.421918,0.171261
52,1.540195,1.011821,1.000000,377,3.461364,0.173240
53,1.583217,0.999964,1.000000,377,3.511497,0.175754
