frame,real_seconds,art_scale
0,0.031694,1.024939
1,0.111431,1.024983
2,0.189428,1.024991
3,0.270382,1.024995
4,0.347349,1.024997
5,0.426846,1.024999
6,0.506674,1.024999
7,0.585724,1.024999
8,0.664095,1.024999
9,0.742394,1.024999
10,0.819996,1.024999
11,0.899860,1.025000
12,0.978577,1.025000
13,1.057159,1.022535
14,1.136106,0.999655
15,1.220491,0.987788
16,1.301544,0.983771
17,1.381645,1.003615
18,1.477844,1.013908
19,1.565056,1.020056
20,1.647488,1.022682
21,1.734100,1.023798
22,1.817924,1.024407
23,1.895174,1.024708
24,1.973026,1.024848
25,2.050797,1.024921
26,2.130678,1.024959
27,2.210596,1.024979
28,2.287512,1.024989
