frame,real_seconds,art_scale
0,0.024458,1.019501
1,0.103392,1.010114
2,0.180866,1.005246
3,0.260365,1.002721
4,0.338673,1.001411
5,0.418755,1.000732
6,0.496325,1.000380
7,0.575926,1.000197
8,0.654448,1.000102
9,0.733267,1.000053
10,0.811581,1.000028
11,0.889641,1.000014
12,0.970261,1.000007
13,1.047535,1.000004
14,1.126562,1.000002
15,1.206167,1.000001
16,1.284548,1.000001
17,1.363235,1.000001
18,1.441578,1.000001
19,1.520342,1.000001
20,1.601852,1.000000
21,1.678799,1.000000
22,1.756964,1.000000
23,1.836639,1.000000
24,1.914577,1.000000
25,1.993086,1.000000
26,2.072882,1.000000
27,2.154860,1.000000
28,2.233166,1.000000
29,2.308905,1.000000
