map,quality,samples,mean_player_frame_ms,p95_player_frame_ms,mean_draw_calls,mean_triangles,mean_setpass,mesh_renderers,static_batched_renderers,unique_materials,world_width,world_height
Eskinita,Low,120,9.044,12.395,-1.0,750257,1395.0,710,562,111,1920,1080
Eskinita,Balanced,120,8.340,12.144,-1.0,818153,1375.6,710,562,111,1920,1080
Eskinita,High,120,10.629,20.229,-1.0,1012505,1375.7,710,562,111,1920,1080
BayanPlaza,Low,120,8.337,12.644,-1.0,608462,737.7,222,168,99,1920,1080
BayanPlaza,Balanced,120,8.317,12.427,-1.0,649132,742.3,222,168,99,1920,1080
BayanPlaza,High,120,8.341,12.678,-1.0,781982,755.7,222,168,99,1920,1080
IlalimNgTulay,Low,120,8.496,11.222,-1.0,1214018,3486.1,1416,392,702,1920,1080
IlalimNgTulay,Balanced,120,10.363,14.979,-1.0,1458048,3611.6,1416,392,702,1920,1080
IlalimNgTulay,High,120,9.118,10.952,-1.0,1711469,3672.2,1416,392,702,1920,1080
SaBubong,Low,120,8.345,12.575,-1.0,647124,513.1,184,127,64,1920,1080
SaBubong,Balanced,120,8.340,12.572,-1.0,669252,514.7,184,127,64,1920,1080
SaBubong,High,120,8.343,12.795,-1.0,805165,552.3,184,127,64,1920,1080
Lagoon,Low,120,8.341,12.496,-1.0,807700,815.7,182,54,132,1920,1080
Lagoon,Balanced,120,8.343,12.455,-1.0,878589,840.9,182,54,132,1920,1080
Lagoon,High,120,8.344,12.274,-1.0,1086988,888.5,182,54,132,1920,1080
