frame,real_seconds,game_seconds,speed,held,leg_angle,action,charge,spin,torso_x,arm_x,hand_y,hand_forward,hand_side,body_y
0,0.1386,0.0525,0.0000,True,0.000,holding-right,-1.0000,0.0000,-0.220,-5.835,0.8081,0.3171,0.8472,0.1800
1,0.2098,0.1954,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0868,0.5573,0.5647,0.1800
2,0.2733,0.2628,0.0000,True,0.000,holding-right,-1.0000,0.0000,0.000,0.000,1.0868,0.5573,0.5647,0.1800
3,0.4217,0.3260,0.0000,True,0.000,hero-sean-supernova,-1.0000,0.0000,0.000,0.000,1.0868,0.5573,0.5647,0.1800
4,0.4986,0.4763,0.0000,True,1.797,hero-sean-supernova,-1.0000,0.0000,10.784,21.568,0.4039,-0.2211,0.5963,0.1800
5,0.5703,0.5516,0.0000,True,3.480,hero-sean-supernova,-1.0000,0.0000,20.881,41.762,0.6064,-0.3652,0.6365,0.1800
6,0.6389,0.6235,0.0000,True,4.938,hero-sean-supernova,-1.0000,0.0000,29.630,59.260,0.8302,-0.3792,0.6700,0.1800
7,0.7049,0.6909,0.0000,True,5.833,hero-sean-supernova,-1.0000,0.0000,34.995,69.990,0.9648,-0.3324,0.6899,0.1800
8,0.7792,0.7637,0.0000,True,6.000,hero-sean-supernova,-1.0000,0.0000,36.000,72.000,1.0670,-0.3121,0.6781,0.5805
9,0.8448,0.8321,0.0000,True,8.686,hero-sean-supernova,-1.0000,0.0000,25.555,37.679,0.8333,-0.2830,0.6745,1.6646
10,0.9098,0.8970,0.0000,True,13.857,hero-sean-supernova,-1.0000,0.0000,5.446,-28.397,0.8532,0.3236,0.6659,2.5729
11,0.9796,0.9634,0.0000,True,19.460,hero-sean-supernova,-1.0000,0.0000,-16.345,-80.005,1.8006,0.3868,0.6561,3.5105
12,1.0483,1.0324,0.0000,True,23.496,hero-sean-supernova,-1.0000,0.0000,-32.038,-28.446,2.0946,-0.2632,0.6494,4.0085
13,1.1189,1.1020,0.0000,True,23.580,hero-sean-supernova,-1.0000,0.0000,-33.300,-22.560,2.0647,-0.3389,0.6493,4.3990
14,1.1847,1.1719,0.0000,True,21.481,hero-sean-supernova,-1.0000,0.0000,-29.802,-25.359,2.0512,-0.2643,0.6472,4.4867
15,1.2502,1.2371,0.0000,True,19.219,hero-sean-supernova,-1.0000,0.0000,-26.031,-28.375,2.0309,-0.1807,0.6445,4.3385
16,1.3166,1.3033,0.0000,True,18.020,hero-sean-supernova,-1.0000,0.0000,-24.033,-29.974,2.0142,-0.1355,0.6433,4.1105
17,1.3844,1.3696,0.0000,True,17.795,hero-sean-supernova,-1.0000,0.0000,-20.393,-34.919,2.0013,-0.0254,0.6423,3.8105
