wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split,cycle,process
63925005555.5035,0.01999664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.568,0.07998657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.6347,0.1399765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.685,0.1999664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.7512,0.2599564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.8187,0.3399429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.8685,0.3799362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.9352,0.4399261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005555.9856,0.4999161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.052,0.559906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.118,0.6398926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.1691,0.6798859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.2354,0.7398758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.2857,0.7998657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.3512,0.8598557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.4191,0.9398422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.4855,0.9998322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.5515,1.059822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.6031,1.119812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.6685,1.179802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.7184,1.239792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.7867,1.299782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.8532,1.359772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.9033,1.419762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005556.9696,1.479752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.0364,1.539742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.0867,1.599731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.1364,1.639725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.1874,1.699715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.2535,1.759705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.3207,1.839691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.3868,1.899681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.4533,1.959671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.5035,2.019661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.5533,2.059654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.6045,2.119644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.6715,2.179634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.7383,2.259621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.8039,2.319611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.871,2.379601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.9381,2.459587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005557.988,2.49958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.0537,2.55957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.1046,2.61956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.1703,2.67955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.2215,2.73954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.2882,2.79953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.3545,2.85952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.4047,2.91951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.4706,2.9795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.5378,3.059486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.5879,3.09948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.6379,3.15947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
63925005558.705,3.21946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47940
