wallTime,elapsed,local,requested,repeated,count,kind,x,y,z,fx,fy,fz,duration,remaining,radius,owner,first,second,split,cycle,process
63925005555.8516,0.01999664,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005555.8999,0.05998993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005555.9669,0.1399765,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.0162,0.5399094,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.0665,0.5998993,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.133,0.6598892,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.2001,0.7198792,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.25,0.7798691,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.3002,0.8198624,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.3672,0.8998489,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.4337,0.9598389,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.4998,1.019829,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.5661,1.099815,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.6333,1.159805,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.701,1.199799,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.7657,1.279785,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.8339,1.339775,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.9002,1.399765,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005556.9664,1.479752,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
63925005557.0338,1.539742,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50268
